array,platform,deploymentNumber,deployment,CTD_CruiseName,CTD_CruiseLeg,CTD_cast,CTD_Date,CTD_lat,CTD_lon,alfresco_location_primary,Quick_Look,Cruise_Report,CTD_cast_file,CTDlog,Chla,Nutrients,DIC_TA_pH
Coastal_Pioneer,CP01CNPM,1.0,D00001,Pioneer09,AR-24C,2.0,2017-11-06T15:22:07,40.13683333,-70.77466667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-09_AR-24_2017-10-22/,3204-00904_Quick_Look_Cruise_Report_Coastal_Pioneer_9_Leg_3_2017-11-13_Ver_1-00.pdf,missing,Ship Data/Leg 3 (AR24c)/ctd/process/ar24c002.cnv,Ship Data/Water Sampling/Pioneer_9_Leg_3_CTD_sampling_log.xlsx,missing,Ship Data/Water Sampling/Pioneer-9_AR-24C_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNPM,1.0,R00001,Pioneer10,AR-28B,37.0,2018-04-12T12:07:44,40.13666667,-70.775,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-10_AR-28_2018-03-23/,3204-01003_Quick_Look_Cruise_Report_Coastal_Pioneer_10_Leg_2_2018-04-17_Ver_1-00.pdf,3204-01004_Cruise_Report_Coastal_Pioneer_10_2018-09-14_Ver_1-00.pdf,Ship Data/Leg 2 (AR28b)/ctd/process/ar28b037.cnv,Ship Data/Water Sampling/Pioneer-10_CTD_sampling_log_Leg_2.xlsx,missing,Ship Data/Water Sampling/AR-28_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,CP01CNSM,1.0,D00001,Pioneer01,,1.0,2013-11-21T19:15:00,,,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-01_KN-214_2013-11-20/,3204-00023_Pioneer_1_Quick-Look_Cruise_Report_2012-11-19_Ver_1-00.pdf,3204-00022_Coastal_Pioneer_1_Deployment_Cruise_Report_2014-03-06_Ver_1-00.pdf,missing,Ship Data/Water Sampling/Pioneer-1_KN-214_Sampling_Log.xlsx,Ship Data/Water Sampling/OOIchl.xls,Ship Data/Water Sampling/Pioneer Nutrient Lab sample data 2014.xlsx,Ship Data/Water Sampling/OOI_2013_Nov_DIC and TA data.xlsx
Coastal_Pioneer,CP01CNSM,1.0,D00001,Pioneer01,,2.0,2013-11-21T23:14:35,40.14066667,-70.773,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-01_KN-214_2013-11-20/,3204-00023_Pioneer_1_Quick-Look_Cruise_Report_2012-11-19_Ver_1-00.pdf,3204-00022_Coastal_Pioneer_1_Deployment_Cruise_Report_2014-03-06_Ver_1-00.pdf,Ship Data/KN-214_CTD/kn214-002.cnv,Ship Data/Water Sampling/Pioneer-1_KN-214_Sampling_Log.xlsx,Ship Data/Water Sampling/OOIchl.xls,Ship Data/Water Sampling/Pioneer Nutrient Lab sample data 2014.xlsx,Ship Data/Water Sampling/OOI_2013_Nov_DIC and TA data.xlsx
Coastal_Pioneer,CP01CNSM,1.0,D00001,Pioneer01,,3.0,2013-11-22T11:01:20,40.141,-70.77166667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-01_KN-214_2013-11-20/,3204-00023_Pioneer_1_Quick-Look_Cruise_Report_2012-11-19_Ver_1-00.pdf,3204-00022_Coastal_Pioneer_1_Deployment_Cruise_Report_2014-03-06_Ver_1-00.pdf,Ship Data/KN-214_CTD/kn214-003.cnv,Ship Data/Water Sampling/Pioneer-1_KN-214_Sampling_Log.xlsx,Ship Data/Water Sampling/OOIchl.xls,Ship Data/Water Sampling/Pioneer Nutrient Lab sample data 2014.xlsx,Ship Data/Water Sampling/OOI_2013_Nov_DIC and TA data.xlsx
Coastal_Pioneer,CP01CNSM,1.0,D00001,Pioneer01,,4.0,2013-11-22T14:57:53,40.14083333,-70.766,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-01_KN-214_2013-11-20/,3204-00023_Pioneer_1_Quick-Look_Cruise_Report_2012-11-19_Ver_1-00.pdf,3204-00022_Coastal_Pioneer_1_Deployment_Cruise_Report_2014-03-06_Ver_1-00.pdf,Ship Data/KN-214_CTD/kn214-004.cnv,Ship Data/Water Sampling/Pioneer-1_KN-214_Sampling_Log.xlsx,Ship Data/Water Sampling/OOIchl.xls,Ship Data/Water Sampling/Pioneer Nutrient Lab sample data 2014.xlsx,Ship Data/Water Sampling/OOI_2013_Nov_DIC and TA data.xlsx
Coastal_Pioneer,CP01CNSM,1.0,D00001,Pioneer01,,5.0,2013-11-22T19:03:43,40.13833333,-70.76516667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-01_KN-214_2013-11-20/,3204-00023_Pioneer_1_Quick-Look_Cruise_Report_2012-11-19_Ver_1-00.pdf,3204-00022_Coastal_Pioneer_1_Deployment_Cruise_Report_2014-03-06_Ver_1-00.pdf,Ship Data/KN-214_CTD/kn214-005.cnv,Ship Data/Water Sampling/Pioneer-1_KN-214_Sampling_Log.xlsx,Ship Data/Water Sampling/OOIchl.xls,Ship Data/Water Sampling/Pioneer Nutrient Lab sample data 2014.xlsx,Ship Data/Water Sampling/OOI_2013_Nov_DIC and TA data.xlsx
Coastal_Pioneer,CP01CNSM,1.0,D00001,Pioneer01,,11.0,2013-11-24T19:21:48,40.12883333,-70.76683333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-01_KN-214_2013-11-20/,3204-00023_Pioneer_1_Quick-Look_Cruise_Report_2012-11-19_Ver_1-00.pdf,3204-00022_Coastal_Pioneer_1_Deployment_Cruise_Report_2014-03-06_Ver_1-00.pdf,Ship Data/KN-214_CTD/kn214-011.cnv,Ship Data/Water Sampling/Pioneer-1_KN-214_Sampling_Log.xlsx,Ship Data/Water Sampling/OOIchl.xls,Ship Data/Water Sampling/Pioneer Nutrient Lab sample data 2014.xlsx,Ship Data/Water Sampling/OOI_2013_Nov_DIC and TA data.xlsx
Coastal_Pioneer,CP01CNSM,1.0,R00001,Pioneer02,,6.0,2014-04-16T13:28:19,40.13483333,-70.77633333,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-02_KN-217_2014-04-11/,3204-00202_Quick_Look_Cruise_Report_Pioneer_2_2014-04-28_ver_1-00.pdf,3204-00203_Cruise_Report_Coastal_Pioneer_2_2014-12-01_Ver_1-00.pdf,Ship Data/ctd/process/kn217006.cnv,Ship Data/Water Sampling/Pioneer2_KN-217_sampling_log-1.xlsx,Ship Data/Water Sampling/CHLs KN-214.xls,Ship Data/Water Sampling/Pioneer II Nutrient Data 2014.xlsx,"Ship Data/Water Sampling/Pioneer II_Spring2014_DIC,TA, pH data.xlsx"
Coastal_Pioneer,CP01CNSM,1.0,R00001,Pioneer02,,12.0,2014-04-17T15:38:56,40.13933333,-70.78116667,OOI/Coastal Pioneer Array/Cruise Data/Pioneer-02_KN-217_2014-04-11/,3204-00202_Quick_Look_Cruise_Report_Pioneer_2_2014-04-28_ver_1-00.pdf,3204-00203_Cruise_Report_Coastal_Pioneer_2_2014-12-01_Ver_1-00.pdf,Ship Data/ctd/process/kn217012.cnv,Ship Data/Water Sampling/Pioneer2_KN-217_sampling_log-1.xlsx,Ship Data/Water Sampling/CHLs KN-214.xls,Ship Data/Water Sampling/Pioneer II Nutrient Data 2014.xlsx,"Ship Data/Water Sampling/Pioneer II_Spring2014_DIC,TA, pH data.xlsx"
