dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(-1, 0]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",   0.000000,,,,,,,
"(0, 1]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",2065.000000, 230.440262, 103.235049,   1.019000, 147.968002, 239.830002, 324.154999, 397.697998
"(1, 2]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",9788.000000, 224.963963, 101.022945,   0.798000, 145.985756, 222.146500, 321.601006, 393.354004
"(2, 3]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",8127.000000, 220.073348, 102.251501,   0.241000, 141.441002, 213.936996, 318.048004, 388.877014
"(3, 4]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7680.000000, 216.793534, 102.726932,   0.490000, 136.860001, 210.074493, 315.694748, 396.833008
"(4, 5]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7515.000000, 214.124160, 103.167415,   0.439000, 133.474503, 206.755005, 313.264008, 394.658997
"(5, 6]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7427.000000, 211.512192, 103.517875,   1.409000, 129.235001, 202.682007, 310.719009, 388.496002
"(6, 7]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",7171.000000, 208.227846, 103.289304,   1.376000, 124.560497, 199.457001, 306.929504, 388.507996
"(7, 8]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6945.000000, 205.820646, 103.521482,   1.351000, 121.091003, 196.022003, 305.955994, 397.191010
"(8, 9]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6790.000000, 201.951579, 103.207631,   0.227000, 117.665001, 190.021004, 298.724258, 395.359009
"(9, 10]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6806.000000, 198.886450, 104.373037,   1.299000, 113.555002, 188.653999, 295.853996, 395.131989
"(10, 11]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6591.000000, 199.169378, 103.054279,   1.277000, 113.761501, 187.768005, 294.882004, 392.843994
"(11, 12]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6561.000000, 196.784912, 102.646762,   1.234000, 111.400002, 184.248993, 289.425995, 398.872009
"(12, 13]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6529.000000, 197.394871, 102.931500,   1.641000, 112.445999, 184.528000, 291.385986, 398.191010
"(13, 14]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6327.000000, 195.709279, 102.193523,   1.647000, 111.443001, 182.218002, 285.995987, 397.381989
"(14, 15]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6094.000000, 197.621944, 101.145369,   1.645000, 113.279251, 182.579002, 286.689743, 395.221985
"(15, 16]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",6507.000000, 189.752581, 103.886217,   1.861000, 107.698502, 175.526993, 279.773499, 394.048004
"(16, 17]",DO,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",8540.000000, 173.150014, 105.260787,   1.693000,  90.696499, 153.307999, 264.853500, 394.941986
