common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Air Temperature,['ºC'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[-50.0, 50.0]",2604924,76,0,0,8,0,2604848,11.3131,-1.512,19.255,2.5174
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Barometric Pressure,['Pa'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[87000.0, 108330.0]",1302463,0,0,0,8,0,1302463,101687.885,97985.0,103493.9922,693.7784
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Downwelling Longwave Irradiance,['W m-2'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[200.0, 500.0]",2604924,0,0,0,8,0,2604922,331.9432,210.1,450.6,36.398
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Downwelling Shortwave Irradiance,['W m-2'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[0.0, 1000.0]",2604924,0,0,0,8,0,2553104,154.282,0.0,1000.0,244.8176
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Latent Heat Flux,['W m-2'],2015-04-03T08:17:58,2018-09-25T15:34:35,[-9999999.0],"[None, None]",1302463,20810,0,no global ranges,8,13,1281640,33.3423,-117.639,338.8512,38.2355
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Mean Wind Velocity - Eastward Relative to True North,['m s-1'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[None, None]",1302463,2,0,no global ranges,8,0,1302461,0.3578,-14.3423,17.8018,3.0802
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Mean Wind Velocity - Eastward relative to Magnetic North,['m s-1'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[-33.0, 33.0]",1302463,2,0,0,8,0,1302461,0.1867,-14.23,16.98,3.2436
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Mean Wind Velocity - Northward Relative to True North,['m s-1'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[None, None]",1302463,2,0,no global ranges,8,0,1302461,0.6006,-15.664,22.4342,5.4248
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Mean Wind Velocity - Northward relative to Magnetic North,['m s-1'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[-33.0, 33.0]",1302463,2,0,0,8,0,1302461,0.674,-14.68,21.55,5.3287
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Net Heat Flux,['W m-2'],2015-04-03T08:17:58,2018-09-25T15:34:35,[-9999999.0],"[None, None]",1302463,20810,0,no global ranges,8,14,1281639,-64.7021,-1262.3668,1135.8008,248.3634
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Net Longwave Radiation,['W m-2'],2015-04-03T08:17:58,2018-09-25T15:34:35,[-9999999.0],"[None, None]",1302463,20810,0,no global ranges,8,14,1281639,40.4678,-70.5373,149.2212,34.1667
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Net Shortwave Irradiance,['W m-2'],2015-04-02T23:13:54,2018-09-25T15:34:35,[-9999999.0],"[0.0, 500.0]",1302463,0,0,0,8,0,1139472,78.456,0.0,499.9995,125.5103
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Precipitation,['mm'],2015-04-02T20:53:00,2018-09-25T15:34:35,[-9999999.0],"[0.0, 50.0]",2604924,0,0,0,8,0,2547364,26.4681,0.0,50.0,13.7921
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Relative Humidity,['%'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[0.0, 100.0]",2604924,76,0,0,8,0,2592660,83.7747,29.316,99.999,10.7199
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[4, 6, 7]",Relative Wind Direction,['degrees'],2016-09-26T21:48:35,2018-09-25T15:34:35,[-9999999.0],"[0.0, 360.0]",1302463,646331,0,0,8,0,656132,165.3029,0.0001,360.0,118.474
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Relative Wind Speed,['m s-1'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[-33.0, 33.0]",2604924,4,0,0,8,0,2604920,5.5653,0.0,22.4411,2.7406
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Sea Surface Conductivity,['S m-1'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[0.0, 6.0]",1302463,0,0,0,8,0,1302463,3.6911,2.6325,4.256,0.1552
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly']","[1, 2, 3, 4, 6, 7]",Sea Surface Practical Salinity,['1'],2015-04-02T20:41:42,2018-09-25T15:34:35,[-9999999.0],"[0.0, 42.0]",1302463,0,0,0,8,2278,1300185,32.1266,24.2291,34.003,0.9006
