dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(-1, 0]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",   0.000000,,,,,,,
"(0, 1]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4745.000000, 561.865949, 631.140660,   0.036526,   0.040867, 232.877605,1215.487608,2084.655456
"(1, 2]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6057.000000, 357.788133, 451.653161,   0.036526,   0.043972,  92.871268, 727.375933,1606.415457
"(2, 3]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5314.000000, 263.590634, 329.979651,   0.036526,   0.045117,  71.432980, 507.479734,1257.540821
"(3, 4]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5182.000000, 181.374292, 242.177741,   0.036526,   0.045117,  47.559614, 308.932319, 970.848217
"(4, 5]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5300.000000, 122.238013, 175.998997,   0.036526,   0.045117,  33.497651, 174.764761, 798.566857
"(5, 6]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5689.000000,  81.586300, 129.460112,   0.036526,   0.045117,  14.557076,  98.572946, 609.331448
"(6, 7]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6318.000000,  53.724935,  93.875777,   0.036526,   0.045117,   6.849051,  58.859535, 509.622618
"(7, 8]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6352.000000,  43.691367,  76.689462,   0.036526,   0.045117,   6.359489,  49.576858, 432.483098
"(8, 9]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6113.000000,  34.431019,  59.477924,   0.036526,   0.045117,   6.329270,  38.782862, 367.019877
"(9, 10]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6185.000000,  27.274345,  48.418721,   0.036526,   0.045117,   4.493899,  32.451926, 317.508206
"(10, 11]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6564.000000,  21.462120,  37.805492,   0.036526,   0.045117,   4.612820,  27.165057, 269.232630
"(11, 12]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6398.000000,  17.312636,  30.210006,   0.036526,   0.045117,   3.730510,  21.921782, 237.431308
"(12, 13]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5782.000000,  14.069549,  25.521971,   0.036526,   0.045117,   2.557266,  17.901876, 212.595797
"(13, 14]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6004.000000,  10.316260,  19.132180,   0.036526,   0.045117,   1.309102,  13.645627, 171.130170
"(14, 15]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5860.000000,   8.593888,  16.516044,   0.036526,   0.045117,   0.974832,  11.363063, 158.343114
"(15, 16]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5532.000000,   6.860028,  13.086045,   0.036526,   0.045117,   0.896195,   8.957747, 129.412875
"(16, 17]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5433.000000,   5.581600,  11.050007,   0.036526,   0.045117,   0.722267,   7.027372, 119.360125
"(17, 18]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5463.000000,   4.574698,   8.817593,   0.036526,   0.045117,   0.608659,   5.721937,  80.241218
"(18, 19]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5680.000000,   3.835502,   7.614420,   0.036526,   0.045117,   0.410784,   4.546458,  63.921838
"(19, 20]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5720.000000,   3.677709,   7.849595,   0.036526,   0.045117,   0.361212,   3.445347,  60.777639
"(20, 21]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5119.000000,   2.775073,   5.858957,   0.036526,   0.044076,   0.213791,   2.631309,  53.256482
"(21, 22]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4595.000000,   2.398606,   5.984737,   0.036526,   0.045117,   0.171485,   2.321291,  69.527769
"(22, 23]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4289.000000,   1.617217,   3.177854,   0.036526,   0.045117,   0.147337,   1.636062,  24.770651
"(23, 24]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4426.000000,   1.172744,   2.345116,   0.036526,   0.045117,   0.105394,   1.068422,  14.757104
"(24, 25]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4438.000000,   1.033947,   1.904072,   0.036526,   0.044076,   0.114260,   1.202851,  13.108131
"(25, 26]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",3627.000000,   0.641019,   1.456357,   0.036526,   0.043937,   0.045117,   0.470466,  15.449522
"(26, 27]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",1958.000000,   0.679920,   1.472875,   0.036526,   0.045117,   0.045225,   0.622187,  11.388751
