dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(0, 1]",DO,"1, 2, 3, 4, 5, 6", 340.000000, 279.398703,  61.398770, 162.914001, 253.499752, 278.153992, 318.840492, 383.643005
"(1, 2]",DO,"1, 2, 3, 4, 5, 6",1544.000000, 302.667415,  44.354747, 174.755997, 267.949997, 306.177490, 332.099503, 393.399994
"(2, 3]",DO,"1, 2, 3, 4, 5, 6",1428.000000, 297.892070,  45.504878, 166.750000, 262.857498, 305.632004, 327.577499, 392.156006
"(3, 4]",DO,"1, 2, 3, 4, 5, 6",1396.000000, 295.313924,  46.787654, 159.158005, 256.181999, 305.469009, 325.493492, 395.588013
"(4, 5]",DO,"1, 2, 3, 4, 5, 6",1357.000000, 289.972688,  48.592513, 152.225006, 249.901001, 303.782013, 323.385986, 390.437988
"(5, 6]",DO,"1, 2, 3, 4, 5, 6",1405.000000, 286.012162,  50.056881, 148.949005, 244.171997, 301.925995, 324.531006, 389.710999
"(6, 7]",DO,"1, 2, 3, 4, 5, 6",1289.000000, 280.970396,  53.130300, 139.113007, 236.815994, 290.062012, 322.661011, 387.867004
"(7, 8]",DO,"1, 2, 3, 4, 5, 6",1319.000000, 274.686881,  55.718821, 129.488007, 228.635498, 276.903992, 319.736511, 387.404999
"(8, 9]",DO,"1, 2, 3, 4, 5, 6",1271.000000, 271.783533,  58.388890, 117.647003, 221.859001, 275.895996, 319.250000, 385.984009
"(9, 10]",DO,"1, 2, 3, 4, 5, 6",1257.000000, 267.819427,  59.782245, 111.821999, 217.283005, 271.752014, 316.415985, 384.600006
"(10, 11]",DO,"1, 2, 3, 4, 5, 6",1235.000000, 263.419110,  61.333758, 108.799004, 212.049004, 263.985992, 315.651001, 383.533997
"(11, 12]",DO,"1, 2, 3, 4, 5, 6",1186.000000, 259.365976,  63.576399, 106.241997, 207.106247, 252.331505, 315.469498, 381.582001
"(12, 13]",DO,"1, 2, 3, 4, 5, 6",1179.000000, 257.096811,  64.565363, 104.528999, 204.028503, 248.649002, 315.104996, 380.514008
"(13, 14]",DO,"1, 2, 3, 4, 5, 6",1165.000000, 253.988510,  66.547916, 101.662003, 199.847000, 242.994995, 314.467987, 380.100006
