dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(-1, 0]",Practical Salinity,"1, 2, 3, 4, 5, 6",   0.000000,,,,,,,
"(0, 1]",Practical Salinity,"1, 2, 3, 4, 5, 6",4947.000000,  30.719950,   2.818613,   2.800500,  30.223150,  31.498501,  32.455799,  32.509399
"(1, 2]",Practical Salinity,"1, 2, 3, 4, 5, 6",25045.000000,  30.405087,   2.321196,  21.605301,  29.833401,  31.085501,  32.218102,  32.512299
"(2, 3]",Practical Salinity,"1, 2, 3, 4, 5, 6",23171.000000,  30.598999,   2.106628,  21.610901,  29.974001,  31.164801,  32.249298,  32.515499
"(3, 4]",Practical Salinity,"1, 2, 3, 4, 5, 6",22613.000000,  30.772532,   1.901521,  21.854000,  30.204500,  31.260201,  32.249699,  32.520802
"(4, 5]",Practical Salinity,"1, 2, 3, 4, 5, 6",21817.000000,  30.952374,   1.738168,  22.829000,  30.409201,  31.314899,  32.251400,  32.531200
"(5, 6]",Practical Salinity,"1, 2, 3, 4, 5, 6",21893.000000,  31.078302,   1.557064,  22.841400,  30.655701,  31.390301,  32.249901,  32.522301
"(6, 7]",Practical Salinity,"1, 2, 3, 4, 5, 6",20960.000000,  31.228757,   1.384465,  22.881901,  30.858225,  31.438850,  32.252300,  32.567101
"(7, 8]",Practical Salinity,"1, 2, 3, 4, 5, 6",20969.000000,  31.310846,   1.250142,  23.060900,  31.030001,  31.475800,  32.252399,  32.570301
"(8, 9]",Practical Salinity,"1, 2, 3, 4, 5, 6",20295.000000,  31.436501,   1.045682,  24.152700,  31.115801,  31.520100,  32.298401,  32.580898
"(9, 10]",Practical Salinity,"1, 2, 3, 4, 5, 6",20302.000000,  31.523272,   0.887645,  26.832300,  31.185875,  31.590200,  32.298302,  32.612099
"(10, 11]",Practical Salinity,"1, 2, 3, 4, 5, 6",19824.000000,  31.612651,   0.770023,  27.478201,  31.292375,  31.637450,  32.313476,  32.616100
"(11, 12]",Practical Salinity,"1, 2, 3, 4, 5, 6",19015.000000,  31.689778,   0.713076,  28.080999,  31.350300,  31.719299,  32.330650,  32.625599
"(12, 13]",Practical Salinity,"1, 2, 3, 4, 5, 6",19050.000000,  31.751533,   0.657695,  28.632000,  31.449600,  31.762699,  32.341651,  32.718399
"(13, 14]",Practical Salinity,"1, 2, 3, 4, 5, 6",18614.000000,  31.816138,   0.628175,  28.942600,  31.506649,  31.828450,  32.351326,  32.914200
