dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(0, 1]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 443.000000, 216.515022, 375.482323,   0.038277,   0.058232,   0.312144, 226.082911,1567.815542
"(1, 2]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1489.000000, 212.766159, 343.375443,   0.038277,   0.043972,   0.312144, 326.360162,1553.527647
"(2, 3]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1305.000000, 149.897901, 250.259201,   0.038277,   0.043972,   0.312144, 208.358903,1101.843232
"(3, 4]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1264.000000, 125.076948, 204.298904,   0.038277,   0.043972,   0.527823, 176.223333, 894.389308
"(4, 5]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1218.000000,  88.905781, 155.314605,   0.038277,   0.043972,   0.312144,  91.455489, 845.233598
"(5, 6]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1231.000000,  77.963455, 132.758503,   0.038277,   0.043972,   3.535848,  90.430658, 682.048961
"(6, 7]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1172.000000,  61.507844, 107.552488,   0.038277,   0.043972,   0.312144,  69.111846, 570.631415
"(7, 8]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1178.000000,  50.891269,  89.628253,   0.038277,   0.043972,   0.312144,  55.301225, 531.253671
"(8, 9]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1131.000000,  45.611361,  79.428844,   0.038277,   0.043972,   0.312144,  51.894135, 440.467777
"(9, 10]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1141.000000,  36.050779,  64.029823,   0.038277,   0.043972,   0.312144,  40.711594, 389.607174
"(10, 11]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1107.000000,  30.477057,  55.099690,   0.038277,   0.043972,   0.312144,  33.722477, 349.040707
"(11, 12]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1058.000000,  25.887861,  45.785844,   0.038277,   0.043972,   0.312144,  30.524044, 324.112775
"(12, 13]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1073.000000,  21.779638,  39.561593,   0.038277,   0.043972,   0.312144,  25.661484, 263.050244
"(13, 14]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1022.000000,  17.665233,  32.473749,   0.038277,   0.043972,   0.312144,  22.626729, 216.377065
"(14, 15]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1052.000000,  15.738135,  28.995055,   0.038277,   0.043972,   0.312144,  19.387859, 179.581737
"(15, 16]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1027.000000,  13.211315,  24.622323,   0.038277,   0.043972,   0.312144,  15.971330, 163.601634
"(16, 17]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1023.000000,  11.348037,  21.236409,   0.038277,   0.043972,   0.312144,  13.058700, 134.046626
"(17, 18]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 902.000000,  10.798629,  19.414157,   0.038277,   0.058232,   0.515305,  13.845548, 124.997115
"(18, 19]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6",1005.000000,   8.222173,  15.702761,   0.038277,   0.043972,   0.312144,   9.616547, 105.421526
"(19, 20]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 989.000000,   7.348110,  14.434631,   0.038277,   0.043972,   0.312144,   8.269416,  97.204987
"(20, 21]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 987.000000,   6.331518,  12.193375,   0.038277,   0.043972,   0.312144,   7.453751,  84.659284
"(21, 22]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 976.000000,   5.802936,  10.993944,   0.038277,   0.043972,   0.312144,   6.890518,  70.319285
"(22, 23]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 980.000000,   5.184628,   9.666109,   0.038277,   0.043972,   0.312144,   6.021804,  66.207254
"(23, 24]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 966.000000,   4.831534,   8.880055,   0.038277,   0.043972,   0.312144,   5.691696,  58.267657
"(24, 25]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 949.000000,   4.367319,   8.118896,   0.038277,   0.043972,   0.312144,   5.035679,  49.898365
"(25, 26]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 964.000000,   4.189354,   7.615026,   0.038277,   0.043972,   0.312144,   4.640032,  45.494689
"(26, 27]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 959.000000,   3.461316,   6.431398,   0.038277,   0.043972,   0.312144,   4.049737,  44.233220
"(27, 28]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 921.000000,   3.078798,   5.671217,   0.038277,   0.043972,   0.312144,   3.607493,  37.395955
"(28, 29]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 928.000000,   2.649398,   5.129967,   0.038277,   0.043972,   0.312144,   2.822406,  32.438897
"(29, 30]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 916.000000,   2.635332,   4.900697,   0.038277,   0.043972,   0.312144,   2.949940,  31.136604
"(30, 31]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 929.000000,   2.465587,   4.574638,   0.038277,   0.043972,   0.312144,   2.671715,  27.314770
"(31, 32]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 926.000000,   2.471611,   4.311210,   0.038277,   0.043972,   0.312144,   2.782314,  24.645407
"(32, 33]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 920.000000,   2.097458,   3.774445,   0.038277,   0.043972,   0.312144,   2.278300,  22.344362
"(33, 34]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 901.000000,   1.887427,   3.388101,   0.038277,   0.043972,   0.311983,   2.148657,  21.207441
"(34, 35]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 909.000000,   1.588380,   2.892523,   0.038277,   0.043972,   0.311983,   1.740421,  18.219762
"(35, 36]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 888.000000,   1.554345,   2.782485,   0.038277,   0.043972,   0.311983,   1.677493,  17.044430
"(36, 37]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 900.000000,   1.400248,   2.532514,   0.038277,   0.043972,   0.311983,   1.511674,  15.243434
"(37, 38]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 877.000000,   1.212803,   2.191783,   0.038277,   0.043972,   0.267970,   1.273358,  13.786945
"(38, 39]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 864.000000,   1.120442,   1.987557,   0.038277,   0.043972,   0.277088,   1.200999,  12.429612
"(39, 40]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6", 849.000000,   1.041427,   1.888504,   0.038277,   0.043972,   0.208729,   1.046877,  11.562584
