dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(10, 20]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",   0.000000,,,,,,,
"(20, 30]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",80436.000000, 168.168674,  80.258433,  72.319375,  98.402641, 109.620273, 259.630056, 283.106666
"(30, 40]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",591632.000000, 208.484570,  65.984899,  67.042158, 141.431962, 241.877888, 262.164214, 297.923899
"(40, 50]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",242179.000000, 203.244154,  65.645091,  63.611082, 140.363332, 230.051388, 258.960865, 292.231072
"(50, 60]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",190863.000000, 188.679128,  64.192807,  55.859030, 122.401328, 202.190537, 249.932180, 284.232707
"(60, 70]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",185944.000000, 174.904693,  60.676727,  47.270298, 117.194159, 178.030698, 225.545449, 279.390407
"(70, 80]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",182471.000000, 161.192304,  55.730667,  45.231342, 114.079465, 159.015210, 196.548194, 274.669996
"(80, 90]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",180288.000000, 147.498154,  50.036855,  43.579403, 108.702694, 145.869265, 174.796989, 272.692018
"(90, 100]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",179803.000000, 135.133318,  43.924582,  39.719386, 102.102740, 134.408948, 158.906585, 268.404291
"(100, 110]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",179016.000000, 124.601485,  38.822397,  37.765637,  96.193475, 124.414867, 147.722502, 265.016327
"(110, 120]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",177993.000000, 116.490559,  35.208107,  36.772833,  91.141958, 116.114336, 139.544726, 261.852723
"(120, 130]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",177622.000000, 109.842335,  32.857063,  36.616073,  85.752346, 110.506536, 131.884255, 239.641499
"(130, 140]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",177271.000000, 104.368126,  31.221294,  36.921768,  80.571495, 105.278776, 125.970398, 227.114241
"(140, 150]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",177226.000000,  99.819861,  30.021423,  36.002468,  76.205809, 100.349285, 121.851104, 203.033059
"(150, 160]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",177113.000000,  96.061787,  29.002706,  35.380431,  72.603486,  95.757685, 119.245900, 189.052167
"(160, 170]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",176837.000000,  92.904664,  28.215728,  35.275528,  69.900361,  91.627713, 117.013810, 173.218744
"(170, 180]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",177266.000000,  90.266412,  27.521738,  35.290950,  68.130319,  88.547625, 114.742998, 165.695188
"(180, 190]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",176394.000000,  87.796815,  26.801336,  34.831115,  66.780811,  85.846386, 112.615243, 158.450034
"(190, 200]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",176339.000000,  85.592463,  26.133209,  32.490304,  65.365126,  83.326459, 110.128598, 156.615660
"(200, 210]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",176155.000000,  83.710888,  25.560477,  30.207555,  64.459678,  81.342954, 107.340570, 156.412820
"(210, 220]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",174958.000000,  81.837691,  24.993907,  28.825782,  62.990000,  79.285223, 104.449626, 156.373846
"(220, 230]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",174898.000000,  79.938892,  24.305022,  28.541406,  61.630005,  77.225094, 101.693402, 150.858964
"(230, 240]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",174669.000000,  78.035659,  23.643520,  28.583264,  60.527521,  75.467772,  98.885957, 146.943750
"(240, 250]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",174330.000000,  76.155647,  23.097839,  28.397092,  59.194775,  73.887741,  95.751095, 145.185587
"(250, 260]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",173977.000000,  74.269207,  22.629076,  27.571800,  57.739926,  72.208932,  92.548830, 137.870504
"(260, 270]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",173638.000000,  72.347181,  22.083956,  26.402586,  56.325498,  70.507126,  89.626685, 138.565479
"(270, 280]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",173479.000000,  70.468227,  21.587126,  26.019907,  54.954050,  68.587423,  87.001503, 137.741961
"(280, 290]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",173400.000000,  68.500487,  21.033443,  25.860188,  53.460888,  66.512481,  84.439415, 135.176604
"(290, 300]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",173315.000000,  66.419774,  20.380120,  24.322879,  51.916266,  64.555978,  81.758266, 131.874904
"(300, 310]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",172977.000000,  64.328526,  19.715379,  23.488823,  50.417890,  62.669037,  78.909861, 128.415152
"(310, 320]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",172666.000000,  62.302261,  19.107667,  21.436547,  48.874162,  60.890504,  76.127329, 126.729886
"(320, 330]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",172547.000000,  60.317286,  18.519525,  19.523976,  47.299091,  59.085804,  73.450154, 121.593574
"(330, 340]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",172435.000000,  58.313520,  17.929031,  18.316110,  45.684971,  57.011259,  71.023103, 116.275477
"(340, 350]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",172539.000000,  56.343272,  17.339570,  19.620338,  44.294432,  55.003361,  68.389560, 114.613536
"(350, 360]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",172145.000000,  54.366995,  16.737758,  18.253510,  42.807317,  52.909831,  65.862900, 112.478804
"(360, 370]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",171897.000000,  52.477181,  16.165369,  17.531296,  41.306731,  50.890259,  63.232627, 112.490958
"(370, 380]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",171460.000000,  50.498157,  15.457609,  16.231485,  39.897038,  48.771442,  60.668867, 112.006544
"(380, 390]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",171294.000000,  48.648432,  14.860508,  15.258920,  38.437665,  46.908413,  58.209746, 107.312702
"(390, 400]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",171361.000000,  46.855439,  14.323872,  14.179984,  37.076274,  45.186327,  55.908175, 101.090439
"(400, 410]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",171026.000000,  45.045516,  13.678045,  13.219225,  35.791595,  43.607865,  53.701376,  98.000176
"(410, 420]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",170558.000000,  43.258991,  13.065673,  12.790156,  34.441754,  41.901358,  51.439528,  93.002789
"(420, 430]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",170504.000000,  41.496665,  12.427977,  11.739649,  33.109298,  40.211892,  49.247812,  89.301337
"(430, 440]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",170168.000000,  39.795956,  11.821399,  10.582578,  31.784682,  38.637165,  47.045281,  90.929618
"(440, 450]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",170024.000000,  38.177136,  11.290239,   9.515195,  30.584636,  37.057033,  44.920821,  89.631687
"(450, 460]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",169819.000000,  36.578329,  10.712212,   8.986146,  29.420648,  35.421087,  42.908924,  86.212839
"(460, 470]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",170179.000000,  35.076937,  10.201534,   8.268210,  28.330126,  33.957064,  41.012252,  85.096908
"(470, 480]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",172253.000000,  33.748523,   9.753241,   7.367638,  27.218739,  32.692932,  39.407309,  81.959472
"(480, 490]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",177474.000000,  32.511940,   9.400403,   6.735538,  26.207649,  31.461605,  37.925200,  81.428584
"(490, 500]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",184106.000000,  31.619024,   9.217003,   6.557264,  25.370339,  30.535076,  36.850734,  78.899338
"(500, 510]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",348331.000000,  28.687568,   7.985824,   3.174111,  23.372854,  27.804006,  33.134401,  77.139327
"(510, 520]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9",369134.000000,  28.123771,   8.167689,   3.490355,  23.064159,  27.643776,  32.936346,  75.410620
"(520, 530]",dofst_k_oxygen_l2,"1, 2, 3, 4, 5, 6, 7, 8, 9", 825.000000,  21.112902,   0.232144,  20.107294,  21.091735,  21.144765,  21.235591,  21.468482
