common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Air Temperature,['ºC'],2013-11-21T18:15:13,2018-03-29T19:11:00,[-9999999.0],"[-50.0, 50.0]",1120279,4,0,0,10,0,1120275,13.3855,-7.826,27.738,7.2851
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Barometric Pressure,['Pa'],2013-11-21T18:15:13,2018-03-29T19:11:00,[-9999999.0],"[87000.0, 108330.0]",1120279,0,0,0,10,0,1120279,101627.6985,96358.0,104266.0,823.5358
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Downwelling Longwave Irradiance,['W m-2'],2013-11-21T18:15:13,2018-03-29T19:11:00,[-9999999.0],"[200.0, 500.0]",1120279,598,0,0,10,0,1119666,334.3233,200.1,448.4,47.1839
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Downwelling Shortwave Irradiance,['W m-2'],2013-11-21T18:15:13,2018-03-29T19:11:00,[-9999999.0],"[0.0, 1000.0]",1120279,0,0,0,10,0,1047189,176.5068,0.0,1000.0,264.2811
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Latent Heat Flux,['W m-2'],2013-11-22T04:43:07,2018-03-29T19:11:00,[-9999999.0],"[None, None]",1120279,13073,0,no global ranges,10,1,1107205,77.2156,-239.4457,657.4892,92.8272
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Mean Wind Velocity - Eastward Relative to True North,['m s-1'],2013-11-21T18:15:13,2018-03-29T19:11:00,[-9999999.0],"[None, None]",1120279,18,0,no global ranges,10,0,1120261,1.5162,-20.6897,20.7636,5.1765
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Mean Wind Velocity - Eastward relative to Magnetic North,['m s-1'],2013-11-21T18:15:13,2018-03-29T19:11:00,[-9999999.0],"[-33.0, 33.0]",1120279,18,0,0,10,0,1120261,1.3255,-21.01,20.17,5.1951
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Mean Wind Velocity - Northward Relative to True North,['m s-1'],2013-11-21T18:15:13,2018-03-29T19:11:00,[-9999999.0],"[None, None]",1120279,18,0,no global ranges,10,0,1120261,-0.5839,-24.415,20.8003,4.8452
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Mean Wind Velocity - Northward relative to Magnetic North,['m s-1'],2013-11-21T18:15:13,2018-03-29T19:11:00,[-9999999.0],"[-33.0, 33.0]",1120279,18,0,0,10,0,1120261,-0.9401,-23.22,19.81,4.825
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[1, 3, 5, 6, 7, 8]",Net Heat Flux,['W m-2'],2013-11-22T04:43:07,2018-03-29T19:11:00,[-9999999.0],"[None, None]",1120279,13073,0,no global ranges,10,21,1107185,4.2936,-2987.9917,3169.3425,317.1421
