dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(-10, 0]",conductivity,4,   0.000000,,,,,,,
"(0, 10]",conductivity,4,77823.000000,   5.272591,   0.156511,   4.950290,   5.186810,   5.239120,   5.341060,   5.704330
"(10, 20]",conductivity,4,68159.000000,   5.389289,   0.179676,   4.731070,   5.262395,   5.460280,   5.511935,   5.705220
"(20, 30]",conductivity,4,58760.000000,   5.260553,   0.283344,   4.097790,   5.092415,   5.368520,   5.482480,   5.693910
"(30, 40]",conductivity,4,52135.000000,   4.867292,   0.429323,   3.437630,   4.651980,   5.024030,   5.174670,   5.508720
"(40, 50]",conductivity,4,46453.000000,   4.552378,   0.485497,   3.395890,   4.159140,   4.790680,   4.917210,   5.245560
"(50, 60]",conductivity,4,40044.000000,   4.404061,   0.416879,   3.611730,   3.976653,   4.622400,   4.778513,   5.138790
"(60, 70]",conductivity,4,37591.000000,   4.370957,   0.322430,   3.749720,   4.075415,   4.411960,   4.674310,   4.842460
"(-10, 0]",salinity,4,   0.000000,,,,,,,
"(0, 10]",salinity,4,77823.000000,  34.506728,   0.725167,  33.178501,  34.015301,  34.441601,  34.892799,  36.155602
"(10, 20]",salinity,4,68159.000000,  35.395359,   0.780990,  33.409500,  34.723499,  35.730701,  36.046398,  36.238701
"(20, 30]",salinity,4,58760.000000,  35.719417,   0.595071,  33.725399,  35.347850,  36.049400,  36.149399,  36.423599
"(30, 40]",salinity,4,52135.000000,  35.580703,   0.712890,  33.465199,  35.018299,  35.875500,  36.122398,  36.446701
"(40, 50]",salinity,4,46453.000000,  35.417730,   0.830772,  33.348801,  34.692402,  35.748299,  36.067200,  36.446400
"(50, 60]",salinity,4,40044.000000,  35.399536,   0.747061,  33.893398,  34.622649,  35.734001,  36.049301,  36.421600
"(60, 70]",salinity,4,37591.000000,  35.561639,   0.620534,  34.125801,  35.030550,  35.826599,  36.075901,  37.596001
"(-10, 0]",temperature,4,   0.000000,,,,,,,
"(0, 10]",temperature,4,77823.000000,  25.301147,   0.784740,  23.703400,  24.778400,  25.116199,  25.749100,  27.266701
"(10, 20]",temperature,4,68159.000000,  25.257324,   0.912991,  20.145000,  24.907499,  25.398800,  25.688250,  27.373400
"(20, 30]",temperature,4,58760.000000,  23.603798,   2.185498,  13.545000,  22.457675,  24.265900,  25.285225,  27.223101
"(30, 40]",temperature,4,52135.000000,  19.940541,   3.525021,   7.527000,  18.464199,  20.996201,  22.362800,  25.491100
"(40, 50]",temperature,4,46453.000000,  16.997460,   4.027684,   7.116800,  13.858700,  18.904499,  19.941700,  22.929701
"(50, 60]",temperature,4,40044.000000,  15.565193,   3.421503,   9.004800,  12.181975,  17.220100,  18.636725,  21.845900
"(60, 70]",temperature,4,37591.000000,  15.089532,   2.629837,  10.089400,  12.639250,  15.309500,  17.559401,  19.141500
"(-10, 0]",density,4,   0.000000,,,,,,,
"(0, 10]",density,4,77823.000000,1022.899335,   0.479994,1021.669682,1022.503768,1022.904910,1023.266463,1023.881980
"(10, 20]",density,4,68159.000000,1023.624649,   0.481765,1022.247507,1023.290575,1023.742078,1024.026427,1024.752366
"(20, 30]",density,4,58760.000000,1024.394057,   0.472024,1023.086125,1024.160904,1024.298676,1024.690321,1026.034833
"(30, 40]",density,4,52135.000000,1025.320249,   0.478846,1023.994993,1024.983047,1025.286100,1025.647302,1026.466718
"(40, 50]",density,4,46453.000000,1025.959276,   0.388173,1024.939820,1025.671073,1025.941199,1026.301473,1026.676264
"(50, 60]",density,4,40044.000000,1026.344018,   0.287542,1025.421512,1026.135091,1026.356222,1026.602688,1027.485012
"(60, 70]",density,4,37591.000000,1026.643564,   0.275722,1025.395278,1026.474403,1026.626680,1026.777222,1028.852666
