dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(-9, 1]",CDOM Concentration,4,   2.000000,   2.438100,   0.255407,   2.257500,   2.347800,   2.438100,   2.528400,   2.618700
"(1, 11]",CDOM Concentration,4, 221.000000,   2.229307,   0.471948,   1.083600,   2.076900,   2.257500,   2.438100,   6.050100
"(11, 21]",CDOM Concentration,4, 184.000000,   2.154440,   0.366608,   1.173900,   1.986600,   2.167200,   2.438100,   3.070200
"(21, 31]",CDOM Concentration,4, 151.000000,   2.410591,   0.456409,   1.535100,   2.076900,   2.347800,   2.618700,   4.334400
"(31, 41]",CDOM Concentration,4, 126.000000,   2.752717,   0.607497,   1.896300,   2.347800,   2.618700,   3.160500,   4.334400
"(41, 51]",CDOM Concentration,4, 115.000000,   2.907660,   0.447394,   2.076900,   2.618700,   2.799300,   3.205650,   4.063500
"(51, 61]",CDOM Concentration,4, 103.000000,   2.977270,   0.300944,   2.618700,   2.709000,   2.889600,   3.160500,   3.702300
"(61, 71]",CDOM Concentration,4,  98.000000,   2.862879,   0.262935,   2.438100,   2.618700,   2.889600,   3.070200,   3.612000
"(71, 81]",CDOM Concentration,4,  96.000000,   2.851975,   0.253270,   2.528400,   2.618700,   2.799300,   2.979900,   3.521700
"(81, 91]",CDOM Concentration,4,  93.000000,   2.851732,   0.227246,   2.438100,   2.709000,   2.799300,   2.979900,   3.431400
"(91, 101]",CDOM Concentration,4,  12.000000,   2.693950,   0.100652,   2.528400,   2.618700,   2.709000,   2.731575,   2.889600
"(-9, 1]",Chlorophyll-a Concentration,4,   3.000000,   0.237967,   0.006986,   0.229900,   0.235950,   0.242000,   0.242000,   0.242000
"(1, 11]",Chlorophyll-a Concentration,4, 226.000000,   0.197027,   0.069213,   0.048400,   0.157300,   0.181500,   0.242000,   0.496100
"(11, 21]",Chlorophyll-a Concentration,4, 184.000000,   0.212408,   0.107288,   0.108900,   0.145200,   0.169400,   0.217800,   0.810700
"(21, 31]",Chlorophyll-a Concentration,4, 155.000000,   0.374241,   0.335334,   0.133100,   0.181500,   0.229900,   0.369050,   1.754500
"(31, 41]",Chlorophyll-a Concentration,4, 126.000000,   0.558521,   0.313348,   0.193600,   0.314600,   0.423500,   0.747175,   1.488300
"(41, 51]",Chlorophyll-a Concentration,4, 113.000000,   0.717541,   0.350504,   0.302500,   0.447700,   0.617100,   0.859100,   2.069100
"(51, 61]",Chlorophyll-a Concentration,4, 102.000000,   0.790177,   0.353297,   0.229900,   0.468875,   0.744150,   1.095050,   1.681900
"(61, 71]",Chlorophyll-a Concentration,4,  93.000000,   0.490635,   0.192293,   0.181500,   0.326700,   0.471900,   0.629200,   0.931700
"(71, 81]",Chlorophyll-a Concentration,4,  89.000000,   0.312561,   0.107365,   0.121000,   0.229900,   0.290400,   0.363000,   0.653400
"(81, 91]",Chlorophyll-a Concentration,4,  94.000000,   0.206601,   0.048375,   0.108900,   0.172425,   0.199650,   0.242000,   0.326700
"(91, 101]",Chlorophyll-a Concentration,4,  12.000000,   0.184525,   0.020718,   0.157300,   0.169400,   0.181500,   0.193600,   0.229900
"(-9, 1]",Optical Backscatter,4,   2.000000,   0.001493,   0.000146,   0.001390,   0.001441,   0.001493,   0.001545,   0.001597
"(1, 11]",Optical Backscatter,4, 226.000000,   0.001303,   0.000222,   0.000810,   0.001141,   0.001265,   0.001431,   0.002549
"(11, 21]",Optical Backscatter,4, 179.000000,   0.001233,   0.000230,   0.000954,   0.001099,   0.001161,   0.001296,   0.002383
"(21, 31]",Optical Backscatter,4, 152.000000,   0.001497,   0.000541,   0.000975,   0.001136,   0.001286,   0.001658,   0.004019
"(31, 41]",Optical Backscatter,4, 125.000000,   0.001975,   0.000427,   0.001244,   0.001658,   0.001928,   0.002280,   0.002984
"(41, 51]",Optical Backscatter,4, 112.000000,   0.002048,   0.000329,   0.001410,   0.001803,   0.002052,   0.002259,   0.002777
"(51, 61]",Optical Backscatter,4, 101.000000,   0.001873,   0.000395,   0.001203,   0.001513,   0.001865,   0.002176,   0.002839
"(61, 71]",Optical Backscatter,4,  92.000000,   0.001413,   0.000232,   0.000996,   0.001239,   0.001389,   0.001534,   0.002155
"(71, 81]",Optical Backscatter,4,  88.000000,   0.001169,   0.000219,   0.000892,   0.001037,   0.001141,   0.001229,   0.002362
"(81, 91]",Optical Backscatter,4,  91.000000,   0.001059,   0.000159,   0.000830,   0.000954,   0.001037,   0.001120,   0.001803
"(91, 101]",Optical Backscatter,4,  11.000000,   0.001470,   0.000497,   0.000996,   0.001047,   0.001099,   0.001948,   0.002135
"(-9, 1]",Total Scattering Coefficient of Pure Seawater,4,   2.000000,   0.000620,   0.000000,   0.000620,   0.000620,   0.000620,   0.000620,   0.000620
"(1, 11]",Total Scattering Coefficient of Pure Seawater,4, 226.000000,   0.000622,   0.000002,   0.000618,   0.000620,   0.000622,   0.000623,   0.000626
"(11, 21]",Total Scattering Coefficient of Pure Seawater,4, 179.000000,   0.000625,   0.000002,   0.000618,   0.000624,   0.000626,   0.000626,   0.000627
"(21, 31]",Total Scattering Coefficient of Pure Seawater,4, 152.000000,   0.000627,   0.000001,   0.000622,   0.000626,   0.000627,   0.000627,   0.000630
"(31, 41]",Total Scattering Coefficient of Pure Seawater,4, 125.000000,   0.000629,   0.000002,   0.000626,   0.000627,   0.000628,   0.000629,   0.000636
"(41, 51]",Total Scattering Coefficient of Pure Seawater,4, 112.000000,   0.000630,   0.000003,   0.000627,   0.000629,   0.000629,   0.000631,   0.000637
"(51, 61]",Total Scattering Coefficient of Pure Seawater,4, 101.000000,   0.000631,   0.000002,   0.000629,   0.000630,   0.000631,   0.000633,   0.000636
"(61, 71]",Total Scattering Coefficient of Pure Seawater,4,  92.000000,   0.000632,   0.000002,   0.000630,   0.000631,   0.000632,   0.000634,   0.000639
"(71, 81]",Total Scattering Coefficient of Pure Seawater,4,  88.000000,   0.000633,   0.000002,   0.000629,   0.000631,   0.000632,   0.000634,   0.000639
"(81, 91]",Total Scattering Coefficient of Pure Seawater,4,  91.000000,   0.000633,   0.000001,   0.000631,   0.000632,   0.000633,   0.000634,   0.000636
"(91, 101]",Total Scattering Coefficient of Pure Seawater,4,  11.000000,   0.000633,   0.000000,   0.000632,   0.000633,   0.000633,   0.000633,   0.000633
"(-9, 1]",Total Volume Scattering Coefficient,4,   2.000000,   0.000224,   0.000022,   0.000208,   0.000216,   0.000224,   0.000231,   0.000239
"(1, 11]",Total Volume Scattering Coefficient,4, 227.000000,   0.000195,   0.000033,   0.000123,   0.000172,   0.000190,   0.000214,   0.000380
"(11, 21]",Total Volume Scattering Coefficient,4, 181.000000,   0.000185,   0.000034,   0.000144,   0.000165,   0.000175,   0.000193,   0.000355
"(21, 31]",Total Volume Scattering Coefficient,4, 153.000000,   0.000224,   0.000080,   0.000147,   0.000168,   0.000193,   0.000248,   0.000597
"(31, 41]",Total Volume Scattering Coefficient,4, 125.000000,   0.000295,   0.000063,   0.000187,   0.000248,   0.000288,   0.000340,   0.000444
"(41, 51]",Total Volume Scattering Coefficient,4, 114.000000,   0.000305,   0.000049,   0.000211,   0.000270,   0.000306,   0.000337,   0.000414
"(51, 61]",Total Volume Scattering Coefficient,4, 102.000000,   0.000279,   0.000059,   0.000181,   0.000227,   0.000277,   0.000324,   0.000423
"(61, 71]",Total Volume Scattering Coefficient,4,  95.000000,   0.000212,   0.000036,   0.000150,   0.000185,   0.000208,   0.000230,   0.000322
"(71, 81]",Total Volume Scattering Coefficient,4,  89.000000,   0.000175,   0.000032,   0.000135,   0.000156,   0.000172,   0.000184,   0.000352
"(81, 91]",Total Volume Scattering Coefficient,4,  92.000000,   0.000159,   0.000023,   0.000126,   0.000144,   0.000155,   0.000168,   0.000270
"(91, 101]",Total Volume Scattering Coefficient,4,  11.000000,   0.000220,   0.000074,   0.000150,   0.000158,   0.000165,   0.000291,   0.000319
