dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(23, 24]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",   0.000000,,,,,,,
"(24, 25]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",12614.000000, 209.082435,  32.788694, 140.501714, 178.957396, 219.179787, 232.037353, 286.949389
"(25, 26]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",252877.000000, 223.826830,  34.491177, 140.528421, 211.425642, 230.356097, 244.364800, 311.745690
"(26, 27]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",948158.000000, 238.903980,  31.643017, 140.229431, 223.942354, 239.829358, 258.941000, 317.442113
"(27, 28]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",501803.000000, 235.508625,  32.702314, 128.981695, 213.113766, 235.831406, 256.598617, 317.198380
"(28, 29]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",127878.000000, 238.908901,  32.489427, 138.569181, 218.971521, 239.677444, 263.772352, 314.232788
"(29, 30]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",101980.000000, 238.741117,  30.896767, 138.153508, 220.752606, 238.513075, 262.978203, 313.125772
"(30, 31]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",103324.000000, 239.564308,  30.785418, 138.159602, 221.973671, 238.274642, 262.478359, 311.174183
"(31, 32]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",98183.000000, 239.461533,  31.326904, 138.137405, 219.393761, 237.740029, 263.522522, 313.172778
"(32, 33]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",95874.000000, 236.943948,  30.923551, 138.165716, 215.722713, 236.573105, 258.348301, 314.859263
"(33, 34]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",100928.000000, 236.328535,  31.788413, 138.261856, 213.523959, 235.141367, 258.172691, 316.085361
"(34, 35]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",100814.000000, 235.871604,  32.097723, 137.667083, 212.829911, 234.622022, 258.880753, 316.783281
"(35, 36]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",105218.000000, 238.587030,  32.043318, 136.814326, 217.476296, 238.695364, 261.294157, 315.674619
"(36, 37]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",112824.000000, 239.858856,  30.680965, 136.039479, 219.593980, 239.781502, 261.425902, 313.489363
"(37, 38]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",108883.000000, 239.118432,  31.231845, 135.461298, 218.029316, 239.228863, 260.818350, 319.781895
"(38, 39]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",102982.000000, 239.409517,  31.749539, 135.249167, 216.591861, 239.185276, 263.752054, 316.221702
"(39, 40]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",98513.000000, 237.982808,  30.840868, 134.790498, 217.172962, 238.241789, 260.762307, 317.147516
"(40, 41]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",96980.000000, 237.977517,  31.294269, 133.447278, 217.214450, 237.559712, 261.389480, 317.124402
"(41, 42]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",93710.000000, 236.392501,  31.410731, 133.113571, 214.520882, 236.063474, 261.183712, 314.509406
"(42, 43]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",86690.000000, 235.493257,  31.561012, 132.818653, 214.368715, 234.528258, 260.225993, 314.398434
"(43, 44]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",84508.000000, 233.948469,  32.015823, 131.346058, 212.077342, 232.920398, 258.401356, 314.256295
"(44, 45]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",83569.000000, 233.570513,  32.291410, 130.922014, 211.913680, 232.665827, 258.204949, 314.090579
"(45, 46]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",81057.000000, 232.282492,  32.305573, 130.415656, 210.964553, 231.738666, 257.164529, 313.978337
"(46, 47]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",79686.000000, 230.971511,  32.469497, 129.846350, 209.649392, 230.167408, 255.271203, 313.854131
"(47, 48]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",77272.000000, 228.824228,  32.515090, 128.027140, 207.873884, 227.860290, 253.340412, 313.626212
"(48, 49]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",75333.000000, 227.327817,  32.707306, 127.070354, 206.119545, 225.981093, 252.066468, 313.576941
"(49, 50]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",73947.000000, 226.610516,  33.205620, 126.184528, 204.745961, 225.779842, 251.784864, 313.292850
"(50, 51]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",72884.000000, 224.958490,  33.398662, 125.055194, 203.113262, 223.523309, 249.361574, 313.404845
"(51, 52]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",74018.000000, 224.693426,  33.760765, 124.124502, 202.433568, 222.935153, 251.033258, 313.025911
"(52, 53]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",71519.000000, 222.766851,  33.887365, 123.619958, 200.240944, 221.061853, 248.279886, 313.043113
"(53, 54]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",70341.000000, 221.336291,  34.244309, 123.371147, 198.289329, 219.297718, 246.282108, 312.896566
"(54, 55]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",71211.000000, 220.874119,  34.287218, 122.763768, 197.453183, 218.774076, 247.074643, 312.671136
"(55, 56]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",69588.000000, 219.230065,  34.400427, 121.911942, 195.692705, 217.117796, 244.144226, 312.687070
"(56, 57]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",69549.000000, 218.282602,  34.679252, 121.191771, 194.434067, 216.079695, 243.537469, 312.514374
"(57, 58]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",68464.000000, 217.130178,  34.890439, 120.585827, 192.823516, 214.860583, 242.171342, 312.299773
"(58, 59]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",68004.000000, 216.042168,  35.098375, 120.142320, 191.621589, 213.710902, 241.020264, 312.320010
"(59, 60]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",67080.000000, 214.767153,  35.236467, 119.451208, 190.129134, 212.275533, 239.404545, 311.868498
"(60, 61]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",67146.000000, 213.959337,  35.514631, 119.252196, 188.840853, 211.299858, 238.952909, 311.945730
"(61, 62]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",66673.000000, 212.817334,  35.642315, 118.917301, 187.662805, 209.996360, 237.575745, 311.624084
"(62, 63]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",66650.000000, 211.945382,  35.887782, 118.635446, 186.553483, 209.033391, 236.867023, 311.154882
"(63, 64]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",66341.000000, 210.922345,  35.982306, 118.473927, 185.436224, 207.724505, 235.675605, 310.644293
"(64, 65]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",66084.000000, 209.911853,  36.149163, 118.046834, 184.258729, 206.393072, 234.633823, 309.447935
"(65, 66]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65979.000000, 209.003881,  36.279666, 117.836898, 183.354126, 205.214779, 233.849784, 309.255140
"(66, 67]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65891.000000, 208.028344,  36.373528, 117.457074, 182.300025, 203.789869, 232.997445, 309.130599
"(67, 68]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65796.000000, 207.020083,  36.487410, 117.074118, 181.143955, 202.530126, 232.054161, 308.048084
"(68, 69]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65770.000000, 206.223776,  36.608650, 116.656326, 180.174173, 201.232044, 231.561936, 308.086872
"(69, 70]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65596.000000, 205.361584,  36.746683, 116.356391, 179.143374, 200.032098, 231.048252, 307.668202
"(70, 71]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65795.000000, 204.507119,  36.860494, 115.778811, 178.188001, 198.853798, 230.494321, 307.439384
"(71, 72]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65468.000000, 203.431298,  36.910980, 115.835944, 177.085298, 197.295959, 229.264553, 307.372955
"(72, 73]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65300.000000, 202.541665,  36.977234, 115.451905, 176.192760, 196.012151, 228.556693, 306.993677
"(73, 74]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65408.000000, 201.668363,  37.110773, 115.074968, 175.126847, 194.854925, 227.643819, 307.001797
"(74, 75]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65195.000000, 200.707882,  37.164168, 114.964790, 174.262213, 193.557125, 226.427303, 306.536952
"(75, 76]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65199.000000, 199.941080,  37.306815, 114.599884, 173.358305, 192.513884, 225.646208, 305.839614
"(76, 77]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65160.000000, 199.036149,  37.376570, 114.418479, 172.400203, 191.286666, 224.809045, 305.377555
"(77, 78]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65189.000000, 198.081426,  37.367885, 114.423617, 171.275025, 190.310031, 223.971562, 305.184692
"(78, 79]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",64864.000000, 197.158416,  37.314368, 114.141831, 170.454796, 189.115425, 222.949683, 304.970788
"(79, 80]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65269.000000, 196.275715,  37.275062, 113.798464, 169.563843, 188.277917, 221.977690, 303.787671
"(80, 81]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65526.000000, 195.559232,  37.281142, 113.240142, 168.845927, 187.123919, 221.431384, 303.054650
"(81, 82]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",64799.000000, 194.583248,  37.346022, 113.247039, 167.996020, 185.658708, 220.271314, 302.408832
"(82, 83]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65857.000000, 194.081209,  37.327003, 112.962607, 167.351517, 185.183713, 220.105662, 301.902991
"(83, 84]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",65467.000000, 192.880557,  37.264984, 112.950270, 166.537958, 183.448253, 218.569192, 300.833980
"(84, 85]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",66420.000000, 192.037149,  37.115234, 112.688809, 165.746499, 182.265463, 217.515459, 299.232531
"(85, 86]",DO - Pressure Temp Sal Corrected (CTD),"1, 2, 3, 4, 5, 6, 7, 8, 9",68212.000000, 190.657259,  36.502319, 112.629167, 165.237747, 181.271543, 215.223838, 298.270714
