dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(24, 25]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",  17.000000,  82.668860,  62.890708,   1.635487,  26.604752,  82.478605, 109.699191, 188.700308
"(25, 26]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",1425.000000,  33.402718,  50.407455,   0.034921,   1.659138,  10.998388,  39.703382, 255.626149
"(26, 27]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7295.000000,  33.520921,  55.110675,   0.034921,   1.430821,   9.180342,  37.766793, 391.763422
"(27, 28]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",9850.000000,  31.996723,  57.896263,   0.034921,   1.253084,   7.775471,  31.309332, 419.065177
"(28, 29]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",8723.000000,  30.922923,  55.858322,   0.034921,   1.372947,   7.730625,  30.493408, 400.644737
"(29, 30]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",8371.000000,  29.866085,  55.451546,   0.034921,   1.226155,   7.321706,  28.255693, 410.512829
"(30, 31]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",8228.000000,  29.395430,  55.631038,   0.034921,   1.187911,   6.688903,  27.952739, 419.723061
"(31, 32]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7703.000000,  27.206140,  51.385072,   0.034921,   1.187911,   6.299407,  25.636697, 405.249828
"(32, 33]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7502.000000,  25.811700,  49.418485,   0.000000,   1.050056,   6.075522,  24.226188, 387.487273
"(33, 34]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7650.000000,  24.592798,  46.295744,   0.000000,   1.021489,   5.462144,  24.165406, 345.712310
"(34, 35]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7886.000000,  22.917757,  43.962116,   0.000000,   1.018406,   4.910145,  21.423247, 347.028054
"(35, 36]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",8010.000000,  20.704578,  39.617849,   0.034921,   0.983451,   4.449557,  20.183250, 317.752696
"(36, 37]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7991.000000,  19.379161,  37.725680,   0.034921,   0.964028,   4.091480,  18.566570, 313.476546
"(37, 38]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",8039.000000,  17.146771,  33.683173,   0.000000,   0.847029,   3.845889,  16.322036, 293.411396
"(38, 39]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7970.000000,  15.737352,  30.882517,   0.000000,   0.816822,   3.451978,  15.475510, 291.108850
"(39, 40]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7971.000000,  14.114004,  28.185369,   0.000000,   0.816822,   3.232510,  13.421277, 259.202004
"(40, 41]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7888.000000,  13.174001,  26.715669,   0.000000,   0.778992,   2.863483,  12.499589, 275.977758
"(41, 42]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7874.000000,  12.079151,  24.639774,   0.000000,   0.778992,   2.658818,  11.254795, 237.821134
"(42, 43]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7713.000000,  10.823990,  22.223444,   0.000000,   0.644002,   2.414670,   9.979683, 213.150892
"(43, 44]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7708.000000,   9.965081,  20.655018,   0.000000,   0.610309,   2.190786,   9.346880, 200.980230
"(44, 45]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7451.000000,   9.394116,  19.748196,   0.034921,   0.612156,   2.044819,   8.663818, 206.572148
"(45, 46]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7381.000000,   8.491504,  17.998121,   0.000000,   0.574532,   1.840153,   7.894478, 214.014347
"(46, 47]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",7216.000000,   7.688842,  16.232586,   0.000000,   0.574532,   1.659138,   6.908947, 193.085754
"(47, 48]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6951.000000,   7.028962,  15.029615,   0.000000,   0.574532,   1.596831,   6.138142, 175.274930
"(48, 49]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6901.000000,   6.592305,  13.974132,   0.000000,   0.574532,   1.577408,   5.871063, 154.600176
"(49, 50]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6872.000000,   5.910216,  12.472773,   0.000000,   0.574532,   1.392371,   5.114811, 149.337200
"(50, 51]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6689.000000,   5.565746,  11.764678,   0.000000,   0.574532,   1.315746,   4.663728, 129.929934
"(51, 52]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6472.000000,   4.990045,  10.622586,   0.000000,   0.440975,   1.187911,   4.030925, 132.561421
"(52, 53]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6350.000000,   4.869268,  10.386688,   0.000000,   0.440975,   1.187911,   3.826465, 117.101412
"(53, 54]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6360.000000,   4.392356,   9.531216,   0.000000,   0.407490,   1.050056,   3.417546, 160.671582
"(54, 55]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6079.000000,   4.246222,   9.058224,   0.000000,   0.407490,   1.021489,   3.213086,  91.711390
"(55, 56]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",6044.000000,   3.951117,   8.335028,   0.000000,   0.407490,   0.983451,   3.008626,  95.159400
"(56, 57]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5993.000000,   3.817260,   8.495912,   0.000000,   0.407490,   0.983451,   2.863483, 161.685714
"(57, 58]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5858.000000,   3.659775,   8.009028,   0.000000,   0.370072,   0.983451,   2.656812,  88.060556
"(58, 59]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5718.000000,   3.482189,   7.991727,   0.000000,   0.370072,   0.816822,   2.414670, 132.073382
"(59, 60]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5632.000000,   3.370851,   7.734294,   0.000000,   0.370072,   0.816822,   2.395247, 113.819224
"(60, 61]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5631.000000,   3.409195,   7.995904,   0.000000,   0.370072,   0.816822,   2.395247, 126.799967
"(61, 62]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5426.000000,   3.168637,   7.893546,   0.000000,   0.370072,   0.778992,   2.190786, 151.544497
"(62, 63]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5460.000000,   3.050698,   7.339335,   0.000000,   0.370072,   0.778992,   2.038647, 100.635645
"(63, 64]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5331.000000,   3.050877,   7.582769,   0.000000,   0.370072,   0.778992,   1.986327, 113.616388
"(64, 65]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5375.000000,   3.132135,   7.811547,   0.000000,   0.370072,   0.778992,   1.973619,  92.522680
"(65, 66]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5260.000000,   2.983463,   7.602655,   0.000000,   0.370072,   0.778992,   1.862165, 105.097788
"(66, 67]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5115.000000,   2.858815,   7.206703,   0.000000,   0.370072,   0.778992,   1.781867,  89.885973
"(67, 68]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5068.000000,   3.003587,   8.147434,   0.000000,   0.370072,   0.778992,   1.781867, 143.837180
"(68, 69]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5049.000000,   3.007382,   8.015313,   0.000000,   0.370072,   0.644002,   1.659138, 146.473906
"(69, 70]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",5038.000000,   2.922363,   7.845990,   0.000000,   0.370072,   0.644002,   1.659138, 139.983535
"(70, 71]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4916.000000,   2.882181,   7.547830,   0.000000,   0.370072,   0.644002,   1.659138,  79.744767
"(71, 72]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4878.000000,   2.927488,   7.930514,   0.000000,   0.370072,   0.644002,   1.596831, 109.154257
"(72, 73]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4934.000000,   2.940280,   7.830522,   0.000000,   0.370072,   0.643358,   1.596831,  92.117038
"(73, 74]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4885.000000,   2.833132,   7.647767,   0.000000,   0.370072,   0.612156,   1.577408,  79.339113
"(74, 75]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4729.000000,   2.969180,   7.788654,   0.034921,   0.370072,   0.612156,   1.596831,  76.905230
"(75, 76]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4790.000000,   2.941655,   8.134735,   0.000000,   0.370072,   0.612156,   1.456111,  88.466204
"(76, 77]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4822.000000,   2.885063,   7.822899,   0.034921,   0.370072,   0.612156,   1.577408, 121.323704
"(77, 78]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4711.000000,   2.865385,   7.909733,   0.000000,   0.370072,   0.574532,   1.430821,  84.409716
"(78, 79]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4618.000000,   2.929570,   8.079223,   0.034886,   0.370072,   0.612156,   1.456111, 122.135000
"(79, 80]",Photosynthetically Active Radiation,"1, 2, 3, 4, 5, 6, 7, 8, 9",4590.000000,   3.084433,   8.485721,   0.034921,   0.370072,   0.612156,   1.577408, 123.149133
