dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(15, 25]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",   0.000000,,,,,,,
"(25, 35]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",2756599.000000, 248.930632,  38.030069,  99.518670, 222.023308, 240.489259, 264.036215, 399.998128
"(35, 45]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",1174310.000000, 248.996008,  42.532366, 141.333906, 219.263229, 236.926275, 268.966743, 399.996375
"(45, 55]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",943426.000000, 242.957796,  47.583526, 120.700834, 211.096971, 230.771046, 264.139807, 399.998713
"(55, 65]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",827087.000000, 228.420804,  47.266476, 123.445439, 194.780848, 221.056277, 248.192635, 399.978782
"(65, 75]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",797662.000000, 218.468064,  47.647746, 124.678795, 182.121970, 213.545416, 238.785915, 399.892237
"(75, 85]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",785709.000000, 211.184196,  48.005835, 119.331083, 174.054303, 207.176076, 231.484111, 395.833607
"(85, 95]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",778933.000000, 205.071708,  47.936587, 130.228186, 167.751949, 199.101673, 226.069982, 389.808056
"(95, 105]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",775254.000000, 199.690199,  47.701883, 127.909100, 162.899095, 190.300384, 221.228781, 377.925222
"(105, 115]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",932426.000000, 190.870062,  45.274376, 119.922618, 156.909799, 178.084049, 212.931968, 364.619671
"(115, 125]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",2893103.000000, 191.558217,  48.153338,  95.976306, 156.332579, 178.967441, 211.759616, 350.962351
"(125, 135]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",21157.000000, 269.926448,  54.627027, 127.394871, 265.873134, 295.999258, 307.847549, 333.668656
