dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(16, 26]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9", 101.000000,   0.000630,   0.000002,   0.000626,   0.000628,   0.000630,   0.000631,   0.000636
"(26, 36]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",71536.000000,   0.000629,   0.000003,   0.000619,   0.000627,   0.000629,   0.000631,   0.000643
"(36, 46]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",71528.000000,   0.000630,   0.000003,   0.000623,   0.000628,   0.000630,   0.000632,   0.000643
"(46, 56]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",70778.000000,   0.000631,   0.000003,   0.000624,   0.000629,   0.000630,   0.000634,   0.000643
"(56, 66]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",69828.000000,   0.000632,   0.000003,   0.000625,   0.000630,   0.000631,   0.000634,   0.000643
"(66, 76]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",69103.000000,   0.000632,   0.000002,   0.000626,   0.000631,   0.000632,   0.000634,   0.000642
"(76, 86]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",68524.000000,   0.000633,   0.000002,   0.000627,   0.000632,   0.000633,   0.000634,   0.000643
"(86, 96]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",68137.000000,   0.000633,   0.000002,   0.000627,   0.000632,   0.000633,   0.000635,   0.000643
"(96, 106]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",67635.000000,   0.000634,   0.000002,   0.000628,   0.000633,   0.000634,   0.000635,   0.000642
"(106, 116]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",66689.000000,   0.000634,   0.000001,   0.000628,   0.000633,   0.000634,   0.000635,   0.000641
"(116, 126]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9",53979.000000,   0.000635,   0.000001,   0.000629,   0.000634,   0.000635,   0.000636,   0.000641
"(126, 136]",seawater_scattering_coefficient,"1, 2, 3, 5, 6, 7, 8, 9", 171.000000,   0.000636,   0.000000,   0.000634,   0.000636,   0.000636,   0.000636,   0.000637
"(16, 26]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9", 101.000000,   1.116212,   0.688485,   0.113400,   0.561800,   0.837400,   1.674800,   2.583000
"(26, 36]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",71536.000000,   0.968660,   0.746844,   0.050400,   0.442800,   0.793000,   1.297100,  20.581400
"(36, 46]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",71528.000000,   0.834429,   0.728207,   0.042400,   0.413400,   0.654500,   1.061400,  31.894200
"(46, 56]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",70778.000000,   0.630492,   0.578618,   0.010600,   0.290000,   0.496800,   0.806400,  21.838000
"(56, 66]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",69828.000000,   0.422682,   0.393011,   0.000000,   0.183000,   0.317200,   0.536800,  13.583700
"(66, 76]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",69101.000000,   0.278519,   0.249498,   0.000000,   0.129600,   0.210600,   0.357000,  10.710000
"(76, 86]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",68522.000000,   0.192180,   0.161340,   0.000000,   0.097200,   0.151200,   0.244000,  10.357200
"(86, 96]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",68132.000000,   0.142015,   0.111153,   0.000000,   0.075600,   0.117000,   0.175500,   7.466400
"(96, 106]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",67607.000000,   0.113260,   0.102025,   0.000000,   0.063000,   0.093600,   0.134200,   9.101200
"(106, 116]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",66573.000000,   0.096337,   0.106801,   0.000000,   0.054000,   0.075600,   0.109800,  11.797400
"(116, 126]",fluorometric_chlorophyll_a,"1, 2, 3, 5, 6, 7, 8, 9",53890.000000,   0.094358,   0.124784,   0.000000,   0.053000,   0.075600,   0.107100,  17.421600
