dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(15, 20]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",   0.000000,,,,,,,
"(20, 25]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",20376.000000, 222.356748,  26.784950, 136.567065, 208.908160, 218.707554, 239.718658, 300.563622
"(25, 30]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",1074241.000000, 228.777683,  25.562646, 147.483572, 213.414323, 231.387048, 246.749304, 301.035162
"(30, 35]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",672489.000000, 225.627781,  17.766015, 147.297831, 212.410306, 227.675592, 236.513600, 292.704306
"(35, 40]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",707120.000000, 239.628908,  23.730661, 141.791313, 224.127193, 242.874898, 259.556622, 291.796288
"(40, 45]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",1645883.000000, 240.836341,  24.489252, 124.036720, 222.685252, 244.282491, 263.079917, 285.454494
"(45, 50]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",416021.000000, 225.617880,  27.833308, 123.775554, 211.587777, 229.093149, 245.780633, 285.517374
"(50, 55]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",125533.000000, 196.219605,  27.101766, 122.227539, 176.861234, 198.166484, 213.452868, 273.368612
"(55, 60]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",123879.000000, 190.306621,  27.421359, 116.006636, 171.104861, 190.717608, 207.744251, 270.017072
"(60, 65]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",126458.000000, 185.196057,  28.282189, 110.037936, 168.215465, 183.987789, 202.719044, 268.670195
"(65, 70]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",124347.000000, 180.652581,  28.629685, 107.525446, 163.511326, 177.938392, 197.911877, 266.015033
"(70, 75]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",124272.000000, 176.743703,  28.934428, 107.068420, 159.221922, 173.196591, 193.648033, 262.802441
"(75, 80]",DO - Pressure Temp Sal Corrected (CTD),"1, 3, 4, 5, 6, 7, 8, 9, 10",125621.000000, 174.617652,  29.159086, 104.329044, 156.834237, 171.348301, 192.615892, 256.555419
