dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(16, 21]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",   0.000000,,,,,,,
"(21, 26]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10", 833.000000,   1.634382,   0.382702,   0.630000,   1.297800,   1.636200,   1.818000,   3.090600
"(26, 31]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",36323.000000,   1.526810,   0.418860,   0.000000,   1.280100,   1.474200,   1.684800,   5.908500
"(31, 36]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",14526.000000,   1.593031,   0.598375,   0.000000,   1.263600,   1.530000,   1.807200,   5.908500
"(36, 41]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",12973.000000,   1.674909,   0.608518,   0.000000,   1.355400,   1.620000,   1.882500,   5.999400
"(41, 46]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13081.000000,   1.705135,   0.601379,   0.000000,   1.438800,   1.656600,   1.890000,   5.999400
"(46, 51]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13170.000000,   1.733778,   0.612087,   0.000000,   1.454400,   1.696800,   1.890000,   5.999400
"(51, 56]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13093.000000,   1.744442,   0.621398,   0.000000,   1.474200,   1.696800,   1.890000,   5.999400
"(56, 61]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13106.000000,   1.751252,   0.637304,   0.000000,   1.474200,   1.696800,   1.890000,   5.908500
"(61, 66]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13000.000000,   1.766462,   0.657552,   0.000000,   1.474200,   1.696800,   1.890000,   5.908500
"(66, 71]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",12875.000000,   1.757217,   0.655279,   0.000000,   1.454400,   1.656600,   1.890000,   5.908500
"(71, 76]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",12981.000000,   1.747557,   0.674622,   0.000000,   1.440000,   1.656600,   1.890000,   5.908500
"(76, 81]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",12939.000000,   1.735557,   0.677760,   0.000000,   1.438800,   1.635000,   1.858400,   5.908500
"(81, 86]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13070.000000,   1.731719,   0.691081,   0.000000,   1.430700,   1.620000,   1.858400,   5.817600
"(86, 91]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13059.000000,   1.716601,   0.697395,   0.000000,   1.404000,   1.620000,   1.858400,   5.908500
"(91, 96]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13224.000000,   1.701142,   0.698294,   0.000000,   1.373400,   1.616000,   1.818000,   5.908500
"(96, 101]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13302.000000,   1.702310,   0.706491,   0.000000,   1.373400,   1.616000,   1.800000,   5.999400
"(101, 106]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13355.000000,   1.692404,   0.700295,   0.000000,   1.373400,   1.616000,   1.800000,   5.999400
"(106, 111]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13367.000000,   1.684816,   0.704062,   0.000000,   1.373400,   1.616000,   1.800000,   5.999400
"(111, 116]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13330.000000,   1.680412,   0.703768,   0.000000,   1.359000,   1.616000,   1.800000,   5.999400
"(116, 121]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13555.000000,   1.670747,   0.704166,   0.000000,   1.355400,   1.616000,   1.800000,   5.999400
"(121, 126]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13490.000000,   1.666705,   0.696577,   0.000000,   1.355400,   1.616000,   1.800000,   5.999400
"(126, 131]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13470.000000,   1.663470,   0.698822,   0.000000,   1.355400,   1.616000,   1.777600,   5.999400
"(131, 136]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13543.000000,   1.658640,   0.689630,   0.000000,   1.355400,   1.616000,   1.777600,   6.090300
"(136, 141]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13542.000000,   1.656852,   0.690105,   0.000000,   1.355400,   1.616000,   1.777600,   6.181200
"(141, 146]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13551.000000,   1.654278,   0.691180,   0.000000,   1.355400,   1.616000,   1.777600,   6.181200
"(146, 151]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13508.000000,   1.651065,   0.682365,   0.000000,   1.359000,   1.616000,   1.777600,   6.181200
"(151, 156]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13472.000000,   1.656767,   0.690296,   0.000000,   1.359000,   1.616000,   1.777600,   6.181200
"(156, 161]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13403.000000,   1.653232,   0.681130,   0.000000,   1.363500,   1.616000,   1.777600,   6.181200
"(161, 166]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13455.000000,   1.658570,   0.687967,   0.000000,   1.373400,   1.616000,   1.777600,   6.181200
"(166, 171]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13319.000000,   1.659176,   0.682283,   0.000000,   1.373400,   1.616000,   1.777600,   6.181200
"(171, 176]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13309.000000,   1.664792,   0.687011,   0.000000,   1.373400,   1.616000,   1.777600,   6.181200
"(176, 181]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13233.000000,   1.668190,   0.685001,   0.000000,   1.373400,   1.616000,   1.777600,   6.181200
"(181, 186]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13166.000000,   1.672399,   0.680410,   0.000000,   1.373400,   1.620000,   1.777600,   6.090300
"(186, 191]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",13001.000000,   1.673496,   0.675788,   0.000000,   1.373400,   1.620000,   1.777600,   6.090300
"(191, 196]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",12845.000000,   1.679178,   0.684172,   0.000000,   1.373400,   1.620000,   1.777600,   6.090300
"(196, 201]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",12944.000000,   1.681925,   0.675620,   0.000000,   1.373400,   1.620000,   1.800000,   5.999400
"(201, 206]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",9241.000000,   1.691153,   0.720388,   0.000000,   1.373400,   1.620000,   1.800000,   5.817600
"(206, 211]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",8198.000000,   1.709917,   0.726362,   0.000000,   1.373400,   1.620000,   1.800000,   5.817600
"(211, 216]",CDOM Concentration,"1, 3, 4, 5, 6, 7, 8, 9, 10",8030.000000,   1.714439,   0.743215,   0.000000,   1.373400,   1.630800,   1.800000,   5.817600
