dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(18, 23]",DO - Pressure Temp Sal Corrected (CTD),1,   0.000000,,,,,,,
"(23, 28]",DO - Pressure Temp Sal Corrected (CTD),1,250058.000000, 271.115827,  21.406998, 234.153877, 254.764152, 261.515015, 291.327485, 312.645748
"(28, 33]",DO - Pressure Temp Sal Corrected (CTD),1,61375.000000, 279.768658,  19.918440, 231.781440, 258.608526, 288.409935, 294.616198, 310.522799
"(33, 38]",DO - Pressure Temp Sal Corrected (CTD),1,71162.000000, 282.987764,  20.316120, 230.582193, 262.437572, 289.722956, 297.830845, 310.340816
"(38, 43]",DO - Pressure Temp Sal Corrected (CTD),1,63656.000000, 279.049286,  19.739426, 222.479851, 258.953426, 287.435076, 293.097796, 309.707972
"(43, 48]",DO - Pressure Temp Sal Corrected (CTD),1,58129.000000, 276.584302,  20.112914, 217.546757, 257.354867, 286.382689, 290.840399, 307.452715
"(48, 53]",DO - Pressure Temp Sal Corrected (CTD),1,50800.000000, 273.493081,  21.584039, 210.910470, 255.037412, 284.993189, 289.859817, 306.359375
"(53, 58]",DO - Pressure Temp Sal Corrected (CTD),1,46389.000000, 268.897990,  23.107959, 197.646508, 252.275573, 276.033545, 288.153551, 303.399838
"(58, 63]",DO - Pressure Temp Sal Corrected (CTD),1,48643.000000, 263.510045,  25.904471, 188.348521, 245.565063, 268.111936, 286.583917, 300.581299
"(63, 68]",DO - Pressure Temp Sal Corrected (CTD),1,185246.000000, 244.618168,  30.526525, 171.903033, 220.692046, 244.778011, 270.638294, 296.984168
"(68, 73]",DO - Pressure Temp Sal Corrected (CTD),1,159885.000000, 266.628971,  23.979995, 192.903719, 254.742793, 273.353263, 285.271119, 296.632768
