dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(0, 1]",Practical Salinity,3,  17.000000,  33.203706,   0.180573,  32.876701,  33.111198,  33.157700,  33.244499,  33.614300
"(1, 2]",Practical Salinity,3, 247.000000,  33.215023,   0.234667,  32.871399,  33.079151,  33.141499,  33.391350,  33.742901
"(2, 3]",Practical Salinity,3, 165.000000,  33.288246,   0.254408,  32.890701,  33.091801,  33.223999,  33.545700,  33.999298
"(3, 4]",Practical Salinity,3, 182.000000,  33.304128,   0.287986,  32.926899,  33.081026,  33.164101,  33.548302,  34.005600
"(4, 5]",Practical Salinity,3, 169.000000,  33.362175,   0.310536,  32.961498,  33.110100,  33.223801,  33.549198,  34.017502
"(5, 6]",Practical Salinity,3, 194.000000,  33.396897,   0.305439,  33.008999,  33.125224,  33.375200,  33.573799,  34.035400
"(6, 7]",Practical Salinity,3, 197.000000,  33.439349,   0.307987,  33.026699,  33.159698,  33.489799,  33.584702,  34.057899
"(7, 8]",Practical Salinity,3, 206.000000,  33.502707,   0.270707,  33.092800,  33.235424,  33.565899,  33.635475,  34.065498
"(8, 9]",Practical Salinity,3, 195.000000,  33.585425,   0.269586,  33.140999,  33.360199,  33.581501,  33.734299,  34.067600
"(9, 10]",Practical Salinity,3, 180.000000,  33.675413,   0.307609,  33.126400,  33.496126,  33.653851,  33.811800,  34.493401
"(10, 11]",Practical Salinity,3, 184.000000,  33.832480,   0.369132,  33.148602,  33.517749,  33.854900,  34.047424,  34.887798
"(11, 12]",Practical Salinity,3, 180.000000,  33.957990,   0.425803,  33.199501,  33.611074,  34.018650,  34.215025,  35.106602
"(12, 13]",Practical Salinity,3, 205.000000,  34.102147,   0.393313,  33.418098,  33.818100,  34.023602,  34.450500,  35.064201
"(13, 14]",Practical Salinity,3, 197.000000,  34.274685,   0.368790,  33.594898,  34.048698,  34.264000,  34.510799,  35.334400
"(14, 15]",Practical Salinity,3, 185.000000,  34.401422,   0.358441,  33.689301,  34.175800,  34.436901,  34.650501,  35.212601
"(15, 16]",Practical Salinity,3, 182.000000,  34.556614,   0.409941,  33.700100,  34.310926,  34.537750,  34.951900,  35.294800
