common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5, 6, 7]",Air Temperature,['ºC'],2015-05-10T00:00:13,2018-03-29T12:41:39,[-9999999.0],"[-50.0, 50.0]",2582528,0,0,0,6,0,2582528,14.4715,-10.166,28.196,7.5275
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5, 6, 7]",Barometric Pressure,['Pa'],2015-05-10T00:00:13,2018-03-29T12:41:39,[-9999999.0],"[87000.0, 108330.0]",1291297,0,0,0,6,164,1291133,101636.7665,96730.0,104444.9922,816.3318
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5, 6, 7]",Downwelling Longwave Irradiance,['W m-2'],2015-05-10T00:00:13,2018-03-29T12:41:39,[-9999999.0],"[200.0, 500.0]",2582528,0,0,0,6,0,2582520,342.0306,205.1,451.9,47.4379
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5, 6, 7]",Downwelling Shortwave Irradiance,['W m-2'],2015-05-10T05:07:09,2018-03-29T12:41:39,[-9999999.0],"[0.0, 1000.0]",2582528,0,0,0,6,0,1647212,247.7415,0.0,1000.0,283.4287
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5]",Latent Heat Flux,['W m-2'],2015-05-10T00:00:13,2017-06-08T10:46:58,[-9999999.0],"[None, None]",1291297,8975,345025,no global ranges,6,7,937290,99.7697,-185.1879,733.6591,105.8392
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5]",Mean Wind Velocity - Eastward Relative to True North,['m s-1'],2015-05-10T00:00:13,2017-06-08T10:46:58,[-9999999.0],"[None, None]",1291297,0,345025,no global ranges,6,0,946272,1.2424,-20.4226,19.5264,5.029
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5, 6, 7]",Mean Wind Velocity - Eastward relative to Magnetic North,['m s-1'],2015-05-10T00:00:13,2018-03-29T12:41:39,[-9999999.0],"[-33.0, 33.0]",1291297,226,0,0,6,0,1291071,1.1846,-21.96,19.95,5.1887
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5]",Mean Wind Velocity - Northward Relative to True North,['m s-1'],2015-05-10T00:00:13,2017-06-08T10:46:58,[-9999999.0],"[None, None]",1291297,0,345025,no global ranges,6,0,946272,-0.4636,-22.459,17.2616,4.6148
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5, 6, 7]",Mean Wind Velocity - Northward relative to Magnetic North,['m s-1'],2015-05-10T00:00:13,2018-03-29T12:41:39,[-9999999.0],"[-33.0, 33.0]",1291297,226,0,0,6,0,1291071,-0.8419,-23.14,17.51,4.7414
metbk_a_instrument,"['recovered_host-metbk_a_dcl_instrument_recovered', 'recovered_host-metbk_hourly', 'telemetered-metbk_a_dcl_instrument', 'telemetered-metbk_hourly']","[2, 3, 4, 5]",Net Heat Flux,['W m-2'],2015-05-10T00:00:13,2017-06-08T10:46:58,[-9999999.0],"[None, None]",1291297,8975,345025,no global ranges,6,24,937273,34.6492,-1233.0371,1987.6855,324.4645
