common_stream_name,preferred_methods_streams,deployments,long_name,units,t0,t1,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,define_stdev,n_outliers,n_stats,mean,min,max,stdev
wavss_a_mean_directional,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Directional Wave Spectral Bins,[],,,[],"[None, None]",,,,,,,,,,,
wavss_a_mean_directional,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Mean Direction of Wave Field,[],,,[],"[0.0, 360.0]",,,,,,,,,,,
wavss_a_mean_directional,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Mean Directional Array,[],,,[],"[0.0, 360.0]",,,,,,,,,,,
wavss_a_mean_directional,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Wave Direction,[],,,[],"[0.0, 360.0]",,,,,,,,,,,
wavss_a_mean_directional,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Wave Direction - Mean,[],,,[],"[0.0, 360.0]",,,,,,,,,,,
wavss_a_motion,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Buoy Displacement - Eastward,[],,,[],"[0.0, 50.0]",,,,,,,,,,,
wavss_a_motion,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Buoy Displacement - Northward,[],,,[],"[0.0, 50.0]",,,,,,,,,,,
wavss_a_motion,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Buoy Displacement - Upward,[],,,[],"[0.0, 3.0]",,,,,,,,,,,
wavss_a_motion,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Buoy Displacement Time,[],,,[],"[None, None]",,,,,,,,,,,
wavss_a_motion,"['recovered_host-wavss_a_dcl_non_directional_recovered', 'recovered_host-wavss_a_dcl_statistics_recovered', 'telemetered-wavss_a_dcl_non_directional', 'telemetered-wavss_a_dcl_statistics']",,Corrected Buoy Displacement - Eastward,[],,,[],"[0.0, 50.0]",,,,,,,,,,,
