dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(15, 25]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",   0.000000,,,,,,,
"(25, 35]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",2776589.000000, 248.691999,  38.047899,   4.393116, 221.831697, 240.239315, 263.777530, 399.998128
"(35, 45]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",1180012.000000, 248.832602,  42.529135,  66.138501, 219.129130, 236.767569, 268.722425, 399.996375
"(45, 55]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",948240.000000, 242.756461,  47.567958,  73.648110, 210.846341, 230.566605, 263.847130, 399.998713
"(55, 65]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",831557.000000, 228.222433,  47.230765,  79.250101, 194.566504, 220.840973, 247.980039, 399.978782
"(65, 75]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",801949.000000, 218.272921,  47.606998,  82.458101, 182.041782, 213.282838, 238.573634, 399.892237
"(75, 85]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",789912.000000, 210.988601,  47.962713,  78.441102, 173.943789, 206.867826, 231.342118, 395.833607
"(85, 95]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",782926.000000, 204.885509,  47.892306,  77.196793, 167.725625, 198.715787, 225.938821, 389.808056
"(95, 105]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",779143.000000, 199.516331,  47.652441,  73.971103, 162.924058, 189.851649, 221.092825, 377.925222
"(105, 115]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",938986.000000, 190.654806,  45.197751,  71.136932, 156.925761, 177.672708, 212.717680, 364.619671
"(115, 125]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",2902352.000000, 191.443422,  48.124261,  72.460929, 156.296360, 178.730452, 211.665896, 350.962351
"(125, 135]",dofst_k_oxygen_l2,"1, 2, 3, 5, 6, 7, 8, 9",21157.000000, 269.926448,  54.627027, 127.394871, 265.873134, 295.999258, 307.847549, 333.668656
