dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(15, 25]",density,"1, 2, 3, 5, 6, 7, 8, 9",   0.000000,,,,,,,
"(25, 35]",density,"1, 2, 3, 5, 6, 7, 8, 9",2760020.000000,1025.624221,   0.707223,1017.653714,1025.147294,1025.718359,1026.200590,1027.693470
"(35, 45]",density,"1, 2, 3, 5, 6, 7, 8, 9",1169785.000000,1025.983707,   0.573128,1020.417177,1025.604253,1026.131997,1026.414483,1027.150819
"(45, 55]",density,"1, 2, 3, 5, 6, 7, 8, 9",942067.000000,1026.224027,   0.451324,1024.273181,1025.951912,1026.307363,1026.558115,1027.255953
"(55, 65]",density,"1, 2, 3, 5, 6, 7, 8, 9",824678.000000,1026.443442,   0.367033,1024.413266,1026.240609,1026.506120,1026.713614,1027.351893
"(65, 75]",density,"1, 2, 3, 5, 6, 7, 8, 9",795331.000000,1026.631375,   0.306720,1024.549829,1026.481707,1026.691116,1026.846742,1027.609547
"(75, 85]",density,"1, 2, 3, 5, 6, 7, 8, 9",782900.000000,1026.791368,   0.260250,1025.199354,1026.671134,1026.844763,1026.969691,1027.676184
"(85, 95]",density,"1, 2, 3, 5, 6, 7, 8, 9",775888.000000,1026.929070,   0.221765,1025.603247,1026.838850,1026.976085,1027.075800,1027.662221
"(95, 105]",density,"1, 2, 3, 5, 6, 7, 8, 9",772148.000000,1027.050991,   0.187370,1025.892003,1026.969762,1027.088363,1027.172453,1027.491905
"(105, 115]",density,"1, 2, 3, 5, 6, 7, 8, 9",929256.000000,1027.161800,   0.153316,1025.951181,1027.094708,1027.189667,1027.260518,1027.575071
"(115, 125]",density,"1, 2, 3, 5, 6, 7, 8, 9",2877573.000000,1027.278403,   0.136093,1021.449809,1027.215324,1027.299641,1027.367747,1027.620205
"(125, 135]",density,"1, 2, 3, 5, 6, 7, 8, 9",21157.000000,1027.368861,   0.084671,1027.115729,1027.317669,1027.376236,1027.430199,1027.581235
"(15, 25]",practical_salinity,"1, 2, 3, 5, 6, 7, 8, 9",   0.000000,,,,,,,
"(25, 35]",practical_salinity,"1, 2, 3, 5, 6, 7, 8, 9",2760020.000000,  34.640801,   0.898253,  26.435835,  33.883506,  34.674381,  35.375272,  36.541385
"(35, 45]",practical_salinity,"1, 2, 3, 5, 6, 7, 8, 9",1169785.000000,  34.674513,   0.869424,  28.811413,  33.990325,  34.682034,  35.346267,  36.887368
"(45, 55]",practical_salinity,"1, 2, 3, 5, 6, 7, 8, 9",942067.000000,  34.761784,   0.815371,  32.576592,  34.148752,  34.802159,  35.385210,  36.658554
