dbar,parameter,deployments,count,mean,std,min,25%,50%,75%,max
"(16, 26]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9", 100.000000,  57.884560, 102.589098,   0.126313,   1.130393,   8.660991,  50.867927, 460.146249
"(26, 36]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",81418.000000,  32.505302,  54.534506,   0.107236,   1.606548,  10.568743,  38.192638, 539.200002
"(36, 46]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",74353.000000,  15.686321,  29.047807,   0.107236,   0.783732,   4.142633,  16.742856, 367.235167
"(46, 56]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",64592.000000,   7.299782,  15.661927,   0.107236,   0.480383,   1.549295,   5.967246, 364.423744
"(56, 66]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",53877.000000,   4.529049,  12.875561,   0.114934,   0.327129,   0.783732,   2.277058, 356.391106
"(66, 76]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",45847.000000,   4.106588,  13.446476,   0.114934,   0.205310,   0.578028,   1.211280, 346.952756
"(76, 86]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",40566.000000,   4.344403,  14.759813,   0.114934,   0.205310,   0.412485,   0.929577, 301.568326
"(86, 96]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",36499.000000,   4.718461,  15.518683,   0.114934,   0.166620,   0.372324,   0.783732, 312.010780
"(96, 106]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",33459.000000,   5.199234,  16.824747,   0.114934,   0.166620,   0.372324,   0.783732, 296.347136
"(106, 116]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",32108.000000,   5.479043,  17.174309,   0.107236,   0.166620,   0.372324,   0.845831, 367.034351
"(116, 126]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",22945.000000,   7.810587,  20.554872,   0.107236,   0.205310,   0.527945,   1.862708, 393.341241
"(126, 136]",parad_k_par,"1, 2, 3, 5, 6, 7, 8, 9",  35.000000,   2.376054,   7.588649,   0.126313,   0.205310,   0.412485,   0.619660,  41.225917
