deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0002,telemetered,vel3d_cd_dcl_velocity_data,turbulent_velocity_east,mm s-1,-9999,"[-3000.0, 3000.0]",4320,0,0,1346,0,2974,68.84,-478.2367,-2999.0,2997.0,1386.8848
deployment0002,telemetered,vel3d_cd_dcl_velocity_data,turbulent_velocity_north,mm s-1,-9999,"[-3000.0, 3000.0]",4320,0,0,361,0,3959,91.64,-779.9896,-2990.0,2983.0,1034.9189
deployment0002,telemetered,vel3d_cd_dcl_velocity_data,turbulent_velocity_vertical,mm s-1,-9999,"[-1000.0, 1000.0]",4320,0,0,374,0,3946,91.34,108.4334,-1000.0,996.0,439.7687
deployment0002,telemetered,vel3d_cd_dcl_velocity_data,vel3d_c_eastward_turbulent_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",4320,0,0,1325,0,2995,69.33,-0.5873,-2.9882,2.9983,1.4223
deployment0002,telemetered,vel3d_cd_dcl_velocity_data,vel3d_c_northward_turbulent_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",4320,0,0,362,0,3958,91.62,-0.651,-2.9985,2.9937,1.0556
deployment0002,telemetered,vel3d_cd_dcl_velocity_data,vel3d_c_upward_turbulent_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",4320,0,0,374,0,3946,91.34,0.1084,-1.0,0.996,0.4398
deployment0002,telemetered,vel3d_cd_dcl_velocity_data,seawater_pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",4320,0,0,0,0,4320,100.0,31906.0368,28955.0,35505.0,1019.2336
deployment0003,recovered_inst,vel3d_cd_dcl_velocity_data_recovered,turbulent_velocity_east,mm s-1,-9999,"[-3000.0, 3000.0]",4330080,0,0,130890,0,4199190,96.98,-29.0743,-3000.0,3000.0,1093.4342
deployment0003,recovered_inst,vel3d_cd_dcl_velocity_data_recovered,turbulent_velocity_north,mm s-1,-9999,"[-3000.0, 3000.0]",4330080,0,1,18086,0,4311993,99.58,56.9165,-3000.0,3000.0,790.5895
deployment0003,recovered_inst,vel3d_cd_dcl_velocity_data_recovered,turbulent_velocity_vertical,mm s-1,-9999,"[-1000.0, 1000.0]",4330080,0,0,27065,0,4303015,99.37,36.2003,-1000.0,1000.0,241.1746
deployment0003,recovered_inst,vel3d_cd_dcl_velocity_data_recovered,vel3d_c_eastward_turbulent_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",4330080,0,0,116004,0,4214076,97.32,-0.0108,-3.0,3.0,1.0719
deployment0003,recovered_inst,vel3d_cd_dcl_velocity_data_recovered,vel3d_c_northward_turbulent_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",4330080,0,0,23826,0,4306254,99.45,0.0624,-3.0,2.9999,0.8476
