deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-06-14T17:01:21,recovered_inst,presf_abc_tide_measurement_recovered,"['recovered_host', 'telemetered']",0 days 00:15:00,0 days 00:30:00,0,0,[],122,2906,122,25,35.19,36.9,35,10,presf_tide_pressure,dbar,0,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0001_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_tide_measurement_recovered_20140417T210000-20140816T220000
deployment0001,2019-06-14T17:01:22,recovered_inst,presf_abc_wave_burst_recovered,"['recovered_host', 'telemetered']",0 days 00:14:17,0 days 00:30:43,0,0,[],122,2906,122,25,35.19,37.8,35,10,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,1,{'99': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0001_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_wave_burst_recovered_20140417T205917-20140816T215917
deployment0002,2019-06-14T17:01:21,recovered_inst,presf_abc_tide_measurement_recovered,['telemetered'],0 days 00:45:00,0 days 01:00:00,0,0,[0.0],185,4398,184,25,35.32,37.03,35,10,presf_tide_pressure,dbar,2,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0002_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_tide_measurement_recovered_20141010T183000-20150411T233000
deployment0002,2019-06-14T17:01:22,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 00:45:01,0 days 02:59:59,0,0,[0.0],185,1466,184,25,35.32,39.54,35,10,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,10800,"{'n_unique_rates': 5, 'common_sampling_rates': {'10800': '99.66%'}}",[],[],[],0,0,pass,1,{'99': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0002_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_wave_burst_recovered_20141010T183001-20150411T213001
deployment0003,2019-06-14T17:01:21,recovered_inst,presf_abc_tide_measurement_recovered,"['recovered_host', 'telemetered']",0 days 00:15:00,0 days 00:30:00,0,0,"[0.0793, 0.0793]",127,3007,126,25,34.53,36.28,35,10,presf_tide_pressure,dbar,0,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0003_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_tide_measurement_recovered_20150603T173000-20151006T233000
deployment0003,2019-06-14T17:01:22,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 04:15:02,0 days 02:29:58,0,0,"[0.0793, 0.0793]",127,501,126,25,34.53,36.94,35,10,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,21600,"{'n_unique_rates': 1, 'common_sampling_rates': {'21600': '100.00%'}}",[],[],[],0,0,pass,1,{'99': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0003_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_wave_burst_recovered_20150603T213002-20151006T213002
deployment0004,2019-06-14T17:01:21,recovered_inst,presf_abc_tide_measurement_recovered,[],0 days 04:58:00,0 days 00:22:00,0,0,"[0.2, 0.2, 0.2152]",216,5159,216,25,34.92,36.68,35,10,presf_tide_pressure,dbar,3,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0004_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_tide_measurement_recovered_20151008T170000-20160510T150000
deployment0004,2019-06-14T17:01:22,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 10:58:02,0 days 04:21:58,0,0,"[0.2, 0.2, 0.2152]",216,859,216,25,34.92,39.55,35,10,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,21600,"{'n_unique_rates': 1, 'common_sampling_rates': {'21600': '100.00%'}}",[],[],[],0,0,pass,1,{'99': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0004_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_wave_burst_recovered_20151008T230002-20160510T110002
deployment0005,2019-06-14T17:01:21,recovered_inst,presf_abc_tide_measurement_recovered,[],0 days 00:46:00,0 days 00:45:00,0,0,"[0.0793, 0.0793, 0.0, 0.2152]",138,3292,138,24,34.03,35.63,34,10,presf_tide_pressure,dbar,1,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0005_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_tide_measurement_recovered_20160518T163000-20161002T193000
deployment0005,2019-06-14T17:01:22,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 02:46:02,0 days 01:44:58,0,0,"[0.0793, 0.0793, 0.0, 0.2152]",138,549,138,24,34.03,36.28,34,10,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,21600,"{'n_unique_rates': 1, 'common_sampling_rates': {'21600': '100.00%'}}",[],[],[],0,0,pass,1,{'99': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0005_CE01ISSM-MFD35-02-PRESFA000-recovered_inst-presf_abc_wave_burst_recovered_20160518T183002-20161002T183002
