deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,2906.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,2906.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,2906.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,2906.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_wave_burst_recovered,recovered_host-presf_abc_dcl_wave_burst_recovered,Seafloor Pressure,presf_wave_burst_pressure,dbar,pass,,,2D dataset,0.0,,,,
deployment0001,recovered_inst-presf_abc_wave_burst_recovered,telemetered-presf_abc_dcl_wave_burst,Seafloor Pressure,presf_wave_burst_pressure,dbar,pass,,,2D dataset,0.0,,,,
deployment0002,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,4398.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,4398.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,3007.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,3007.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,3007.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,3007.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0004,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0005,recovered_inst-presf_abc_tide_measurement_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0005,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,4779.0,0.0,"{'missing_data_gaps': [['2016-10-05T00:30:00', '2016-10-05T01:29:59'], ['2016-10-08T15:30:01', '2016-10-08T16:29:59']], 'n_missing': [2, 2], 'n_missing_total': 4, 'n_missing_days_total': 2}",11.0,0.1099025943,6.3875797798,1.0,9.09
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,4779.0,0.0,"{'missing_data_gaps': [['2016-10-05T00:30:00', '2016-10-05T01:29:59'], ['2016-10-08T15:30:01', '2016-10-08T16:29:59']], 'n_missing': [2, 2], 'n_missing_total': 4, 'n_missing_days_total': 2}",11.0,9.96094e-05,1.455200386,1.0,9.09
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,4779.0,0.0,"{'missing_data_gaps': [['2016-10-05T00:30:00', '2016-10-05T01:29:59'], ['2016-10-08T15:30:01', '2016-10-08T16:29:59']], 'n_missing': [2, 2], 'n_missing_total': 4, 'n_missing_days_total': 2}",11.0,0.1099025943,6.3875797798,1.0,9.09
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,4779.0,0.0,"{'missing_data_gaps': [['2016-10-05T00:30:00', '2016-10-05T01:29:59'], ['2016-10-08T15:30:01', '2016-10-08T16:29:59']], 'n_missing': [2, 2], 'n_missing_total': 4, 'n_missing_days_total': 2}",11.0,9.96094e-05,1.455200386,1.0,9.09
deployment0006,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0007,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,4242.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0007,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,4242.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0007,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,4242.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
