deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,Thermistor Temperature,pco2w_thermistor_temperature,ºC,pass,187.0,0.0,no missing data,149.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,pCO2 Seawater,pco2_seawater,µatm,pass,187.0,169.0,"{'missing_data_gaps': [['2014-04-20T12:05:31', '2014-04-21T00:05:30']], 'n_missing': [3], 'n_missing_total': 3, 'n_missing_days_total': 2}",16.0,0.0,14511.1053166506,10.0,62.5
deployment0002,telemetered-pco2w_abc_dcl_instrument,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,Thermistor Temperature,pco2w_thermistor_temperature,ºC,pass,2971.0,0.0,no missing data,1943.0,0.0,0.0,0.0,0.0
deployment0003,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,pCO2 Seawater,pco2_seawater,µatm,pass,2971.0,1297.0,no missing data,966.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,Thermistor Temperature,pco2w_thermistor_temperature,ºC,pass,693.0,0.0,no missing data,692.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,pCO2 Seawater,pco2_seawater,µatm,pass,693.0,0.0,no missing data,692.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,Thermistor Temperature,pco2w_thermistor_temperature,ºC,pass,539.0,0.0,no missing data,535.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,pCO2 Seawater,pco2_seawater,µatm,pass,539.0,259.0,no missing data,280.0,0.0,0.0,0.0,0.0
deployment0008,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,Thermistor Temperature,pco2w_thermistor_temperature,ºC,pass,3946.0,0.0,no missing data,792.0,0.0,0.0,0.0,0.0
deployment0008,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,pCO2 Seawater,pco2_seawater,µatm,pass,3946.0,1598.0,no missing data,604.0,0.0,0.0567158953,0.0,0.0
deployment0009,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,Thermistor Temperature,pco2w_thermistor_temperature,ºC,pass,2130.0,0.0,no missing data,2128.0,0.0,0.0,0.0,0.0
deployment0009,recovered_host-pco2w_abc_dcl_instrument_recovered,telemetered-pco2w_abc_dcl_instrument,pCO2 Seawater,pco2_seawater,µatm,pass,2130.0,1186.0,no missing data,944.0,0.0,0.0,0.0,0.0
