deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",14544,0,0,0,0,14544,100.0,1025.1162,1022.7664,1026.5836,0.9887
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",14544,0,0,0,0,14544,100.0,32.7235,30.3151,33.9206,0.9359
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",14544,0,0,0,0,14544,100.0,10.4935,7.1587,15.2598,1.7565
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",14544,0,0,0,5,14539,99.97,7.3484,6.6984,7.9416,0.1292
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",14544,0,0,0,0,14544,100.0,3.6279,3.4448,4.0617,0.0997
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",8922,0,0,0,0,8922,100.0,1023.969,1023.0014,1025.1111,0.3154
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",8922,0,0,0,0,8922,100.0,32.0958,30.6331,32.8677,0.3656
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",8922,0,0,0,0,8922,100.0,14.0502,11.1768,15.3337,0.7844
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",8922,0,0,0,5,8917,99.94,7.297,6.4796,7.9281,0.163
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",8922,0,0,0,0,8922,100.0,3.8856,3.6238,4.0167,0.0836
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",12020,0,0,0,0,12020,100.0,1025.6155,1024.2001,1026.5278,0.5838
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",12020,0,0,0,0,12020,100.0,33.374,32.5369,33.8837,0.3184
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",12020,0,0,0,0,12020,100.0,10.4865,7.3396,16.0376,2.0869
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",12020,0,0,0,5,12015,99.96,7.1841,6.688,7.7077,0.1048
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",12020,0,0,0,0,12020,100.0,3.6946,3.4579,4.1912,0.167
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",20628,0,0,2,0,20626,99.99,1023.7139,1020.0762,1026.0491,0.9027
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",20628,0,0,0,2,20626,99.99,31.2228,26.4481,33.4553,1.2487
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",20628,0,0,0,0,20628,100.0,11.8581,8.3117,14.2593,1.0518
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",20628,0,0,2,4,20622,99.97,7.1516,6.1894,7.9433,0.1956
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",20628,0,0,0,2,20626,99.99,3.5994,3.0721,3.9671,0.1884
deployment0005,recovered_host,ctdbp_cdef_dcl_instrument_recovered,conductivity,S m-1,-9999999.0,"[0.0, 6.0]",1860,0,0,0,0,1860,100.0,3.6617,3.4634,3.9744,0.1188
deployment0005,recovered_host,ctdbp_cdef_dcl_instrument_recovered,pressure,dbar,-9999999.0,"[0.0, 6000.0]",1860,0,0,0,1,1859,99.95,7.4173,6.956,7.845,0.1217
