deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-01-02T14:49:37,recovered_host,pco2w_abc_dcl_instrument_blank_recovered,['telemetered'],1 days 00:21:21,5 days 00:23:38,1,5,[],122,12,12,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {917999: '18.18%', 918001: '27.27%'}","{'n_unique_rates': 8, 'common_sampling_rates': {'917999': '18.18%', '918001': '27.27%'}}",[],[],"[['2014-04-18T21:06:21', '2014-04-27T06:06:21'], ['2014-04-27T06:06:21', '2014-05-07T13:06:20'], ['2014-05-07T13:06:20', '2014-05-18T04:06:21'], ['2014-05-18T04:06:21', '2014-05-28T22:06:21'], ['2014-05-28T22:06:21', '2014-06-08T13:06:19'], ['2014-06-08T13:06:19', '2014-06-19T04:06:21'], ['2014-06-19T04:06:21', '2014-06-29T19:06:21'], ['2014-06-29T19:06:21', '2014-07-10T10:06:20'], ['2014-07-10T10:06:20', '2014-07-21T07:06:21'], ['2014-07-21T07:06:21', '2014-08-01T07:06:20'], ['2014-08-01T07:06:20', '2014-08-11T22:06:22']]",11,108,pass,1,{'99': 1},{'99': 1},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0001_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_blank_recovered_20140418T210621.812000-20140811T220622.477000
deployment0001,2019-01-02T14:49:56,recovered_host,pco2w_abc_dcl_instrument_recovered,['telemetered'],0 days 00:20:30,0 days 00:24:28,0,0,[],122,971,122,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {10798: '14.74%', 10799: '28.45%', 10800: '23.81%', 10801: '15.77%'}","{'n_unique_rates': 23, 'common_sampling_rates': {'10798': '14.74%', '10799': '28.45%', '10800': '23.81%', '10801': '15.77%'}}",[],"['absorbance_blank_434', 'absorbance_blank_620']",[],0,0,pass,2,{'99': 2},"{'99': 1, '95': 1}",fail: check ['pCO2 Seawater'],pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0001_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_recovered_20140417T210530.858000-20140816T220532.448000
deployment0002,2019-01-02T14:49:37,recovered_host,pco2w_abc_dcl_instrument_blank_recovered,['telemetered'],2 days 18:51:22,3 days 06:53:41,2,3,[0.0],185,51,51,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {305998: '16.00%', 305999: '20.00%', 306000: '28.00%', 306002: '12.00%'}","{'n_unique_rates': 9, 'common_sampling_rates': {'305998': '16.00%', '305999': '20.00%', '306000': '28.00%', '306002': '12.00%'}}",[],[],"[['2014-10-13T12:36:22', '2014-10-17T01:36:20'], ['2014-10-17T01:36:20', '2014-10-20T14:36:21'], ['2014-10-20T14:36:21', '2014-10-24T03:36:19'], ['2014-10-24T03:36:19', '2014-10-27T17:36:20'], ['2014-10-27T17:36:20', '2014-10-31T06:36:18'], ['2014-10-31T06:36:18', '2014-11-03T19:36:18'], ['2014-11-03T19:36:18', '2014-11-07T08:36:20'], ['2014-11-07T08:36:20', '2014-11-10T21:36:21'], ['2014-11-10T21:36:21', '2014-11-14T10:36:19'], ['2014-11-14T10:36:19', '2014-11-17T23:36:20'], ['2014-11-17T23:36:20', '2014-11-21T12:36:19'], ['2014-11-21T12:36:19', '2014-11-25T01:36:20'], ['2014-11-25T01:36:20', '2014-11-28T14:36:20'], ['2014-11-28T14:36:20', '2014-12-02T03:36:20'], ['2014-12-02T03:36:20', '2014-12-05T16:36:20'], ['2014-12-05T16:36:20', '2014-12-09T05:36:20'], ['2014-12-09T05:36:20', '2014-12-12T18:36:19'], ['2014-12-12T18:36:19', '2014-12-16T07:36:19'], ['2014-12-16T07:36:19', '2014-12-19T20:36:19'], ['2014-12-19T20:36:19', '2014-12-23T09:36:20'], ['2014-12-23T09:36:20', '2014-12-26T22:36:20'], ['2014-12-26T22:36:20', '2014-12-30T12:36:20'], ['2014-12-30T12:36:20', '2015-01-03T01:36:19'], ['2015-01-03T01:36:19', '2015-01-06T14:36:21'], ['2015-01-06T14:36:21', '2015-01-10T04:36:20'], ['2015-01-10T04:36:20', '2015-01-13T17:36:19'], ['2015-01-13T17:36:19', '2015-01-17T06:36:22'], ['2015-01-17T06:36:22', '2015-01-20T19:36:20'], ['2015-01-20T19:36:20', '2015-01-24T08:36:21'], ['2015-01-24T08:36:21', '2015-01-27T21:36:18'], ['2015-01-27T21:36:18', '2015-01-31T10:36:21'], ['2015-01-31T10:36:21', '2015-02-03T23:36:19'], ['2015-02-03T23:36:19', '2015-02-07T12:36:22'], ['2015-02-07T12:36:22', '2015-02-11T01:36:21'], ['2015-02-11T01:36:21', '2015-02-14T14:36:18'], ['2015-02-14T14:36:18', '2015-02-18T03:36:20'], ['2015-02-18T03:36:20', '2015-02-21T16:36:20'], ['2015-02-21T16:36:20', '2015-02-25T05:36:21'], ['2015-02-25T05:36:21', '2015-02-28T18:36:20'], ['2015-02-28T18:36:20', '2015-03-04T07:36:20'], ['2015-03-04T07:36:20', '2015-03-07T20:36:19'], ['2015-03-07T20:36:19', '2015-03-11T09:36:19'], ['2015-03-11T09:36:19', '2015-03-14T22:36:19'], ['2015-03-14T22:36:19', '2015-03-18T11:36:21'], ['2015-03-18T11:36:21', '2015-03-22T00:36:19'], ['2015-03-22T00:36:19', '2015-03-25T13:36:20'], ['2015-03-25T13:36:20', '2015-03-29T02:36:19'], ['2015-03-29T02:36:19', '2015-04-01T15:36:21'], ['2015-04-01T15:36:21', '2015-04-05T04:36:18'], ['2015-04-05T04:36:18', '2015-04-08T17:36:19']]",50,150,pass,1,{'99': 1},{'99': 1},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0002_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_blank_recovered_20141013T123622.108000-20150408T173619.344000
deployment0002,2019-01-02T14:49:56,recovered_host,pco2w_abc_dcl_instrument_recovered,['telemetered'],0 days 00:50:33,0 days 00:54:28,0,0,[0.0],185,4344,184,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '16.49%', 3599: '25.05%', 3600: '24.87%', 3601: '15.52%'}","{'n_unique_rates': 18, 'common_sampling_rates': {'3598': '16.49%', '3599': '25.05%', '3600': '24.87%', '3601': '15.52%'}}",[],"['absorbance_blank_434', 'absorbance_blank_620']",[],0,0,pass,2,{'99': 2},{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0002_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_recovered_20141010T183533.366000-20150411T233532.253000
deployment0003,2019-01-02T14:49:37,recovered_host,pco2w_abc_dcl_instrument_blank_recovered,['telemetered'],2 days 17:21:20,2 days 02:23:41,2,2,"[0.0793, 0.0793]",126,35,35,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {305998: '11.76%', 305999: '35.29%', 306000: '26.47%', 306001: '11.76%'}","{'n_unique_rates': 7, 'common_sampling_rates': {'305998': '11.76%', '305999': '35.29%', '306000': '26.47%', '306001': '11.76%'}}",[],[],"[['2015-06-06T10:36:20', '2015-06-10T00:36:19'], ['2015-06-10T00:36:19', '2015-06-13T13:36:19'], ['2015-06-13T13:36:19', '2015-06-17T02:36:20'], ['2015-06-17T02:36:20', '2015-06-20T15:36:19'], ['2015-06-20T15:36:19', '2015-06-24T04:36:18'], ['2015-06-24T04:36:18', '2015-06-27T17:36:20'], ['2015-06-27T17:36:20', '2015-07-01T06:36:19'], ['2015-07-01T06:36:19', '2015-07-04T19:36:19'], ['2015-07-04T19:36:19', '2015-07-08T08:36:21'], ['2015-07-08T08:36:21', '2015-07-11T21:36:20'], ['2015-07-11T21:36:20', '2015-07-15T10:36:19'], ['2015-07-15T10:36:19', '2015-07-18T23:36:20'], ['2015-07-18T23:36:20', '2015-07-22T12:36:19'], ['2015-07-22T12:36:19', '2015-07-26T01:36:19'], ['2015-07-26T01:36:19', '2015-07-29T14:36:20'], ['2015-07-29T14:36:20', '2015-08-02T03:36:20'], ['2015-08-02T03:36:20', '2015-08-05T16:36:20'], ['2015-08-05T16:36:20', '2015-08-09T05:36:19'], ['2015-08-09T05:36:19', '2015-08-12T18:36:20'], ['2015-08-12T18:36:20', '2015-08-16T07:36:19'], ['2015-08-16T07:36:19', '2015-08-19T20:36:21'], ['2015-08-19T20:36:21', '2015-08-23T09:36:18'], ['2015-08-23T09:36:18', '2015-08-26T22:36:20'], ['2015-08-26T22:36:20', '2015-08-30T11:36:19'], ['2015-08-30T11:36:19', '2015-09-03T00:36:20'], ['2015-09-03T00:36:20', '2015-09-06T13:36:19'], ['2015-09-06T13:36:19', '2015-09-10T02:36:19'], ['2015-09-10T02:36:19', '2015-09-13T15:36:19'], ['2015-09-13T15:36:19', '2015-09-17T04:36:19'], ['2015-09-17T04:36:19', '2015-09-20T17:36:21'], ['2015-09-20T17:36:21', '2015-09-24T06:36:19'], ['2015-09-24T06:36:19', '2015-09-27T19:36:19'], ['2015-09-27T19:36:19', '2015-10-01T08:36:19'], ['2015-10-01T08:36:19', '2015-10-04T21:36:19']]",34,102,pass,1,{'99': 1},{'99': 1},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0003_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_blank_recovered_20150606T103620.708000-20151004T213619.961000
deployment0003,2019-01-02T14:49:56,recovered_host,pco2w_abc_dcl_instrument_recovered,['telemetered'],0 days 01:20:30,0 days 00:24:29,0,0,"[0.0793, 0.0793]",126,2970,126,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '14.69%', 3599: '30.08%', 3600: '28.29%', 3601: '15.66%'}","{'n_unique_rates': 15, 'common_sampling_rates': {'3598': '14.69%', '3599': '30.08%', '3600': '28.29%', '3601': '15.66%'}}",[],"['absorbance_blank_434', 'absorbance_blank_620']",[],0,0,pass,2,{'99': 2},{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0003_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_recovered_20150603T183530.764000-20151006T233531.348000
deployment0004,2019-01-02T14:49:37,recovered_host,pco2w_abc_dcl_instrument_blank_recovered,['telemetered'],1 days 06:34:19,101 days 19:45:40,1,101,"[0.2, 0.2, 0.2152]",216,64,64,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {104399: '15.87%', 104400: '19.05%', 205199: '14.29%', 205200: '14.29%'}","{'n_unique_rates': 12, 'common_sampling_rates': {'104399': '15.87%', '104400': '19.05%', '205199': '14.29%', '205200': '14.29%'}}",[],[],"[['2015-10-09T18:36:19', '2015-10-11T13:36:19'], ['2015-10-11T13:36:19', '2015-10-13T08:36:19'], ['2015-10-13T08:36:19', '2015-10-15T03:36:18'], ['2015-10-15T03:36:18', '2015-10-16T16:36:18'], ['2015-10-16T16:36:18', '2015-10-17T21:36:19'], ['2015-10-17T21:36:19', '2015-10-20T06:36:20'], ['2015-10-20T06:36:20', '2015-10-21T11:36:20'], ['2015-10-21T11:36:20', '2015-10-23T20:36:19'], ['2015-10-23T20:36:19', '2015-10-25T01:36:20'], ['2015-10-25T01:36:20', '2015-10-27T10:36:19'], ['2015-10-27T10:36:19', '2015-10-28T15:36:19'], ['2015-10-28T15:36:19', '2015-10-31T00:36:19'], ['2015-10-31T00:36:19', '2015-11-01T05:36:18'], ['2015-11-01T05:36:18', '2015-11-03T14:36:19'], ['2015-11-03T14:36:19', '2015-11-04T19:36:20'], ['2015-11-04T19:36:20', '2015-11-07T04:36:19'], ['2015-11-07T04:36:19', '2015-11-08T09:36:20'], ['2015-11-08T09:36:20', '2015-11-10T18:36:19'], ['2015-11-10T18:36:19', '2015-11-11T23:36:19'], ['2015-11-11T23:36:19', '2015-11-14T08:36:19'], ['2015-11-14T08:36:19', '2015-11-15T13:36:19'], ['2015-11-15T13:36:19', '2015-11-17T22:36:20'], ['2015-11-17T22:36:20', '2015-11-19T03:36:20'], ['2015-11-19T03:36:20', '2015-11-21T12:36:19'], ['2015-11-21T12:36:19', '2015-11-22T17:36:20'], ['2015-11-22T17:36:20', '2015-11-25T02:36:20'], ['2015-11-25T02:36:20', '2015-11-26T07:36:19'], ['2015-11-26T07:36:19', '2015-11-28T16:36:20'], ['2015-11-28T16:36:20', '2015-11-29T21:36:19'], ['2015-11-29T21:36:19', '2015-12-02T06:36:19'], ['2015-12-02T06:36:19', '2015-12-03T11:36:20'], ['2015-12-03T11:36:20', '2015-12-05T20:36:20'], ['2015-12-05T20:36:20', '2015-12-07T01:36:21'], ['2015-12-07T01:36:21', '2015-12-09T10:36:19'], ['2015-12-09T10:36:19', '2015-12-10T15:36:20'], ['2015-12-10T15:36:20', '2015-12-13T00:36:19'], ['2015-12-13T00:36:19', '2015-12-14T05:36:20'], ['2015-12-14T05:36:20', '2015-12-16T14:36:19'], ['2015-12-16T14:36:19', '2015-12-17T19:36:20'], ['2015-12-17T19:36:20', '2015-12-20T04:36:19'], ['2015-12-20T04:36:19', '2015-12-21T09:36:20'], ['2015-12-21T09:36:20', '2015-12-23T18:36:20'], ['2015-12-23T18:36:20', '2015-12-24T23:36:19'], ['2015-12-24T23:36:19', '2015-12-27T08:36:18'], ['2015-12-27T08:36:18', '2015-12-28T13:36:19'], ['2015-12-28T13:36:19', '2015-12-30T22:36:20'], ['2015-12-30T22:36:20', '2016-01-01T03:36:20'], ['2016-01-01T03:36:20', '2016-01-03T12:36:20'], ['2016-01-03T12:36:20', '2016-01-04T17:36:19'], ['2016-01-04T17:36:19', '2016-01-07T02:36:19'], ['2016-01-07T02:36:19', '2016-01-08T07:36:20'], ['2016-01-08T07:36:20', '2016-01-10T16:36:18'], ['2016-01-10T16:36:18', '2016-01-11T21:36:20'], ['2016-01-11T21:36:20', '2016-01-14T06:36:21'], ['2016-01-14T06:36:21', '2016-01-15T11:36:20'], ['2016-01-15T11:36:20', '2016-01-17T20:36:19'], ['2016-01-17T20:36:19', '2016-01-19T01:36:20'], ['2016-01-19T01:36:20', '2016-01-21T10:36:20'], ['2016-01-21T10:36:20', '2016-01-22T15:36:20'], ['2016-01-22T15:36:20', '2016-01-25T00:36:18'], ['2016-01-25T00:36:18', '2016-01-26T05:36:18'], ['2016-01-26T05:36:18', '2016-01-28T14:36:19'], ['2016-01-28T14:36:19', '2016-01-29T19:36:20']]",63,92,pass,1,{'99': 1},{'99': 1},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0004_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_blank_recovered_20151009T183619.692000-20160129T193620.272000
deployment0004,2019-01-02T14:49:56,recovered_host,pco2w_abc_dcl_instrument_recovered,['telemetered'],0 days 07:33:30,99 days 15:46:29,0,99,"[0.2, 0.2, 0.2152]",216,2701,116,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '14.81%', 3599: '28.78%', 3600: '29.89%', 3601: '14.15%'}","{'n_unique_rates': 17, 'common_sampling_rates': {'3598': '14.81%', '3599': '28.78%', '3600': '29.89%', '3601': '14.15%'}}",[],"['absorbance_blank_434', 'absorbance_blank_620']",[],0,0,pass,2,{'99': 2},{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0004_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_recovered_20151008T193530.569000-20160131T233531.205000
deployment0005,2019-01-02T14:49:37,recovered_host,pco2w_abc_dcl_instrument_blank_recovered,['telemetered'],0 days 00:52:19,57 days 07:38:42,0,57,"[0.0793, 0.0793, 0.0, 0.2152]",138,25,25,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {230398: '16.67%', 230399: '20.83%', 230400: '20.83%'}","{'n_unique_rates': 13, 'common_sampling_rates': {'230398': '16.67%', '230399': '20.83%', '230400': '20.83%'}}",[],[],"[['2016-05-18T16:36:19', '2016-05-21T10:36:21'], ['2016-05-21T10:36:21', '2016-05-24T02:36:20'], ['2016-05-24T02:36:20', '2016-05-26T18:36:20'], ['2016-05-26T18:36:20', '2016-06-01T01:36:19'], ['2016-06-01T01:36:19', '2016-06-03T17:36:18'], ['2016-06-03T17:36:18', '2016-06-06T09:36:18'], ['2016-06-06T09:36:18', '2016-06-09T01:36:19'], ['2016-06-09T01:36:19', '2016-06-11T17:36:20'], ['2016-06-11T17:36:20', '2016-06-14T09:36:19'], ['2016-06-14T09:36:19', '2016-06-19T16:36:19'], ['2016-06-19T16:36:19', '2016-06-22T08:36:19'], ['2016-06-22T08:36:19', '2016-06-25T00:36:21'], ['2016-06-25T00:36:21', '2016-06-30T07:36:19'], ['2016-06-30T07:36:19', '2016-07-02T23:36:20'], ['2016-07-02T23:36:20', '2016-07-05T15:36:19'], ['2016-07-05T15:36:19', '2016-07-10T22:36:21'], ['2016-07-10T22:36:21', '2016-07-13T14:36:20'], ['2016-07-13T14:36:20', '2016-07-16T06:36:20'], ['2016-07-16T06:36:20', '2016-07-21T13:36:19'], ['2016-07-21T13:36:19', '2016-07-24T05:36:19'], ['2016-07-24T05:36:19', '2016-07-26T21:36:18'], ['2016-07-26T21:36:18', '2016-07-29T19:36:19'], ['2016-07-29T19:36:19', '2016-08-01T11:36:18'], ['2016-08-01T11:36:18', '2016-08-06T12:36:18']]",24,66,pass,1,{'99': 1},{'99': 1},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0005_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_blank_recovered_20160518T163619.996000-20160806T123618.836000
deployment0005,2019-01-02T14:49:56,recovered_host,pco2w_abc_dcl_instrument_recovered,['telemetered'],0 days 01:51:32,54 days 22:39:29,0,54,"[0.0793, 0.0793, 0.0, 0.2152]",138,1825,83,7,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '14.75%', 3599: '26.75%', 3600: '27.58%', 3601: '14.75%'}","{'n_unique_rates': 24, 'common_sampling_rates': {'3598': '14.75%', '3599': '26.75%', '3600': '27.58%', '3601': '14.75%'}}",[],"['absorbance_blank_434', 'absorbance_blank_620']",[],0,0,pass,2,{'99': 2},{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0005_CE01ISSM-RID16-05-PCO2WB000-recovered_host-pco2w_abc_dcl_instrument_recovered_20160518T173532.115000-20160808T213531.444000
