deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,nutnr_b_dcl_conc_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",6049,0,0,2490,0.0,3559,58.84,17.9853,-0.0,39.95,11.5871
deployment0002,recovered_inst,nutnr_b_instrument_recovered,salinity_corrected_nitrate,µmol L-1,-9999999.0,"[0.0, 40.0]",68081,0,43025,6,0.0,25050,36.79,5.6954,0.2215,10.8676,1.2513
deployment0002,recovered_inst,nutnr_b_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",68081,0,0,66988,6.0,1087,1.6,1.781,0.0,9.84,1.4426
deployment0003,recovered_inst,nutnr_b_instrument_recovered,salinity_corrected_nitrate,µmol L-1,-9999999.0,"[0.0, 40.0]",49854,0,0,3890,0.0,45964,92.2,18.4849,0.2082,39.997,8.7288
deployment0003,recovered_inst,nutnr_b_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",49854,0,0,5390,0.0,44464,89.19,21.5456,0.66,39.97,9.5398
deployment0004,recovered_inst,nutnr_b_instrument_recovered,salinity_corrected_nitrate,µmol L-1,-9999999.0,"[0.0, 40.0]",10711,0,0,5768,0.0,4943,46.15,1.8519,0.0002,9.2938,1.6179
deployment0004,recovered_inst,nutnr_b_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",10711,0,0,190,43.0,10478,97.82,6.6167,0.02,23.76,3.093
deployment0005,recovered_inst,nutnr_b_instrument_recovered,salinity_corrected_nitrate,µmol L-1,-9999999.0,"[0.0, 40.0]",58710,0,57058,14,0.0,1638,2.79,8.8589,0.0074,16.1996,4.8794
deployment0005,recovered_inst,nutnr_b_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",58710,0,0,21437,0.0,37273,63.49,14.812,-0.0,31.26,7.6535
deployment0006,recovered_inst,nutnr_b_instrument_recovered,salinity_corrected_nitrate,µmol L-1,-9999999.0,"[0.0, 40.0]",51317,0,9936,1792,38.0,39551,77.07,5.3663,0.0021,18.7114,2.6402
deployment0006,recovered_inst,nutnr_b_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",51317,0,0,11437,61.0,39819,77.59,4.0059,0.0,20.82,3.2341
deployment0007,recovered_inst,nutnr_b_instrument_recovered,salinity_corrected_nitrate,µmol L-1,-9999999.0,"[0.0, 40.0]",9679,0,9679,0,,0,0.0,,,,
deployment0007,recovered_inst,nutnr_b_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",9679,0,0,1576,0.0,8103,83.72,11.9784,0.0,39.7,8.0361
