deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0002,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",4389,0,0,no global ranges,17.0,4372,99.61,0.0006,0.0006,0.0006,0.0
deployment0002,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",4389,0,0,1617,18.0,2754,62.75,1.2996,0.2701,6.8328,0.9178
deployment0002,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",4389,0,0,1617,22.0,2750,62.66,3.3957,1.6272,16.3624,1.1133
deployment0002,recovered_host,flort_sample,total_volume_scattering_coefficient,m-1 sr-1,-9999999.0,"[0.0, 0.0079]",4389,0,0,1616,0.0,2773,63.18,0.0021,0.0001,0.0075,0.0016
deployment0002,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",4389,0,0,1616,0.0,2773,63.18,0.0142,0.0007,0.0506,0.011
deployment0002,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",4389,0,4389,,,0,0.0,,,,
deployment0004,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",2,0,0,no global ranges,0.0,2,100.0,0.0006,0.0005,0.0006,0.0001
deployment0004,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",2,0,0,1,0.0,1,50.0,16.8338,16.8338,16.8338,0.0
deployment0004,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",2,0,0,0,0.0,2,100.0,195.2301,73.2722,317.188,121.9579
deployment0004,recovered_host,flort_sample,total_volume_scattering_coefficient,m-1 sr-1,-9999999.0,"[0.0, 0.0079]",2,0,0,0,0.0,2,100.0,0.0037,0.0,0.0075,0.0037
deployment0004,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",2,0,0,1,0.0,1,50.0,0.0505,0.0505,0.0505,0.0
deployment0004,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",2,0,2,,,0,0.0,,,,
deployment0006,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",1783,0,0,no global ranges,0.0,1783,100.0,0.0006,0.0006,0.0006,0.0
deployment0006,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",1783,0,0,0,10.0,1773,99.44,1.1083,0.236,6.8794,1.0477
deployment0006,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",1783,0,0,0,4.0,1779,99.78,2.243,1.4059,3.7215,0.3383
deployment0006,recovered_host,flort_sample,total_volume_scattering_coefficient,m-1 sr-1,-9999999.0,"[0.0, 0.0079]",1783,0,0,0,0.0,1783,100.0,0.0025,0.0005,0.0073,0.0013
deployment0006,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",1783,0,0,0,0.0,1783,100.0,0.0172,0.0034,0.0496,0.0089
deployment0006,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",1783,0,1783,,,0,0.0,,,,
