deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Seawater Temperature,temperature,ºC,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Speed of Sound,speed_of_sound,m s-1,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,9775.0,0.0,no missing data,313.0,0.0,0.3840000033,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,VELPT Pressure,velpt_pressure,dbar,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam1 or X or East Coordinates,velocity_beam1_m_s,m s-1,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam2 or Y or North Coordinates,velocity_beam2_m_s,m s-1,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam3 or Z or Up Coordinates,velocity_beam3_m_s,m s-1,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Eastward Mean Point Seawater Velocity,velpt_j_eastward_velocity,m s-1,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Northward Mean Point Seawater Velocity,velpt_j_northward_velocity,m s-1,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Upward Mean Point Seawater Velocity,velpt_j_upward_velocity,m s-1,pass,9775.0,0.0,no missing data,313.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Seawater Temperature,temperature,ºC,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Speed of Sound,speed_of_sound,m s-1,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,5160.0,0.0,no missing data,9.0,0.0050010681,0.1520004272,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,VELPT Pressure,velpt_pressure,dbar,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam1 or X or East Coordinates,velocity_beam1_m_s,m s-1,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam2 or Y or North Coordinates,velocity_beam2_m_s,m s-1,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam3 or Z or Up Coordinates,velocity_beam3_m_s,m s-1,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Eastward Mean Point Seawater Velocity,velpt_j_eastward_velocity,m s-1,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Northward Mean Point Seawater Velocity,velpt_j_northward_velocity,m s-1,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Upward Mean Point Seawater Velocity,velpt_j_upward_velocity,m s-1,pass,5160.0,0.0,no missing data,9.0,0.0,0.0,0.0,0.0
deployment0003,recovered_cspp-velpt_j_cspp_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Seawater Temperature,temperature,ºC,pass,19585.0,0.0,no missing data,1.0,128.0,128.0,1.0,100.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Speed of Sound,speed_of_sound,m s-1,pass,19585.0,0.0,no missing data,1.0,102.3000488281,102.3000488281,1.0,100.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,19585.0,0.0,no missing data,1.0,0.0060005188,0.0060005188,0.0,0.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,VELPT Pressure,velpt_pressure,dbar,pass,19585.0,0.0,no missing data,1.0,8369.4326171875,8369.4326171875,1.0,100.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam1 or X or East Coordinates,velocity_beam1_m_s,m s-1,pass,19585.0,0.0,no missing data,1.0,32.4890022278,32.4890022278,1.0,100.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam2 or Y or North Coordinates,velocity_beam2_m_s,m s-1,pass,19585.0,0.0,no missing data,1.0,17.7039985657,17.7039985657,1.0,100.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam3 or Z or Up Coordinates,velocity_beam3_m_s,m s-1,pass,19585.0,0.0,no missing data,1.0,16.2060012817,16.2060012817,1.0,100.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Eastward Mean Point Seawater Velocity,velpt_j_eastward_velocity,m s-1,pass,19585.0,0.0,no missing data,1.0,0.0360472388,0.0360472388,0.0,0.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Northward Mean Point Seawater Velocity,velpt_j_northward_velocity,m s-1,pass,19585.0,0.0,no missing data,1.0,0.0083404669,0.0083404669,0.0,0.0
deployment0004,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Upward Mean Point Seawater Velocity,velpt_j_upward_velocity,m s-1,pass,19585.0,0.0,no missing data,1.0,0.0162060019,0.0162060019,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Seawater Temperature,temperature,ºC,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Speed of Sound,speed_of_sound,m s-1,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,28679.0,0.0,no missing data,105.0,0.0,0.1159992218,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,VELPT Pressure,velpt_pressure,dbar,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam1 or X or East Coordinates,velocity_beam1_m_s,m s-1,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam2 or Y or North Coordinates,velocity_beam2_m_s,m s-1,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam3 or Z or Up Coordinates,velocity_beam3_m_s,m s-1,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Eastward Mean Point Seawater Velocity,velpt_j_eastward_velocity,m s-1,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Northward Mean Point Seawater Velocity,velpt_j_northward_velocity,m s-1,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Upward Mean Point Seawater Velocity,velpt_j_upward_velocity,m s-1,pass,28679.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Seawater Temperature,temperature,ºC,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Speed of Sound,speed_of_sound,m s-1,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,24602.0,0.0,no missing data,226.0,0.0,0.0999999046,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,VELPT Pressure,velpt_pressure,dbar,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam1 or X or East Coordinates,velocity_beam1_m_s,m s-1,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam2 or Y or North Coordinates,velocity_beam2_m_s,m s-1,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam3 or Z or Up Coordinates,velocity_beam3_m_s,m s-1,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Eastward Mean Point Seawater Velocity,velpt_j_eastward_velocity,m s-1,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Northward Mean Point Seawater Velocity,velpt_j_northward_velocity,m s-1,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0006,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Upward Mean Point Seawater Velocity,velpt_j_upward_velocity,m s-1,pass,24602.0,0.0,no missing data,226.0,0.0,0.0,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Seawater Temperature,temperature,ºC,pass,25816.0,0.0,no missing data,2107.0,0.0,0.0100002289,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Speed of Sound,speed_of_sound,m s-1,pass,25816.0,0.0,no missing data,2107.0,0.0,0.1000976562,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,25816.0,0.0,no missing data,2107.0,0.0,1.4560003281,1.0,0.05
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,VELPT Pressure,velpt_pressure,dbar,pass,25816.0,0.0,no missing data,2107.0,0.0,0.5060005188,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam1 or X or East Coordinates,velocity_beam1_m_s,m s-1,pass,25816.0,0.0,no missing data,2107.0,0.0,0.1459999979,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam2 or Y or North Coordinates,velocity_beam2_m_s,m s-1,pass,25816.0,0.0,no missing data,2107.0,0.0,0.2779999971,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam3 or Z or Up Coordinates,velocity_beam3_m_s,m s-1,pass,25816.0,0.0,no missing data,2107.0,0.0,0.1340000033,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Eastward Mean Point Seawater Velocity,velpt_j_eastward_velocity,m s-1,pass,25816.0,0.0,no missing data,2107.0,0.0,0.000127372,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Northward Mean Point Seawater Velocity,velpt_j_northward_velocity,m s-1,pass,25816.0,0.0,no missing data,2107.0,0.0,0.0002678812,0.0,0.0
deployment0007,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Upward Mean Point Seawater Velocity,velpt_j_upward_velocity,m s-1,pass,25816.0,0.0,no missing data,2107.0,0.0,0.000134,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Seawater Temperature,temperature,ºC,pass,20016.0,0.0,no missing data,1197.0,0.0,0.0100002289,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Speed of Sound,speed_of_sound,m s-1,pass,20016.0,0.0,no missing data,1197.0,0.0,0.0999755859,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,20016.0,0.0,no missing data,1197.0,0.0,0.3570000529,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,VELPT Pressure,velpt_pressure,dbar,pass,20016.0,0.0,no missing data,1197.0,0.0,0.2220001221,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam1 or X or East Coordinates,velocity_beam1_m_s,m s-1,pass,20016.0,0.0,no missing data,1197.0,0.0,0.1040000021,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam2 or Y or North Coordinates,velocity_beam2_m_s,m s-1,pass,20016.0,0.0,no missing data,1197.0,0.0,0.0920000076,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Velocity Beam3 or Z or Up Coordinates,velocity_beam3_m_s,m s-1,pass,20016.0,0.0,no missing data,1197.0,0.0,0.0899999961,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Eastward Mean Point Seawater Velocity,velpt_j_eastward_velocity,m s-1,pass,20016.0,0.0,no missing data,1197.0,0.0,0.0001077027,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Northward Mean Point Seawater Velocity,velpt_j_northward_velocity,m s-1,pass,20016.0,0.0,no missing data,1197.0,0.0,8.40256e-05,0.0,0.0
deployment0008,recovered_cspp-velpt_j_cspp_instrument_recovered,telemetered-velpt_j_cspp_instrument,Upward Mean Point Seawater Velocity,velpt_j_upward_velocity,m s-1,pass,20016.0,0.0,no missing data,1197.0,0.0,9e-05,0.0,0.0
