deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,temperature,ºC,-9999999.0,"[-2.0, 40.0]",9775,0,0,0,1,9774,99.99,11.3055,9.35,12.8,0.8513
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,speed_of_sound,m s-1,-9999999.0,"[1380.0, 1580.0]",9775,0,0,1,0,9774,99.99,1494.3584,1487.5,1499.5,2.9538
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,pressure_depth,dbar,-9999999.0,"[0.0, 6000.0]",9775,0,0,0,0,9775,100.0,12.681,0.362,24.804,7.2546
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_pressure,dbar,-9999999.0,"[0.0, 6000.0]",9775,0,0,0,1,9774,99.99,12.1896,0.0,24.076,7.1677
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam1_m_s,m s-1,-9999999.0,"[-3.0, 3.0]",9775,0,0,0,30,9745,99.69,-0.0149,-0.464,0.43,0.0809
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam2_m_s,m s-1,-9999999.0,"[-3.0, 3.0]",9775,0,0,1,15,9759,99.84,0.043,-0.652,0.74,0.1369
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam3_m_s,m s-1,-9999999.0,"[-1.0, 1.0]",9775,0,0,24,19,9732,99.56,-0.1981,-0.812,0.346,0.1217
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",9775,0,0,0,29,9746,99.7,-0.0,-0.0005,0.0005,0.0001
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",9775,0,0,0,3,9772,99.97,0.0,-0.0008,0.001,0.0001
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",9775,0,0,0,32,9743,99.67,-0.0002,-0.0009,0.0003,0.0001
deployment0001,recovered_cspp,velpt_j_cspp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",9775,0,0,no global ranges,0,9775,100.0,12.6762,0.3663,24.8041,7.2517
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,temperature,ºC,-9999999.0,"[-2.0, 40.0]",5160,0,0,0,1,5159,99.98,7.7296,7.34,9.3,0.4101
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,speed_of_sound,m s-1,-9999999.0,"[1380.0, 1580.0]",5160,0,0,1,0,5159,99.98,1481.4013,1479.9,1487.3,1.5393
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,pressure_depth,dbar,-9999999.0,"[0.0, 6000.0]",5160,0,0,8,57,5095,98.74,10.9863,0.672,20.862,5.8566
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_pressure,dbar,-9999999.0,"[0.0, 6000.0]",5160,0,0,0,1,5159,99.98,10.784,0.305,20.546,5.8917
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam1_m_s,m s-1,-9999999.0,"[-3.0, 3.0]",5160,0,0,0,6,5154,99.88,0.0236,-0.282,0.396,0.0734
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam2_m_s,m s-1,-9999999.0,"[-3.0, 3.0]",5160,0,0,1,4,5155,99.9,-0.0163,-0.564,0.484,0.1155
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam3_m_s,m s-1,-9999999.0,"[-1.0, 1.0]",5160,0,0,1,0,5159,99.98,-0.1783,-0.519,0.133,0.0997
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",5160,0,0,0,1,5159,99.98,0.0,-0.0003,0.0004,0.0001
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",5160,0,0,0,1,5159,99.98,-0.0,-0.0009,0.0005,0.0001
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",5160,0,0,0,1,5159,99.98,-0.0002,-0.0005,0.0001,0.0001
deployment0002,recovered_cspp,velpt_j_cspp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",5160,0,0,no global ranges,57,5103,98.9,12.9506,-27.455,2051.1915,57.5931
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,temperature,ºC,-9999999.0,"[-2.0, 40.0]",14417,0,0,0,1,14416,99.99,9.3135,8.16,12.75,0.8542
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,speed_of_sound,m s-1,-9999999.0,"[1380.0, 1580.0]",14417,0,0,1,0,14416,99.99,1487.2612,1483.1,1499.4,3.076
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,pressure_depth,dbar,-9999999.0,"[0.0, 6000.0]",14417,0,0,0,102,14315,99.29,11.2792,0.532,21.678,6.3585
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_pressure,dbar,-9999999.0,"[0.0, 6000.0]",14417,0,0,0,1,14416,99.99,11.313,0.297,21.751,6.4174
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam1_m_s,m s-1,-9999999.0,"[-3.0, 3.0]",14417,0,0,0,33,14384,99.77,0.0152,-0.345,0.393,0.0731
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam2_m_s,m s-1,-9999999.0,"[-3.0, 3.0]",14417,0,0,1,21,14395,99.85,-0.0087,-0.521,0.51,0.1014
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,velocity_beam3_m_s,m s-1,-9999999.0,"[-1.0, 1.0]",14417,0,0,1,4,14412,99.97,-0.1504,-0.531,0.238,0.085
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",14417,0,0,0,17,14400,99.88,0.0,-0.0004,0.0004,0.0001
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",14417,0,0,0,3,14414,99.98,-0.0,-0.0008,0.0006,0.0001
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,velpt_j_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",14417,0,0,0,5,14412,99.97,-0.0002,-0.0005,0.0002,0.0001
deployment0003,recovered_cspp,velpt_j_cspp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",14417,0,0,no global ranges,106,14311,99.26,11.5411,0.5331,1702.6631,20.5076
deployment0004,recovered_cspp,velpt_j_cspp_instrument_recovered,temperature,ºC,-9999999.0,"[-2.0, 40.0]",19585,0,0,0,2,19583,99.99,10.808,8.45,15.01,1.7211
