deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_cspp,spkir_abj_cspp_instrument_recovered,pressure_depth,,None,"[0.0, 6000.0]",,,,,,variable not found in file,stats not calculated,,,,
deployment0001,recovered_cspp,spkir_abj_cspp_instrument_recovered,"spkir_abj_cspp_downwelling_vector (dims: ['time', 'spectra'])",µW cm-2 nm-1,-9999999.0,"[0.0, 300.0]","[66408, 464856]",0.0,0.0,31457.0,,433399,93.23,"[5.23, 6.11, 8.75, 9.08, 9.36, 8.31, 3.29]","[0.01, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0]","[204.79, 255.68, 284.54, 282.68, 277.29, 276.91, 210.13]","[14.43, 15.91, 19.69, 19.72, 20.05, 19.16, 12.57]"
deployment0002,recovered_cspp,spkir_abj_cspp_instrument_recovered,pressure_depth,,None,"[0.0, 6000.0]",,,,,,variable not found in file,stats not calculated,,,,
deployment0002,recovered_cspp,spkir_abj_cspp_instrument_recovered,"spkir_abj_cspp_downwelling_vector (dims: ['time', 'spectra'])",µW cm-2 nm-1,-9999999.0,"[0.0, 300.0]","[33407, 233849]",0.0,0.0,59506.0,,174343,74.55,"[7.29, 5.07, 7.03, 11.18, 9.23, 6.73, 5.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[221.16, 236.24, 293.09, 287.19, 292.08, 299.15, 256.1]","[18.62, 16.94, 20.01, 23.96, 22.1, 18.7, 16.39]"
deployment0003,recovered_cspp,spkir_abj_cspp_instrument_recovered,pressure_depth,,None,"[0.0, 6000.0]",,,,,,variable not found in file,stats not calculated,,,,
deployment0003,recovered_cspp,spkir_abj_cspp_instrument_recovered,"spkir_abj_cspp_downwelling_vector (dims: ['time', 'spectra'])",µW cm-2 nm-1,-9999999.0,"[0.0, 300.0]","[94459, 661213]",0.0,0.0,133869.0,,527344,79.75,"[10.28, 14.94, 15.46, 19.22, 20.91, 6.68, 7.27]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[231.17, 296.27, 283.31, 291.25, 296.12, 282.06, 253.66]","[19.69, 26.42, 28.71, 29.7, 32.09, 18.99, 18.55]"
deployment0004,recovered_cspp,spkir_abj_cspp_instrument_recovered,pressure_depth,,None,"[0.0, 6000.0]",,,,,,variable not found in file,stats not calculated,,,,
deployment0004,recovered_cspp,spkir_abj_cspp_instrument_recovered,"spkir_abj_cspp_downwelling_vector (dims: ['time', 'spectra'])",µW cm-2 nm-1,-9999999.0,"[0.0, 300.0]","[126894, 888258]",0.0,0.0,282586.0,,605672,68.19,"[5.53, 7.54, 6.24, 9.06, 11.07, 3.33, 5.22]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[161.65, 235.96, 258.95, 270.8, 296.26, 267.86, 247.3]","[11.65, 16.3, 16.2, 18.23, 21.09, 11.72, 13.63]"
deployment0005,recovered_cspp,spkir_abj_cspp_instrument_recovered,pressure_depth,,None,"[0.0, 6000.0]",,,,,,variable not found in file,stats not calculated,,,,
deployment0005,recovered_cspp,spkir_abj_cspp_instrument_recovered,"spkir_abj_cspp_downwelling_vector (dims: ['time', 'spectra'])",µW cm-2 nm-1,-9999999.0,"[0.0, 300.0]","[188531, 1319717]",0.0,0.0,392794.0,,926923,70.24,"[10.4, 11.25, 9.17, 13.5, 14.22, 5.26, 8.1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[279.63, 299.4, 297.55, 297.71, 296.24, 294.63, 283.59]","[23.16, 25.62, 24.23, 28.44, 28.18, 17.83, 20.49]"
