deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,streamed,optaa_sample,"beam_attenuation (dims: [77, 7768581])",['m-1'],-9999999.0,"[0.0, 100.0]","[77, 598180737]",0.0,598180737.0,,,0,0.0,,,,
deployment0001,streamed,optaa_sample,"optical_absorption (dims: [77, 7768581])",['m-1'],-9999999.0,"[0.0, 100.0]","[77, 598180737]",0.0,598180737.0,,,0,0.0,,,,
deployment0001,streamed,optaa_sample,wavelength_a,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[-9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
deployment0001,streamed,optaa_sample,wavelength_c,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[-9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
deployment0002,streamed,optaa_sample,"beam_attenuation (dims: [88, 7782881])",['m-1'],-9999999.0,"[0.0, 100.0]","[88, 684893528]",6868598.0,80456904.0,22823351,0.0,574744675,83.92,10.3627,0.0,41.4754,14.105
deployment0002,streamed,optaa_sample,"optical_absorption (dims: [88, 7782881])",['m-1'],-9999999.0,"[0.0, 100.0]","[88, 684893528]",116866446.0,80456904.0,203256354,897243.0,283416581,41.38,0.5211,0.0,5.4892,0.7775
deployment0002,streamed,optaa_sample,wavelength_a,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[401.2, 404.8, 408.0, 411.0, 414.4, 418.0, 422.2, 426.2, 430.1, 433.8, 437.9, 442.1, 446.5, 450.6, 454.8, 459.4, 463.3, 467.8, 473.1, 477.3, 481.7, 486.2, 490.2, 494.4, 498.8, 502.8, 507.4, 511.8, 517.1, 521.5, 526.5, 530.4, 534.1, 538.2, 542.5, 546.4, 550.9, 554.5, 559.3, 563.5, 567.3, 571.2, 574.7, 578.5, 581.9, 585.6, 589.5, 593.2, 596.9, 601.4, 605.5, 610.5, 614.3, 618.9, 622.9, 626.5, 630.4, 634.4, 638.5, 642.3, 646.4, 650.7, 654.9, 658.8, 662.9, 667.2, 671.4, 674.9, 678.9, 682.7, 685.9, 689.7, 692.8, 696.5, 699.6, 703.1, 706.5, 709.7, 712.9, 716.0, 718.7, 721.7, 724.4, 728.1, 731.1, 733.2, 735.3, 738.1, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
deployment0002,streamed,optaa_sample,wavelength_c,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[399.8, 403.0, 406.6, 409.8, 413.2, 416.9, 420.5, 424.7, 428.6, 432.4, 436.4, 440.2, 444.6, 448.8, 453.0, 457.6, 461.5, 465.7, 470.8, 475.4, 479.9, 483.9, 488.5, 492.7, 496.7, 500.8, 505.4, 509.7, 514.4, 519.9, 524.2, 528.5, 532.5, 536.5, 540.8, 544.7, 549.2, 552.9, 557.5, 562.0, 565.6, 569.6, 573.4, 576.9, 581.4, 585.3, 589.0, 592.7, 596.6, 601.1, 604.8, 609.3, 613.7, 617.7, 622.2, 626.0, 629.9, 634.0, 637.7, 641.6, 645.8, 649.9, 653.9, 658.1, 662.3, 666.2, 670.8, 674.2, 677.8, 681.9, 685.5, 688.7, 692.3, 696.0, 698.9, 702.3, 705.5, 708.7, 712.1, 715.0, 718.2, 721.3, 723.8, 727.0, 730.2, 732.4, 734.2, 737.3, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
deployment0003,streamed,optaa_sample,"beam_attenuation (dims: [85, 26636145])",['m-1'],-9999999.0,"[0.0, 100.0]","[85, 2264072325]",26636148.0,0.0,3743481,18151482.0,2215541214,97.86,4.389,0.0442,30.9578,4.348
deployment0003,streamed,optaa_sample,"optical_absorption (dims: [85, 26636145])",['m-1'],-9999999.0,"[0.0, 100.0]","[85, 2264072325]",75237555.0,0.0,122016352,3134430.0,2063683988,91.15,1.8525,0.0,29.2998,5.2823
