deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,4139,0,no missing data,4138,0.0,0.0,0,0.0
deployment0001,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,4139,249,no missing data,3889,4.68e-08,0.0039569404,0,0.0
deployment0001,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,4139,0,no missing data,4138,0.0,0.0,0,0.0
deployment0001,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,4139,249,no missing data,3889,4.68e-08,0.0039569404,0,0.0
deployment0002,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,6389,0,"{'missing_data_gaps': [['2015-12-19T03:30:57', '2016-05-16T20:31:59']], 'n_missing': [3594], 'n_missing_total': 3594, 'n_missing_days_total': 150}",1734,0.0,0.0,0,0.0
deployment0002,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,6389,0,"{'missing_data_gaps': [['2015-12-19T03:30:57', '2016-05-16T20:31:59']], 'n_missing': [3594], 'n_missing_total': 3594, 'n_missing_days_total': 150}",1734,7e-10,0.0001581736,0,0.0
deployment0002,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,6389,0,"{'missing_data_gaps': [['2015-12-19T03:30:57', '2016-05-16T17:31:57']], 'n_missing': [3591], 'n_missing_total': 3591, 'n_missing_days_total': 150}",1734,0.0,0.0,0,0.0
deployment0002,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,6389,0,"{'missing_data_gaps': [['2015-12-19T03:30:57', '2016-05-16T17:31:57']], 'n_missing': [3591], 'n_missing_total': 3591, 'n_missing_days_total': 150}",1734,7e-10,0.0001581736,0,0.0
deployment0003,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,4203,0,no missing data,3168,0.0,0.0,0,0.0
deployment0003,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,4203,0,no missing data,3168,1.3e-09,0.0006735403,0,0.0
