deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1711841, 136947280]",0.0,0.0,10,74165.0,136873105,99.95,1.2768,0.0615,4.996,0.7306
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1711841, 136947280]",68218.0,0.0,15807079,1161958.0,119910025,87.56,0.4203,0.0,19.7577,1.0898
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",80,,,no global ranges,,not calculated,stats not calculated,"[400.3, 403.7, 407.3, 410.5, 414.1, 417.3, 421.7, 425.6, 429.9, 433.4, 437.3, 441.4, 445.5, 449.9, 454.5, 458.3, 462.7, 466.8, 471.9, 475.9, 480.8, 485.3, 489.7, 493.7, 498.1, 502.4, 507.3, 511.6, 516.8, 521.3, 525.4, 529.8, 534.1, 538.0, 542.5, 546.8, 551.2, 555.5, 560.1, 564.4, 568.5, 572.5, 576.8, 580.7, 585.1, 589.5, 594.0, 597.7, 601.9, 606.6, 611.2, 615.5, 620.2, 624.2, 628.4, 632.9, 637.0, 641.5, 645.8, 650.1, 654.7, 658.8, 663.4, 667.8, 672.1, 676.5, 680.7, 684.6, 688.7, 692.4, 696.6, 700.4, 704.2, 707.9, 712.0, 715.5, 719.3, 723.2, 726.8, 730.4]",,,
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",80,,,no global ranges,,not calculated,stats not calculated,"[400.0, 403.7, 407.1, 410.5, 413.7, 417.6, 421.7, 425.6, 429.9, 433.8, 437.7, 441.6, 446.0, 450.4, 455.0, 458.9, 463.3, 467.6, 472.4, 476.9, 481.8, 486.2, 490.6, 494.6, 499.1, 503.5, 508.3, 512.8, 518.0, 522.3, 526.8, 531.0, 535.3, 539.6, 544.2, 548.3, 553.1, 557.4, 562.0, 565.7, 570.3, 573.4, 577.6, 581.7, 585.9, 590.8, 595.0, 599.1, 603.3, 608.0, 612.2, 616.9, 621.2, 625.5, 629.9, 634.2, 638.3, 643.1, 647.1, 651.7, 656.0, 660.8, 665.0, 669.8, 673.7, 678.1, 682.2, 686.6, 690.2, 694.1, 698.1, 702.1, 706.0, 709.9, 713.6, 717.3, 720.9, 725.1, 728.4, 732.3]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[2206533, 187555305]",2206533.0,0.0,9,625459.0,184723304,98.49,1.6631,0.0794,8.8817,1.366
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[2206533, 187555305]",4413075.0,0.0,30655442,580981.0,151905807,80.99,0.1244,0.0,1.0023,0.1624
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",85,,,no global ranges,,not calculated,stats not calculated,"[398.0, 401.6, 405.7, 409.1, 413.0, 416.6, 420.6, 424.9, 429.2, 433.1, 437.1, 441.4, 445.8, 450.6, 455.0, 459.4, 463.6, 467.8, 472.6, 477.5, 482.2, 486.7, 490.8, 495.3, 499.6, 504.0, 508.7, 513.5, 518.2, 522.7, 527.0, 531.3, 535.4, 539.7, 543.7, 548.1, 552.6, 556.9, 561.0, 565.0, 569.1, 572.9, 576.8, 580.7, 584.6, 588.6, 592.9, 597.4, 601.4, 606.0, 610.5, 615.0, 619.2, 623.9, 628.0, 632.4, 636.5, 641.3, 645.5, 650.2, 654.7, 659.1, 663.7, 668.3, 672.6, 677.0, 681.2, 685.5, 689.7, 693.7, 697.8, 701.7, 705.7, 709.5, 713.7, 717.6, 721.7, 725.4, 729.6, 733.1, 736.9, 740.5, 744.5, 748.4, 751.9]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",85,,,no global ranges,,not calculated,stats not calculated,"[399.8, 403.9, 407.1, 410.7, 414.4, 418.2, 422.6, 426.9, 431.1, 435.2, 438.9, 443.5, 448.1, 452.9, 457.1, 461.3, 465.7, 470.3, 475.2, 479.9, 484.3, 488.8, 493.2, 497.5, 501.9, 506.6, 511.4, 515.8, 520.6, 525.1, 529.4, 533.5, 537.7, 541.8, 546.1, 550.4, 554.8, 559.1, 563.3, 567.4, 571.2, 574.9, 579.0, 582.7, 586.6, 590.5, 595.0, 599.3, 603.6, 608.3, 613.0, 617.5, 621.7, 625.9, 630.0, 634.4, 639.0, 643.1, 647.9, 652.2, 657.0, 661.3, 665.5, 670.1, 674.9, 679.1, 683.2, 687.4, 691.5, 695.4, 699.4, 703.3, 707.3, 711.5, 715.0, 719.2, 723.0, 727.0, 730.7, 734.6, 738.0, 742.1, 745.7, 749.2, 753.0]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[838209, 71247765]",758371.0,9819714.0,8602,143777.0,60517301,84.94,1.2408,0.0,6.0905,0.7944
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[838209, 71247765]",759486.0,9819714.0,3863652,105621.0,56699292,79.58,0.1875,0.0,1.6247,0.1893
