deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-01-11T15:11:02,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:26:42,27 days 11:31:31,0,27,[],174,203637,143,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 37, 'common_sampling_rates': {'64': '74.39%'}}",[],"['eastward_velocity', 'northward_velocity']","[['2015-04-04T13:52:48', '2015-04-08T03:07:37']]",1,3,pass,24,"{'99': 16, '95': 4, '75': 1, '0': 3}",{'99': 20},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20150402T204142.030000-20150825T201629.847000
deployment0001,2019-01-11T15:11:16,recovered_host,metbk_hourly,['telemetered'],0 days 01:00:59,27 days 11:17:35,0,27,[],174,3396,143,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 37, 'common_sampling_rates': {'3600': '98.09%'}}",[],"['northward_velocity', 'eastward_velocity', 'longwave_irradiance', 'sea_surface_temperature', 'air_temperature', 'relative_humidity', 'barometric_pressure', 'precipitation', 'met_relwind_speed', 'shortwave_irradiance', 'time']","[['2015-04-04T13:30:52', '2015-04-08T03:37:37']]",1,3,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20150402T211559.890000-20150825T203025.060000
deployment0002,2019-01-11T15:11:02,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:21,0 days 00:00:17,0,0,[0.3319],223,316182,223,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 153, 'common_sampling_rates': {'64': '72.40%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 18, '95': 1, '75': 2, '0': 3}",{'99': 20},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20151007T211021.365000-20160516T210843.183000
deployment0002,2019-01-11T15:11:16,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:21,-1 days +23:38:43,0,-1,[0.3319],223,5310,223,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 56, 'common_sampling_rates': {'3600': '97.83%'}}",[],"['eastward_velocity', 'northward_velocity', 'sea_surface_temperature', 'air_temperature', 'shortwave_irradiance', 'longwave_irradiance', 'barometric_pressure', 'precipitation', 'met_relwind_speed', 'relative_humidity', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20151007T214021.365000-20160516T213017.576000
deployment0003,2019-01-11T15:11:02,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:24:55,0 days 00:28:31,0,0,"[0.2889, 0.0861]",135,192577,135,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 29, 'common_sampling_rates': {'64': '68.11%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 20, '75': 1, '0': 3}",{'99': 20},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20160517T214755.792000-20160928T152329.924000
deployment0003,2019-01-11T15:11:16,recovered_host,metbk_hourly,['telemetered'],0 days 00:54:55,0 days 00:21:27,0,0,"[0.2889, 0.0861]",135,3211,135,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 38, 'common_sampling_rates': {'3600': '97.98%'}}",[],"['northward_velocity', 'eastward_velocity', 'met_relwind_speed', 'barometric_pressure', 'longwave_irradiance', 'sea_surface_temperature', 'relative_humidity', 'air_temperature', 'precipitation', 'shortwave_irradiance', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20160517T221755.792000-20160928T153033.657000
deployment0004,2019-01-11T15:11:02,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:23:35,0 days 01:00:44,0,0,"[0.1111, 0.4406, 0.4]",209,248698,198,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 391, 'common_sampling_rates': {'64': '68.95%'}}",[],"['eastward_velocity', 'northward_velocity']","[['2017-01-02T10:59:17', '2017-01-03T23:08:12'], ['2017-01-26T12:11:28', '2017-01-29T14:44:28'], ['2017-01-29T14:44:28', '2017-01-31T18:27:25'], ['2017-01-31T18:45:15', '2017-02-05T13:46:10'], ['2017-02-05T21:34:14', '2017-02-08T19:43:18'], ['2017-02-08T19:57:53', '2017-02-11T13:14:58']]",6,14,pass,24,"{'99': 17, '95': 5, '75': 2}","{'99': 22, '95': 1}",fail: check ['Surface Current Direction'],pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20160926T214835.539000-20170422T122316.771000
deployment0004,2019-01-11T15:11:16,recovered_host,metbk_hourly,['telemetered'],0 days 00:53:35,0 days 00:53:42,0,0,"[0.1111, 0.4406, 0.4]",209,4369,198,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 78, 'common_sampling_rates': {'3600': '96.41%'}}",[],"['northward_velocity', 'eastward_velocity', 'met_relwind_speed', 'longwave_irradiance', 'air_temperature', 'precipitation', 'shortwave_irradiance', 'relative_humidity', 'barometric_pressure', 'sea_surface_temperature', 'time']","[['2017-01-02T10:30:20', '2017-01-03T23:38:12'], ['2017-01-26T12:30:18', '2017-01-29T15:14:28'], ['2017-01-29T15:14:28', '2017-01-31T18:57:25'], ['2017-01-31T18:57:25', '2017-02-05T14:16:10'], ['2017-02-05T21:16:10', '2017-02-08T20:13:18'], ['2017-02-08T20:13:18', '2017-02-11T13:44:58']]",6,14,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20160926T221835.539000-20170422T123018.272000
deployment0005,2019-01-11T15:11:02,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:08:48,1 days 03:48:49,0,1,"[0.2778, 0.0909, 0.0111, 0.3889]",179,254708,178,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 44, 'common_sampling_rates': {'60': '13.04%', '64': '56.99%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 16, '95': 6, '75': 1, '0': 1}","{'99': 22, '95': 1}",fail: check ['Surface Current Direction'],pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20170420T173148.775000-20171014T151743.547000
deployment0005,2019-01-11T15:11:16,recovered_host,metbk_hourly,['telemetered'],0 days 00:38:48,1 days 03:36:03,0,1,"[0.2778, 0.0909, 0.0111, 0.3889]",179,4247,178,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 49, 'common_sampling_rates': {'3600': '97.93%'}}",[],"['northward_velocity', 'eastward_velocity', 'precipitation', 'longwave_irradiance', 'sea_surface_temperature', 'air_temperature', 'barometric_pressure', 'shortwave_irradiance', 'relative_humidity', 'met_relwind_speed', 'time']",[],0,0,pass,15,"{'99': 2, '75': 11, '0': 2}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CE02SHSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20170420T180148.775000-20171014T153029.696000
