deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",9966,0,0,0,0.0,9966,100.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered,nutnr_nitrogen_in_nitrate,mg/l,-9999999.0,"[0.0, 2.5]",9966,0,0,0,0.0,9966,100.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered,pressure_depth,dbar,-9999999.0,"[0.0, 6000.0]",9966,0,0,0,0.0,9966,100.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered,ctd_psu,1,-9999999.0,"[0.0, 42.0]",9966,0,0,9960,0.0,6,0.06,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered,ctd_temp,ºC,-9999999.0,"[-2.0, 40.0]",9966,0,0,0,7.0,9959,99.93,-1.0,-1.0,-1.0,0.0
deployment0001,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered,ctd_dbar,dbar,-9999999.0,"[0.0, 6000.0]",9966,0,0,9959,0.0,7,0.07,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",9966,0,0,no global ranges,0.0,9966,100.0,33.8022,0.642,72.3508,19.9474
deployment0001,recovered_cspp,nutnr_j_cspp_instrument_recovered,salinity_corrected_nitrate,µmol L-1,-9999999.0,"[0.0, 40.0]",1530,0,0,2,0.0,1528,99.87,20.6981,13.8107,36.9471,7.4634
deployment0001,recovered_cspp,nutnr_j_cspp_instrument_recovered,nitrate_concentration,µMol L-1,-9999999.0,"[0.0, 40.0]",1530,0,0,1009,0.0,521,34.05,6.7467,0.002,13.73,3.4216
deployment0001,recovered_cspp,nutnr_j_cspp_instrument_recovered,nutnr_nitrogen_in_nitrate,mg/l,-9999999.0,"[0.0, 2.5]",1530,0,0,1005,0.0,525,34.31,0.0938,0.0,0.192,0.0484
deployment0001,recovered_cspp,nutnr_j_cspp_instrument_recovered,pressure_depth,dbar,-9999999.0,"[0.0, 6000.0]",1530,0,0,0,0.0,1530,100.0,0.0,0.0,0.0,0.0
deployment0001,recovered_cspp,nutnr_j_cspp_instrument_recovered,ctd_psu,1,-9999999.0,"[0.0, 42.0]",1530,0,0,1529,0.0,1,0.07,0.0,0.0,0.0,0.0
