deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_cspp,ctdpf_j_cspp_instrument_recovered,conductivity,S m-1,-9999999.0,"[0.0, 6.0]",237356,0,0,0,21,237335,99.99,3.6674,3.4725,3.749,0.0406
deployment0001,recovered_cspp,ctdpf_j_cspp_instrument_recovered,pressure,dbar,-9999999.0,"[0.0, 6000.0]",237356,0,0,0,0,237356,100.0,35.1109,0.508,72.644,20.6394
deployment0001,recovered_cspp,ctdpf_j_cspp_instrument_recovered,salinity,1,-9999999.0,"[0.0, 42.0]",237356,0,0,0,21,237335,99.99,32.3741,29.708,34.1227,0.5221
deployment0001,recovered_cspp,ctdpf_j_cspp_instrument_recovered,temperature,ºC,-9999999.0,"[-2.0, 40.0]",237356,0,0,0,0,237356,100.0,11.2995,8.9633,12.7552,0.9895
deployment0001,recovered_cspp,ctdpf_j_cspp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",237356,0,0,0,21,237335,99.99,1024.8379,1022.4455,1026.7183,0.6604
deployment0003,recovered_cspp,ctdpf_j_cspp_instrument_recovered,conductivity,S m-1,-9999999.0,"[0.0, 6.0]",905913,0,0,13,603,905297,99.93,3.5503,3.1157,4.0308,0.0949
deployment0003,recovered_cspp,ctdpf_j_cspp_instrument_recovered,pressure,dbar,-9999999.0,"[0.0, 6000.0]",905913,0,0,1,19,905893,100.0,43.4455,0.621,73.291,22.6392
deployment0003,recovered_cspp,ctdpf_j_cspp_instrument_recovered,salinity,1,-9999999.0,"[0.0, 42.0]",905913,0,0,13,3045,902855,99.66,33.4799,31.5289,34.0239,0.3528
deployment0003,recovered_cspp,ctdpf_j_cspp_instrument_recovered,temperature,ºC,-9999999.0,"[-2.0, 40.0]",905913,0,0,0,0,905913,100.0,8.7825,7.6205,15.207,1.3068
deployment0003,recovered_cspp,ctdpf_j_cspp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",905913,0,0,13,7,905893,100.0,1026.1492,1023.3061,1026.7486,0.5684
deployment0004,recovered_cspp,ctdpf_j_cspp_instrument_recovered,conductivity,S m-1,-9999999.0,"[0.0, 6.0]",652748,0,0,3,615,652130,99.91,3.7993,3.1571,4.1416,0.1242
deployment0004,recovered_cspp,ctdpf_j_cspp_instrument_recovered,pressure,dbar,-9999999.0,"[0.0, 6000.0]",652748,0,0,8,1,652739,100.0,53.1589,0.453,73.085,22.2491
deployment0004,recovered_cspp,ctdpf_j_cspp_instrument_recovered,salinity,1,-9999999.0,"[0.0, 42.0]",652748,0,0,3,670,652075,99.9,32.9143,30.3372,34.2348,0.4479
deployment0004,recovered_cspp,ctdpf_j_cspp_instrument_recovered,temperature,ºC,-9999999.0,"[-2.0, 40.0]",652748,0,0,0,0,652748,100.0,12.1305,8.2722,14.4546,1.6598
deployment0004,recovered_cspp,ctdpf_j_cspp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",652748,0,0,3,654,652091,99.9,1025.1767,1021.6733,1026.9584,0.6555
