deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,streamed,adcp_velocity_beam,"bin_depths (dims: [81, 12651112])",['m'],-9999999.0,"[None, None]","[81, 1024740072]",0,0,no global ranges,0,1024740072,100.0,240.6016,-92.8747,574.1482,187.0652
deployment0001,streamed,adcp_velocity_beam,"eastward_seawater_velocity (dims: [81, 12651112])",['m s-1'],-9999999.0,"[-3.0, 3.0]","[81, 1024740072]",153520836,0,100936,8241730,862876570,84.2,0.0187,-1.1376,1.1816,0.1704
deployment0001,streamed,adcp_velocity_beam,"error_seawater_velocity (dims: [81, 12651112])",['m s-1'],-9999999.0,"[-1.0, 1.0]","[81, 1024740072]",153520836,0,1616965,5916103,863686168,84.28,-0.0018,-0.5944,0.5913,0.1014
deployment0001,streamed,adcp_velocity_beam,"northward_seawater_velocity (dims: [81, 12651112])",['m s-1'],-9999999.0,"[-3.0, 3.0]","[81, 1024740072]",153520836,0,305942,10489737,860423557,83.97,0.0297,-1.7683,1.8005,0.2674
deployment0001,streamed,adcp_velocity_beam,pressure,['daPa'],0,"[None, None]",12651112,0,0,no global ranges,10,12651102,100.0,582834.2288,569755.0,595815.0,2621.8355
deployment0001,streamed,adcp_velocity_beam,salinity,['1'],-1,"[None, None]",12651112,0,0,no global ranges,0,12651112,100.0,34.0,34.0,34.0,0.0
deployment0001,streamed,adcp_velocity_beam,temperature,['cdeg_C'],-9999,"[None, None]",12651112,0,0,no global ranges,0,12651112,100.0,504.7787,446.0,569.0,16.6584
deployment0001,streamed,adcp_velocity_beam,"upward_seawater_velocity (dims: [81, 12651112])",['m s-1'],-9999999.0,"[-1.0, 1.0]","[81, 1024740072]",153520836,0,303,5627300,865591633,84.47,0.0021,-0.1906,0.1952,0.0317
deployment0002,streamed,adcp_velocity_beam,"bin_depths (dims: [73, 13944225])",['m'],-9999999.0,"[None, None]","[73, 1017928425]",0,0,no global ranges,0,1017928425,100.0,276.0732,-24.0462,575.3064,168.582
deployment0002,streamed,adcp_velocity_beam,"eastward_seawater_velocity (dims: [73, 13944225])",['m s-1'],-9999999.0,"[-3.0, 3.0]","[73, 1017928425]",51419115,0,165153,9481983,956862174,94.0,0.0216,-1.1408,1.1974,0.1647
deployment0002,streamed,adcp_velocity_beam,"error_seawater_velocity (dims: [73, 13944225])",['m s-1'],-9999999.0,"[-1.0, 1.0]","[73, 1017928425]",51419115,0,2203045,6856913,957449352,94.06,0.0002,-0.5706,0.5706,0.0957
deployment0002,streamed,adcp_velocity_beam,"northward_seawater_velocity (dims: [73, 13944225])",['m s-1'],-9999999.0,"[-3.0, 3.0]","[73, 1017928425]",51419115,0,412445,12174880,953921985,93.71,0.014,-1.6749,1.6832,0.24
deployment0002,streamed,adcp_velocity_beam,pressure,['daPa'],0,"[None, None]",13944225,0,0,no global ranges,21,13944204,100.0,586341.7854,576380.0,596314.0,1996.452
deployment0002,streamed,adcp_velocity_beam,salinity,['1'],-1,"[None, None]",13944225,0,0,no global ranges,0,13944225,100.0,34.0,34.0,34.0,0.0
