deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0002,streamed,optaa_sample,"beam_attenuation (dims: [80, 325183])",['m-1'],-9999999.0,"[0.0, 100.0]","[80, 26014640]",325183.0,0.0,44602,92259.0,25552596,98.22,1.1974,0.0024,13.5447,1.2457
deployment0002,streamed,optaa_sample,int_ctd_pressure,['dbar'],nan,"[None, None]",325183,0.0,0.0,no global ranges,0.0,325183,100.0,196.0337,194.9226,196.9155,0.5563
deployment0002,streamed,optaa_sample,"optical_absorption (dims: [80, 325183])",['m-1'],-9999999.0,"[0.0, 100.0]","[80, 26014640]",727844.0,0.0,2516965,30582.0,22739249,87.41,0.0568,0.0,2.1736,0.0761
deployment0002,streamed,optaa_sample,wavelength_a,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[399.3, 402.5, 405.9, 409.6, 412.6, 416.0, 419.8, 424.0, 427.9, 431.8, 435.9, 439.4, 444.0, 448.3, 452.9, 457.1, 461.1, 465.4, 470.1, 474.5, 479.2, 484.3, 488.3, 492.7, 497.4, 501.4, 506.2, 510.6, 515.6, 520.4, 525.1, 529.1, 533.5, 538.2, 542.1, 546.9, 551.4, 556.0, 561.0, 565.2, 569.6, 573.6, 577.6, 581.7, 585.6, 589.3, 593.9, 598.2, 603.0, 607.5, 612.2, 616.9, 621.2, 625.5, 630.0, 634.4, 638.8, 643.3, 647.8, 652.2, 656.7, 660.9, 665.7, 669.8, 673.9, 678.5, 682.4, 686.4, 690.5, 694.5, 698.3, 702.0, 705.5, 709.5, 713.1, 716.9, 720.8, 724.1, 728.1, 731.6]",,,
deployment0002,streamed,optaa_sample,wavelength_c,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[399.4, 403.0, 406.4, 409.8, 413.2, 416.4, 420.6, 424.6, 428.3, 432.5, 436.1, 440.0, 444.4, 448.8, 453.4, 457.3, 461.7, 465.9, 470.3, 475.0, 479.6, 484.3, 488.5, 492.8, 497.4, 501.5, 506.1, 510.7, 515.6, 520.4, 524.8, 529.4, 533.5, 537.8, 542.1, 546.6, 550.9, 555.3, 560.1, 564.5, 568.8, 572.7, 577.0, 580.8, 584.9, 588.6, 593.5, 598.1, 602.8, 607.2, 612.0, 616.4, 621.0, 625.2, 629.9, 633.9, 638.2, 643.0, 647.1, 651.4, 656.2, 660.3, 664.9, 669.6, 673.4, 678.0, 681.7, 686.3, 689.7, 693.7, 697.6, 701.3, 705.0, 708.8, 712.6, 716.8, 720.0, 723.3, 727.2, 730.8]",,,
deployment0003,streamed,optaa_sample,"beam_attenuation (dims: [86, 47463352])",['m-1'],-9999999.0,"[0.0, 100.0]","[86, 4081848272]",127744380.0,0.0,936636800,221276.0,3017245816,73.92,1.3802,0.0,7.9394,1.3103
deployment0003,streamed,optaa_sample,int_ctd_pressure,['dbar'],nan,"[None, None]",47463352,0.0,0.0,no global ranges,0.0,47463352,100.0,146.1809,4.5223,197.8159,58.2595
deployment0003,streamed,optaa_sample,"optical_absorption (dims: [86, 47463352])",['m-1'],-9999999.0,"[0.0, 100.0]","[86, 4081848272]",2083922266.0,0.0,116928207,3859385.0,1877138414,45.99,1.13,0.0,11.1295,1.5946
deployment0003,streamed,optaa_sample,wavelength_a,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[400.1, 403.4, 406.8, 409.6, 412.8, 416.6, 420.1, 424.2, 427.9, 431.6, 435.2, 439.1, 443.0, 447.6, 451.5, 455.9, 459.7, 463.8, 468.2, 472.4, 476.9, 481.5, 485.7, 489.9, 493.5, 498.1, 501.9, 506.4, 510.9, 515.4, 519.9, 524.4, 528.4, 532.3, 536.5, 540.8, 544.5, 548.8, 552.9, 557.4, 561.5, 565.6, 569.3, 572.9, 576.6, 580.2, 583.9, 588.1, 592.3, 596.2, 600.4, 604.6, 609.0, 613.0, 617.7, 621.5, 625.7, 629.4, 633.9, 637.7, 641.5, 645.8, 649.9, 654.2, 658.1, 662.4, 666.9, 670.9, 674.4, 678.6, 682.4, 685.9, 689.7, 693.6, 697.0, 700.0, 703.9, 707.1, 710.4, 713.7, 716.9, 720.3, 723.7, 727.0, 729.7, 733.2]",,,
deployment0003,streamed,optaa_sample,wavelength_c,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[400.0, 403.0, 406.4, 410.0, 413.2, 416.6, 420.1, 424.9, 428.5, 432.2, 436.1, 439.8, 443.9, 448.3, 452.7, 456.7, 461.0, 465.0, 469.4, 474.0, 478.7, 482.9, 487.3, 491.3, 495.5, 499.6, 504.0, 508.7, 513.0, 517.7, 522.3, 526.6, 530.8, 534.7, 538.9, 543.0, 547.3, 551.6, 556.0, 560.3, 564.4, 568.3, 572.2, 575.8, 579.3, 583.9, 588.0, 592.0, 596.0, 600.8, 605.0, 609.3, 613.5, 618.0, 622.0, 626.2, 630.2, 634.5, 638.7, 642.8, 646.6, 651.1, 655.2, 659.6, 663.7, 668.0, 672.2, 676.2, 680.1, 683.7, 687.7, 691.3, 695.0, 698.6, 702.0, 705.4, 708.7, 712.1, 716.0, 719.2, 722.4, 725.7, 729.1, 732.1, 735.1, 738.1]",,,
deployment0004,streamed,optaa_sample,"beam_attenuation (dims: [86, 1411746])",['m-1'],-9999999.0,"[0.0, 100.0]","[86, 121410156]",0.0,0.0,75,97928.0,121312153,99.92,0.1749,0.0156,1.2187,0.1012
deployment0004,streamed,optaa_sample,int_ctd_pressure,['dbar'],nan,"[None, None]",1411746,0.0,0.0,no global ranges,0.0,1411746,100.0,128.7458,14.0023,192.3359,59.382
deployment0004,streamed,optaa_sample,"optical_absorption (dims: [86, 1411746])",['m-1'],-9999999.0,"[0.0, 100.0]","[86, 121410156]",1411811.0,0.0,4691853,195443.0,115111049,94.81,0.0378,0.0,0.274,0.0424
deployment0004,streamed,optaa_sample,wavelength_a,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[399.4, 402.8, 406.6, 409.4, 413.0, 416.2, 420.1, 424.2, 428.1, 432.0, 435.9, 440.0, 444.4, 448.6, 452.7, 457.1, 461.3, 465.4, 470.5, 475.2, 479.7, 483.8, 488.1, 492.3, 496.5, 500.5, 504.8, 509.4, 514.0, 519.4, 523.9, 528.4, 532.2, 536.0, 540.4, 544.5, 549.0, 552.6, 556.9, 561.5, 565.4, 569.0, 573.0, 576.8, 581.0, 585.1, 588.8, 592.3, 596.0, 600.6, 604.5, 609.3, 613.3, 617.5, 622.2, 625.7, 629.4, 633.7, 637.3, 641.3, 645.8, 649.8, 653.5, 657.7, 661.8, 665.9, 670.3, 673.9, 677.6, 681.5, 685.3, 688.4, 692.0, 695.3, 698.6, 701.8, 705.4, 708.6, 712.0, 714.5, 717.6, 720.6, 723.5, 726.8, 729.9, 732.3]",,,
deployment0004,streamed,optaa_sample,wavelength_c,['nm'],-9999999.0,"[None, None]",3,,,no global ranges,,not calculated,stats not calculated,"[400.3, 403.5, 407.1, 410.3, 413.7, 417.1, 421.0, 425.3, 429.3, 432.9, 437.0, 441.2, 445.5, 449.9, 453.8, 458.3, 462.6, 466.8, 471.9, 476.6, 481.0, 485.2, 489.2, 493.4, 497.5, 501.5, 506.2, 510.6, 515.8, 520.6, 525.4, 529.6, 533.2, 537.2, 541.6, 545.6, 550.2, 553.4, 558.4, 562.5, 566.4, 570.2, 574.1, 577.6, 581.7, 585.8, 589.5, 593.0, 596.7, 601.3, 605.1, 610.0, 614.0, 618.4, 622.5, 626.2, 630.0, 634.2, 637.8, 642.0, 646.1, 650.2, 654.0, 658.2, 662.1, 666.4, 670.6, 674.4, 678.0, 681.9, 685.3, 688.7, 692.1, 695.7, 698.6, 701.8, 705.4, 708.6, 711.8, 714.7, 717.7, 720.5, 723.8, 726.7, 729.7, 731.9]",,,
