deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,velpt_ab_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",18587,0,0,0,0,18587,100.0,-76.5802,-719.0,681.0,154.6439
deployment0001,recovered_inst,velpt_ab_instrument_recovered,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",18587,0,0,0,0,18587,100.0,-87.2096,-795.0,561.0,160.3124
deployment0001,recovered_inst,velpt_ab_instrument_recovered,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",18587,0,0,0,17,18570,99.91,-1.6537,-117.0,82.0,22.8052
deployment0001,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",18587,0,0,0,1,18586,99.99,-0.0973,-0.8181,0.4765,0.1702
deployment0001,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",18587,0,0,0,0,18587,100.0,-0.0633,-0.7513,0.5272,0.1435
deployment0001,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",18587,0,0,0,17,18570,99.91,-0.0017,-0.117,0.082,0.0228
deployment0001,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",18587,0,0,0,8,18579,99.96,8466.1316,8161.0,8651.0,61.5624
deployment0002,recovered_inst,velpt_ab_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",13290,0,0,0,0,13290,100.0,-59.1781,-587.0,460.0,139.6483
deployment0002,recovered_inst,velpt_ab_instrument_recovered,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",13290,0,0,0,0,13290,100.0,-125.9743,-697.0,492.0,150.4507
deployment0002,recovered_inst,velpt_ab_instrument_recovered,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",13290,0,0,0,96,13194,99.28,6.462,-199.0,255.0,35.6239
deployment0002,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",13290,0,0,0,0,13290,100.0,-0.0906,-0.642,0.4531,0.1447
deployment0002,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",13290,0,0,0,0,13290,100.0,-0.1056,-0.7494,0.5017,0.1456
deployment0002,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",13290,0,0,0,96,13194,99.28,0.0065,-0.199,0.255,0.0356
deployment0002,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",13290,0,0,0,0,13290,100.0,8189.2929,8006.0,8346.0,52.9283
deployment0003,recovered_inst,velpt_ab_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",18352,0,0,0,11,18341,99.94,8.7159,-529.0,735.0,143.9718
deployment0003,recovered_inst,velpt_ab_instrument_recovered,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",18352,0,0,0,0,18352,100.0,88.2903,-527.0,864.0,164.643
deployment0003,recovered_inst,velpt_ab_instrument_recovered,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",18352,0,0,0,26,18326,99.86,4.7932,-113.0,91.0,23.2939
deployment0003,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",18352,0,0,0,11,18341,99.94,0.0318,-0.5481,0.8012,0.1531
deployment0003,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",18352,0,0,0,0,18352,100.0,0.0827,-0.6304,0.7826,0.1561
deployment0003,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",18352,0,0,0,26,18326,99.86,0.0048,-0.113,0.091,0.0233
deployment0003,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",18352,0,0,0,0,18352,100.0,8475.8749,7818.0,8809.0,161.4521
deployment0004,recovered_inst,velpt_ab_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",16859,0,0,0,0,16859,100.0,-20.7507,-690.0,690.0,144.8625
