deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,5680072,1437171,no missing data,4243467,0.0,2.88e-08,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,5680072,0,no missing data,5679166,0.0,15.2789,12.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,5680072,0,no missing data,5679166,0.0,183.0158,116.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,5680072,0,no missing data,5679166,0.0,0.007172017,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,5680072,1437171,no missing data,4243467,0.0,0.0438814936,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,5680072,5680072,No valid data to compare,0,,,,
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,1977297,0,no missing data,1977867,0.0,1.4502e-06,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,1977297,0,no missing data,1977867,0.0,4.1866,22.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,1977297,0,no missing data,1977867,0.0,0.7224,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,1977297,0,no missing data,1977867,0.0,0.001432584,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,1977297,0,no missing data,1977867,0.0,0.0096852811,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,1977297,1977297,No valid data to compare,0,,,,
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2894933,0,no missing data,2893560,0.0,9.7e-09,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2894933,0,no missing data,2893560,0.0,0.1116,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2894933,0,no missing data,2893560,0.0,0.5178,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,2894933,0,no missing data,2893560,0.0,0.00011604,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,2894933,0,no missing data,2893560,0.0,0.0007845125,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,2894933,2894933,No valid data to compare,0,,,,
deployment0004,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2398283,0,no missing data,2398460,0.0,1.455e-07,0.0,0.0
deployment0004,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2398283,0,no missing data,2398460,0.0,1.9028,8.0,0.0
deployment0004,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2398283,0,no missing data,2398460,0.0,1.8648,2.0,0.0
deployment0004,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,2398283,0,no missing data,2398460,0.0,0.000563992,0.0,0.0
deployment0004,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,2398283,0,no missing data,2398460,0.0,0.0038129849,0.0,0.0
deployment0004,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,2398283,2398283,No valid data to compare,0,,,,
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2290524,0,"{'missing_data_gaps': [['2018-03-31T06:32:54', '2018-03-31T06:48:01'], ['2018-03-31T07:00:13', '2018-03-31T07:17:18'], ['2018-03-31T07:17:21', '2018-03-31T07:33:01'], ['2018-03-31T07:45:15', '2018-03-31T07:46:26'], ['2018-03-31T07:46:28', '2018-03-31T08:15:35'], ['2018-03-31T08:15:37', '2018-03-31T08:33:01'], ['2018-03-31T08:45:14', '2018-03-31T09:03:00'], ['2018-03-31T09:15:15', '2018-03-31T09:33:01'], ['2018-03-31T09:45:14', '2018-03-31T09:45:39'], ['2018-03-31T09:45:41', '2018-03-31T10:03:00'], ['2018-03-31T10:15:16', '2018-03-31T10:33:01'], ['2018-03-31T10:45:14', '2018-03-31T11:03:00'], ['2018-03-31T11:15:16', '2018-03-31T11:33:01'], ['2018-03-31T11:45:15', '2018-03-31T12:03:01'], ['2018-03-31T12:15:14', '2018-03-31T12:33:01'], ['2018-03-31T12:45:15', '2018-03-31T13:03:00'], ['2018-03-31T13:15:15', '2018-03-31T13:18:01'], ['2018-03-31T13:30:15', '2018-03-31T13:33:00'], ['2018-03-31T13:45:16', '2018-03-31T13:48:01'], ['2018-03-31T14:00:13', '2018-03-31T14:02:59'], ['2018-03-31T14:15:15', '2018-03-31T14:33:01'], ['2018-03-31T14:45:17', '2018-03-31T15:03:00'], ['2018-03-31T15:15:15', '2018-03-31T15:32:39'], ['2018-03-31T15:32:41', '2018-03-31T15:48:00'], ['2018-03-31T16:00:15', '2018-03-31T16:01:47'], ['2018-03-31T16:01:50', '2018-03-31T16:30:56'], ['2018-03-31T16:30:58', '2018-03-31T16:48:00'], ['2018-03-31T17:00:15', '2018-03-31T17:03:01'], ['2018-03-31T17:15:16', '2018-03-31T17:18:01'], ['2018-03-31T17:30:15', '2018-03-31T17:48:01'], ['2018-03-31T18:00:14', '2018-03-31T18:18:00'], ['2018-03-31T18:30:16', '2018-03-31T18:48:00'], ['2018-03-31T19:00:15', '2018-03-31T19:18:00'], ['2018-03-31T19:30:15', '2018-03-31T19:47:59'], ['2018-03-31T20:00:14', '2018-03-31T20:02:19']], 'n_missing': [157, 261, 185, 64, 252, 276, 298, 295, 23, 274, 296, 295, 295, 298, 298, 294, 148, 147, 147, 148, 297, 294, 276, 168, 83, 250, 259, 148, 147, 298, 297, 296, 295, 294, 112], 'n_missing_total': 7965, 'n_missing_days_total': 35}",2290622,0.0,3.092e-07,0.0,0.0
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2290524,0,"{'missing_data_gaps': [['2018-03-31T06:32:54', '2018-03-31T06:48:01'], ['2018-03-31T07:00:13', '2018-03-31T07:17:18'], ['2018-03-31T07:17:21', '2018-03-31T07:33:01'], ['2018-03-31T07:45:15', '2018-03-31T07:46:26'], ['2018-03-31T07:46:28', '2018-03-31T08:15:35'], ['2018-03-31T08:15:37', '2018-03-31T08:33:01'], ['2018-03-31T08:45:14', '2018-03-31T09:03:00'], ['2018-03-31T09:15:15', '2018-03-31T09:33:01'], ['2018-03-31T09:45:14', '2018-03-31T09:45:39'], ['2018-03-31T09:45:41', '2018-03-31T10:03:00'], ['2018-03-31T10:15:16', '2018-03-31T10:33:01'], ['2018-03-31T10:45:14', '2018-03-31T11:03:00'], ['2018-03-31T11:15:16', '2018-03-31T11:33:01'], ['2018-03-31T11:45:15', '2018-03-31T12:03:01'], ['2018-03-31T12:15:14', '2018-03-31T12:33:01'], ['2018-03-31T12:45:15', '2018-03-31T13:03:00'], ['2018-03-31T13:15:15', '2018-03-31T13:18:01'], ['2018-03-31T13:30:15', '2018-03-31T13:33:00'], ['2018-03-31T13:45:16', '2018-03-31T13:48:01'], ['2018-03-31T14:00:13', '2018-03-31T14:02:59'], ['2018-03-31T14:15:15', '2018-03-31T14:33:01'], ['2018-03-31T14:45:17', '2018-03-31T15:03:00'], ['2018-03-31T15:15:15', '2018-03-31T15:32:39'], ['2018-03-31T15:32:41', '2018-03-31T15:48:00'], ['2018-03-31T16:00:15', '2018-03-31T16:01:47'], ['2018-03-31T16:01:50', '2018-03-31T16:30:56'], ['2018-03-31T16:30:58', '2018-03-31T16:48:00'], ['2018-03-31T17:00:15', '2018-03-31T17:03:01'], ['2018-03-31T17:15:16', '2018-03-31T17:18:01'], ['2018-03-31T17:30:15', '2018-03-31T17:48:01'], ['2018-03-31T18:00:14', '2018-03-31T18:18:00'], ['2018-03-31T18:30:16', '2018-03-31T18:48:00'], ['2018-03-31T19:00:15', '2018-03-31T19:18:00'], ['2018-03-31T19:30:15', '2018-03-31T19:47:59'], ['2018-03-31T20:00:14', '2018-03-31T20:02:19']], 'n_missing': [157, 261, 185, 64, 252, 276, 298, 295, 23, 274, 296, 295, 295, 298, 298, 294, 148, 147, 147, 148, 297, 294, 276, 168, 83, 250, 259, 148, 147, 298, 297, 296, 295, 294, 112], 'n_missing_total': 7965, 'n_missing_days_total': 35}",2290622,0.0,0.26,0.0,0.0
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2290524,0,"{'missing_data_gaps': [['2018-03-31T06:32:54', '2018-03-31T06:48:01'], ['2018-03-31T07:00:13', '2018-03-31T07:17:18'], ['2018-03-31T07:17:21', '2018-03-31T07:33:01'], ['2018-03-31T07:45:15', '2018-03-31T07:46:26'], ['2018-03-31T07:46:28', '2018-03-31T08:15:35'], ['2018-03-31T08:15:37', '2018-03-31T08:33:01'], ['2018-03-31T08:45:14', '2018-03-31T09:03:00'], ['2018-03-31T09:15:15', '2018-03-31T09:33:01'], ['2018-03-31T09:45:14', '2018-03-31T09:45:39'], ['2018-03-31T09:45:41', '2018-03-31T10:03:00'], ['2018-03-31T10:15:16', '2018-03-31T10:33:01'], ['2018-03-31T10:45:14', '2018-03-31T11:03:00'], ['2018-03-31T11:15:16', '2018-03-31T11:33:01'], ['2018-03-31T11:45:15', '2018-03-31T12:03:01'], ['2018-03-31T12:15:14', '2018-03-31T12:33:01'], ['2018-03-31T12:45:15', '2018-03-31T13:03:00'], ['2018-03-31T13:15:15', '2018-03-31T13:18:01'], ['2018-03-31T13:30:15', '2018-03-31T13:33:00'], ['2018-03-31T13:45:16', '2018-03-31T13:48:01'], ['2018-03-31T14:00:13', '2018-03-31T14:02:59'], ['2018-03-31T14:15:15', '2018-03-31T14:33:01'], ['2018-03-31T14:45:17', '2018-03-31T15:03:00'], ['2018-03-31T15:15:15', '2018-03-31T15:32:39'], ['2018-03-31T15:32:41', '2018-03-31T15:48:00'], ['2018-03-31T16:00:15', '2018-03-31T16:01:47'], ['2018-03-31T16:01:50', '2018-03-31T16:30:56'], ['2018-03-31T16:30:58', '2018-03-31T16:48:00'], ['2018-03-31T17:00:15', '2018-03-31T17:03:01'], ['2018-03-31T17:15:16', '2018-03-31T17:18:01'], ['2018-03-31T17:30:15', '2018-03-31T17:48:01'], ['2018-03-31T18:00:14', '2018-03-31T18:18:00'], ['2018-03-31T18:30:16', '2018-03-31T18:48:00'], ['2018-03-31T19:00:15', '2018-03-31T19:18:00'], ['2018-03-31T19:30:15', '2018-03-31T19:47:59'], ['2018-03-31T20:00:14', '2018-03-31T20:02:19']], 'n_missing': [157, 261, 185, 64, 252, 276, 298, 295, 23, 274, 296, 295, 295, 298, 298, 294, 148, 147, 147, 148, 297, 294, 276, 168, 83, 250, 259, 148, 147, 298, 297, 296, 295, 294, 112], 'n_missing_total': 7965, 'n_missing_days_total': 35}",2290622,0.0,3.7996,3.0,0.0
