deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-04-01T19:29:08,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:06,137 days 19:24:32,0,137,[],399,374189,261,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 32, 'common_sampling_rates': {'64': '75.72%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 17, '95': 2, '75': 1, '0': 4}",{'99': 20},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20150407T230006.002000-20151223T192828.092000
deployment0001,2019-04-01T19:29:08,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:06,137 days 19:22:36,0,137,[],399,6237,261,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 64, 'common_sampling_rates': {'3600': '97.95%'}}",[],"['eastward_velocity', 'northward_velocity', 'met_relwind_speed', 'air_temperature', 'relative_humidity', 'precipitation', 'sea_surface_temperature', 'shortwave_irradiance', 'longwave_irradiance', 'barometric_pressure', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20150407T233006.002000-20151223T193024.225000
deployment0002,2019-04-01T19:29:08,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:22:50,0 days 00:00:17,0,0,[0.2646],139,199320,139,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 33, 'common_sampling_rates': {'64': '70.83%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 19, '50': 1, '25': 1, '0': 3}",{'99': 20},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20160516T051050.293000-20161001T152043.332000
deployment0002,2019-04-01T19:29:08,recovered_host,metbk_hourly,['telemetered'],0 days 00:52:50,-1 days +23:50:42,0,-1,[0.2646],139,3323,139,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 43, 'common_sampling_rates': {'3600': '97.95%'}}",[],"['eastward_velocity', 'northward_velocity', 'met_relwind_speed', 'relative_humidity', 'precipitation', 'shortwave_irradiance', 'air_temperature', 'barometric_pressure', 'sea_surface_temperature', 'longwave_irradiance', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20160516T054050.293000-20161001T153018.301000
deployment0003,2019-04-01T19:29:08,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:38:40,0 days 00:26:14,0,0,"[1.8246, 2.0867]",203,291585,203,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 50, 'common_sampling_rates': {'64': '72.18%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 20, '95': 2, '75': 2}",{'99': 23},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20161001T012240.859000-20170421T150846.868000
deployment0003,2019-04-01T19:29:08,recovered_host,metbk_hourly,['telemetered'],0 days 01:08:40,0 days 00:04:12,0,0,"[1.8246, 2.0867]",203,4863,203,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 55, 'common_sampling_rates': {'3600': '97.98%'}}",[],"['northward_velocity', 'eastward_velocity', 'longwave_irradiance', 'sea_surface_temperature', 'air_temperature', 'relative_humidity', 'precipitation', 'shortwave_irradiance', 'barometric_pressure', 'met_relwind_speed', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20161001T015240.859000-20170421T153048.840000
deployment0004,2019-04-01T19:29:08,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:41:18,0 days 00:40:29,0,0,"[0.3415, 0.1825, 2.0966]",176,252801,176,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 34, 'common_sampling_rates': {'64': '74.29%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 21, '95': 2, '75': 1}",{'99': 23},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20170421T022518.003000-20171013T154805.602000
deployment0004,2019-04-01T19:29:08,recovered_host,metbk_hourly,['telemetered'],0 days 01:11:18,0 days 00:58:05,0,0,"[0.3415, 0.1825, 2.0966]",176,4214,176,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 45, 'common_sampling_rates': {'3600': '97.93%'}}",[],"['eastward_velocity', 'northward_velocity', 'relative_humidity', 'precipitation', 'met_relwind_speed', 'air_temperature', 'longwave_irradiance', 'barometric_pressure', 'shortwave_irradiance', 'sea_surface_temperature', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20170421T025518.003000-20171013T153029.823000
deployment0005,2019-04-01T19:29:08,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:32:57,123 days 01:54:34,0,123,"[1.7246, 1.9697, 0.4844, 1.9378]",175,73133,52,0,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 25, 'common_sampling_rates': {'64': '73.71%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 12, '95': 1, '75': 1, '50': 10}","{'99': 22, '95': 1}",fail: check ['Surface Current Direction'],pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20171011T234120.099000-20171201T183226.453000
deployment0005,2019-04-01T19:29:08,recovered_host,metbk_hourly,['telemetered'],0 days 01:02:57,123 days 01:56:42,0,123,"[1.7246, 1.9697, 0.4844, 1.9378]",175,1220,51,0,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 24, 'common_sampling_rates': {'3600': '97.95%'}}",[],"['northward_velocity', 'eastward_velocity', 'met_relwind_speed', 'shortwave_irradiance', 'precipitation', 'barometric_pressure', 'sea_surface_temperature', 'relative_humidity', 'air_temperature', 'longwave_irradiance', 'time']",[],0,0,pass,15,"{'99': 2, '75': 1, '50': 11, '0': 1}",{'99': 15},pass,fail: data found in another stream (gaps: [1] days: [0]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CE04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20171012T001120.099000-20171201T183018.544000
