deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,barometric_pressure,mbar,-9999999.0,"[800.0, 1100.0]",374189,0,0,0,289.0,373900,99.92,1016.2427,989.98,1034.53,5.2037
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,relative_humidity,%,-9999999.0,"[0.0, 100.0]",374189,0,0,0,0.0,374189,100.0,84.9317,38.777,99.163,9.5441
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,air_temperature,ºC,-9999999.0,"[-50.0, 50.0]",374189,0,0,0,0.0,374189,100.0,13.8005,6.731,18.981,2.1764
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,longwave_irradiance,W m-2,-9999999.0,"[200.0, 500.0]",374189,0,0,0,0.0,374189,100.0,338.6154,240.6,403.1,35.632
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,precipitation,mm,-9999999.0,"[0.0, 50.0]",374189,0,0,331522,0.0,42667,11.4,11.1485,0.0,38.93,9.6859
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_temperature,ºC,-9999999.0,"[-2.0, 40.0]",374189,0,0,0,0.0,374189,100.0,14.0445,10.63,18.734,1.6915
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",374189,0,0,0,2518.0,371671,99.33,3.8665,2.5039,4.366,0.221
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,shortwave_irradiance,W m-2,-9999999.0,"[0.0, 1000.0]",374189,0,0,7973,0.0,366216,97.87,188.1866,0.0,999.9,270.632
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,eastward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",374189,0,0,0,14.0,374175,100.0,1.3086,-12.71,15.56,2.8628
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,northward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",374189,0,0,0,0.0,374189,100.0,-1.3443,-14.86,19.68,5.5816
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_barpres,Pa,-9999999.0,"[87000.0, 108330.0]",374189,0,0,0,289.0,373900,99.92,101624.2671,98998.0,103453.0,520.3749
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_windavg_mag_corr_east,m s-1,-9999999.0,"[None, None]",374189,0,0,no global ranges,158.0,374031,99.96,0.8917,-11.0414,13.651,2.5362
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_windavg_mag_corr_north,m s-1,-9999999.0,"[None, None]",374189,0,0,no global ranges,0.0,374189,100.0,-1.647,-15.8521,20.8279,5.7314
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_current_direction,degrees,-9999999.0,"[0.0, 360.0]",374189,374189,0,0,,0,0.0,,,,
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_current_speed,m s-1,-9999999.0,"[-3.0, 3.0]",374189,374189,0,0,,0,0.0,,,,
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_relwind_direction,degrees,-9999999.0,"[0.0, 360.0]",374189,374189,0,0,,0,0.0,,,,
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_relwind_speed,m s-1,-9999999.0,"[-33.0, 33.0]",374189,0,0,0,9.0,374180,100.0,5.9018,0.0,20.0535,2.835
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_netsirr,W m-2,-9999999.0,"[0.0, 500.0]",374189,0,0,61403,0.0,312786,83.59,87.8397,0.0,499.9995,135.7699
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_salsurf,1,-9999999.0,"[0.0, 42.0]",374189,0,0,0,3814.0,370375,98.98,31.943,22.8506,33.1817,1.0503
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_spechum,g kg-1,-9999999.0,"[0.0, 47.0]",374189,0,0,0,0.0,374189,100.0,8.4071,2.9821,11.9831,1.7264
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_heatflx_minute,W m-2,-9999999.0,"[None, None]",374189,5061,0,no global ranges,26.0,369102,98.64,-98.1427,-1217.0202,1180.9707,265.691
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_latnflx_minute,W m-2,-9999999.0,"[None, None]",374189,5061,0,no global ranges,253.0,368875,98.58,31.1407,-57.1885,205.9335,34.5743
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_netlirr_minute,W m-2,-9999999.0,"[None, None]",374189,5061,0,no global ranges,0.0,369128,98.65,45.318,-12.9524,131.0238,32.8388
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_sensflx_minute,W m-2,-9999999.0,"[None, None]",374189,5061,0,no global ranges,1006.0,368122,98.38,1.216,-64.7445,67.7518,12.4431
deployment0001,recovered_host,metbk_hourly,met_rainrte,mm hr-1,-9999999.0,"[0.0, 50.0]",6237,0,0,0,17.0,6220,99.73,0.0147,0.0,6.3282,0.1785
deployment0001,recovered_host,metbk_hourly,met_buoyfls,W m-2,-9999999.0,"[None, None]",6237,1049,0,no global ranges,11.0,5177,83.0,3.3875,-67.3359,74.3124,14.1525
deployment0001,recovered_host,metbk_hourly,met_buoyflx,W m-2,-9999999.0,"[None, None]",6237,1049,0,no global ranges,11.0,5177,83.0,3.75,-67.3984,75.6706,14.4755
deployment0001,recovered_host,metbk_hourly,met_frshflx,mm hr-1,-9999999.0,"[None, None]",6237,1049,0,no global ranges,15.0,5173,82.94,0.0324,-5.6117,0.2931,0.1584
deployment0001,recovered_host,metbk_hourly,met_heatflx,W m-2,-9999999.0,"[None, None]",6237,1049,0,no global ranges,0.0,5188,83.18,-122.0642,-910.8955,354.5494,271.5861
deployment0001,recovered_host,metbk_hourly,met_latnflx,W m-2,-9999999.0,"[None, None]",6237,1049,0,no global ranges,0.0,5188,83.18,31.4915,-42.4171,200.9942,34.8615
deployment0001,recovered_host,metbk_hourly,met_mommflx,N m-2,-9999999.0,"[None, None]",6237,1049,0,no global ranges,31.0,5157,82.68,0.0692,0.0,0.5323,0.0758
deployment0001,recovered_host,metbk_hourly,met_netlirr,W m-2,-9999999.0,"[200.0, 500.0]",6237,1049,0,5188,,0,0.0,,,,
deployment0001,recovered_host,metbk_hourly,met_rainflx,W m-2,-9999999.0,"[None, None]",6237,1049,0,no global ranges,14.0,5174,82.96,0.0357,-3.3508,24.9872,0.5832
deployment0001,recovered_host,metbk_hourly,met_sensflx,W m-2,-9999999.0,"[None, None]",6237,1049,0,no global ranges,13.0,5175,82.97,1.5391,-57.6555,64.2493,12.5029
deployment0001,recovered_host,metbk_hourly,met_sphum2m,g kg-1,-9999999.0,"[0.0, 47.0]",6237,1049,0,0,0.0,5188,83.18,8.4594,3.5329,11.8743,1.6829
deployment0001,recovered_host,metbk_hourly,met_tempa2m,ºC,-9999999.0,"[-50.0, 50.0]",6237,1049,0,0,0.0,5188,83.18,13.7848,7.6962,18.1442,2.1288
deployment0001,recovered_host,metbk_hourly,met_tempskn,ºC,-9999999.0,"[-2.0, 40.0]",6237,1049,0,0,0.0,5188,83.18,13.9602,10.6742,19.9246,1.7164
deployment0001,recovered_host,metbk_hourly,met_wind10m,m s-1,-9999999.0,"[-33.0, 33.0]",6237,1049,0,0,0.0,5188,83.18,6.2694,0.3981,19.1414,2.9604
deployment0001,recovered_host,metbk_hourly,met_netsirr_hourly,W m-2,-9999999.0,"[None, None]",6237,0,0,no global ranges,0.0,6237,100.0,176.2197,-3.6209,946.9194,251.8881
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,barometric_pressure,mbar,-9999999.0,"[800.0, 1100.0]",199320,0,0,0,0.0,199320,100.0,1018.8742,1008.6,1028.25,3.6988
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,relative_humidity,%,-9999999.0,"[0.0, 100.0]",199320,0,0,0,0.0,199320,100.0,84.8122,52.694,98.719,8.1618
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,air_temperature,ºC,-9999999.0,"[-50.0, 50.0]",199320,0,0,0,0.0,199320,100.0,14.9224,9.746,18.663,1.2724
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,longwave_irradiance,W m-2,-9999999.0,"[200.0, 500.0]",199320,0,0,2,0.0,199318,100.0,349.5571,285.7,406.7,31.7182
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,precipitation,mm,-9999999.0,"[0.0, 50.0]",199320,0,0,0,0.0,199320,100.0,42.6759,21.22,49.8,6.3328
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_temperature,ºC,-9999999.0,"[-2.0, 40.0]",199320,0,0,0,0.0,199320,100.0,14.7664,11.251,19.421,1.4639
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",199320,0,0,0,0.0,199320,100.0,3.8951,3.3911,4.3626,0.142
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,shortwave_irradiance,W m-2,-9999999.0,"[0.0, 1000.0]",199320,0,0,69294,0.0,130026,65.23,357.6977,0.0,1000.0,304.2793
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,eastward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",199320,0,0,0,0.0,199320,100.0,1.8008,-5.86,10.58,1.9279
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,northward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",199320,0,0,0,0.0,199320,100.0,-3.0375,-12.11,13.04,4.0965
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,met_barpres,Pa,-9999999.0,"[87000.0, 108330.0]",199320,0,0,0,0.0,199320,100.0,101887.4189,100860.0,102825.0,369.8839
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,met_windavg_mag_corr_east,m s-1,-9999999.0,"[None, None]",199320,0,0,no global ranges,6.0,199314,100.0,0.925,-6.4909,9.8849,1.8029
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,met_windavg_mag_corr_north,m s-1,-9999999.0,"[None, None]",199320,0,0,no global ranges,0.0,199320,100.0,-3.4079,-12.6832,12.5209,4.1526
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,met_current_direction,degrees,-9999999.0,"[0.0, 360.0]",199320,199320,0,0,,0,0.0,,,,
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,met_current_speed,m s-1,-9999999.0,"[-3.0, 3.0]",199320,199320,0,0,,0,0.0,,,,
