deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-07-23T19:27:47,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],0 days 00:00:25,154 days 01:29:50,0,154,[],399,52623,245,0.7,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '88.89%'},"{'n_unique_rates': 8, 'common_sampling_rates': {'0': '88.89%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'northward_velocity', 'eastward_velocity', 'precipitation', 'barometric_pressure', 'met_relwind_speed', 'shortwave_irradiance', 'relative_humidity', 'air_temperature', 'longwave_irradiance']",[],0,0,pass,3,"{'99': 2, '95': 1}",{'99': 3},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CE04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered_20150407T230025.516000-20151207T132310.866000
deployment0001,2019-07-23T19:27:48,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],0 days 00:00:13,154 days 01:29:50,0,154,[],399,52623,245,0.7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 7, 'common_sampling_rates': {'0': '11.11%', '1': '77.77%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'met_relwind_speed', 'relative_humidity', 'precipitation', 'barometric_pressure', 'shortwave_irradiance', 'air_temperature', 'longwave_irradiance', 'eastward_velocity', 'northward_velocity']",[],0,0,pass,3,"{'99': 2, '95': 1}",{'99': 3},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CE04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_20150407T230013.967000-20151207T132310.480000
deployment0002,2019-07-23T19:27:47,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],16 days 19:14:18,0 days 00:04:34,16,0,[0.2646],139,26280,122,0.7,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '88.89%'},"{'n_unique_rates': 8, 'common_sampling_rates': {'0': '88.89%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'eastward_velocity', 'northward_velocity', 'precipitation', 'longwave_irradiance', 'air_temperature', 'shortwave_irradiance', 'barometric_pressure', 'met_relwind_speed', 'relative_humidity']",[],0,0,pass,3,"{'99': 1, '95': 1, '75': 1}",{'99': 3},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered_20160602T000218.482000-20161001T151626.450000
deployment0002,2019-07-23T19:27:48,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],16 days 19:14:06,0 days 00:04:34,16,0,[0.2646],139,26280,122,0.7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 8, 'common_sampling_rates': {'0': '11.13%', '1': '77.70%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'eastward_velocity', 'northward_velocity', 'relative_humidity', 'air_temperature', 'barometric_pressure', 'longwave_irradiance', 'met_relwind_speed', 'precipitation', 'shortwave_irradiance']",[],0,0,pass,3,"{'99': 1, '95': 1, '75': 1}",{'99': 3},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_20160602T000206.928000-20161001T151626.102000
deployment0003,2019-07-23T19:27:47,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],0 days 01:16:47,0 days 00:46:37,0,0,"[1.8246, 2.0867]",203,43758,203,0.7,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '88.89%'},"{'n_unique_rates': 11, 'common_sampling_rates': {'0': '88.89%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'eastward_velocity', 'northward_velocity', 'relative_humidity', 'shortwave_irradiance', 'longwave_irradiance', 'met_relwind_speed', 'precipitation', 'barometric_pressure', 'air_temperature']",[],0,0,pass,3,"{'99': 2, '95': 1}",{'99': 3},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered_20161001T020047.060000-20170421T144823.996000
deployment0003,2019-07-23T19:27:48,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],0 days 01:16:35,0 days 00:46:37,0,0,"[1.8246, 2.0867]",203,43758,203,0.7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 13, 'common_sampling_rates': {'0': '11.13%', '1': '77.65%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'shortwave_irradiance', 'relative_humidity', 'met_relwind_speed', 'air_temperature', 'precipitation', 'longwave_irradiance', 'barometric_pressure', 'eastward_velocity', 'northward_velocity']",[],0,0,pass,3,"{'99': 2, '95': 1}",{'99': 3},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_20161001T020035.611000-20170421T144823.610000
deployment0004,2019-07-23T19:27:47,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],0 days 01:16:50,0 days 01:08:27,0,0,"[0.3415, 0.1825, 2.0966]",176,37917,176,0.7,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '88.89%'},"{'n_unique_rates': 13, 'common_sampling_rates': {'0': '88.89%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'northward_velocity', 'eastward_velocity', 'shortwave_irradiance', 'precipitation', 'longwave_irradiance', 'air_temperature', 'met_relwind_speed', 'barometric_pressure', 'relative_humidity']",[],0,0,pass,3,"{'99': 2, '95': 1}",{'99': 3},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CE04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered_20170421T030050.281000-20171013T152007.049000
deployment0004,2019-07-23T19:27:48,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],0 days 01:16:38,0 days 01:08:28,0,0,"[0.3415, 0.1825, 2.0966]",176,37917,176,0.7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 13, 'common_sampling_rates': {'0': '11.16%', '1': '77.68%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'barometric_pressure', 'longwave_irradiance', 'met_relwind_speed', 'shortwave_irradiance', 'precipitation', 'relative_humidity', 'air_temperature', 'northward_velocity', 'eastward_velocity']",[],0,0,pass,3,"{'99': 2, '95': 1}",{'99': 3},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CE04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_20170421T030038.569000-20171013T152006.663000
deployment0005,2019-07-23T19:27:48,telemetered,pco2a_a_dcl_instrument_air,[],0 days 00:51:29,0 days 02:33:02,0,0,"[1.7246, 1.9697, 0.4844, 1.9378]",175,37539,175,0.7,,,,,no seawater pressure in file,,,no consistent sampling rate: {0: '88.88%'},"{'n_unique_rates': 19, 'common_sampling_rates': {'0': '88.88%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'air_temperature', 'precipitation', 'longwave_irradiance', 'relative_humidity', 'met_relwind_speed', 'shortwave_irradiance', 'barometric_pressure', 'eastward_velocity', 'northward_velocity']",[],0,0,pass,3,"{'99': 2, '25': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CE04OSSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_air_20171011T235952.948000-20180403T175358.346000
deployment0005,2019-07-23T19:27:48,telemetered,pco2a_a_dcl_instrument_water,[],0 days 00:51:18,0 days 02:33:03,0,0,"[1.7246, 1.9697, 0.4844, 1.9378]",175,37535,175,0.7,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 22, 'common_sampling_rates': {'0': '11.68%', '1': '76.74%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'relative_humidity', 'longwave_irradiance', 'air_temperature', 'precipitation', 'met_relwind_speed', 'shortwave_irradiance', 'barometric_pressure', 'eastward_velocity', 'northward_velocity']",[],0,0,pass,3,"{'99': 2, '25': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CE04OSSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_20171011T235941.515000-20180403T175357.960000
