deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-06-24T17:50:02,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 00:23:00,0 days 00:29:51,0,0,[],399,9544,399,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3599: '24.59%', 3600: '30.48%', 3601: '19.65%', 3602: '10.15%'}","{'n_unique_rates': 28, 'common_sampling_rates': {'3599': '24.59%', '3600': '30.48%', '3601': '19.65%', '3602': '10.15%'}}",[],[],[],0,0,pass,12,{'99': 12},{'99': 12},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20150407T232300.957000-20160509T142309.503000
deployment0002,2019-06-24T17:50:00,recovered_host,wavss_a_dcl_mean_directional_recovered,[],0 days 01:35:10,0 days 00:57:49,0,0,[0.2646],139,3321,139,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '13.67%', 3599: '25.06%', 3600: '31.20%', 3601: '15.84%'}","{'n_unique_rates': 10, 'common_sampling_rates': {'3598': '13.67%', '3599': '25.06%', '3600': '31.20%', '3601': '15.84%'}}",[],[],[],0,0,pass,5,"{'99': 2, '50': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_mean_directional_recovered_20160516T062310.558000-20161001T142311.534000
deployment0002,2019-06-24T17:50:01,recovered_host,wavss_a_dcl_motion_recovered,['telemetered'],0 days 01:35:34,0 days 00:57:25,0,0,[0.2646],139,3321,139,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '13.40%', 3599: '25.18%', 3600: '30.69%', 3601: '16.02%'}","{'n_unique_rates': 10, 'common_sampling_rates': {'3598': '13.40%', '3599': '25.18%', '3600': '30.69%', '3601': '16.02%'}}",[],[],[],0,0,pass,5,"{'50': 3, '25': 2}",no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_motion_recovered_20160516T062334.440000-20161001T142335.488000
deployment0002,2019-06-24T17:50:01,recovered_host,wavss_a_dcl_non_directional_recovered,['telemetered'],0 days 01:35:04,0 days 00:57:55,0,0,[0.2646],139,3321,139,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '11.39%', 3599: '20.09%', 3600: '35.48%', 3601: '18.67%', 3602: '10.36%'}","{'n_unique_rates': 9, 'common_sampling_rates': {'3598': '11.39%', '3599': '20.09%', '3600': '35.48%', '3601': '18.67%', '3602': '10.36%'}}",[],[],[],0,0,pass,1,{'99': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_non_directional_recovered_20160516T062304.324000-20161001T142305.401000
deployment0002,2019-06-24T17:50:02,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 01:35:02,0 days 00:57:56,0,0,[0.2646],139,3321,139,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '11.57%', 3599: '19.94%', 3600: '35.54%', 3601: '18.67%', 3602: '10.45%'}","{'n_unique_rates': 9, 'common_sampling_rates': {'3598': '11.57%', '3599': '19.94%', '3600': '35.54%', '3601': '18.67%', '3602': '10.45%'}}",[],[],[],0,0,pass,12,{'99': 12},{'99': 12},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20160516T062302.976000-20161001T142304.052000
deployment0003,2019-06-24T17:50:00,recovered_host,wavss_a_dcl_mean_directional_recovered,[],0 days 01:39:18,0 days 01:11:44,0,0,"[1.8246, 2.0867]",203,4861,203,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '14.40%', 3599: '21.91%', 3600: '25.16%', 3601: '15.84%'}","{'n_unique_rates': 57, 'common_sampling_rates': {'3598': '14.40%', '3599': '21.91%', '3600': '25.16%', '3601': '15.84%'}}",[],[],[],0,0,pass,5,"{'99': 2, '25': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_mean_directional_recovered_20161001T022318.370000-20170421T142316.231000
deployment0003,2019-06-24T17:50:01,recovered_host,wavss_a_dcl_motion_recovered,['telemetered'],0 days 01:39:42,0 days 01:11:20,0,0,"[1.8246, 2.0867]",203,4861,203,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '14.88%', 3599: '21.93%', 3600: '25.43%', 3601: '15.27%'}","{'n_unique_rates': 58, 'common_sampling_rates': {'3598': '14.88%', '3599': '21.93%', '3600': '25.43%', '3601': '15.27%'}}",[],[],[],0,0,pass,5,"{'50': 3, '25': 2}",no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_motion_recovered_20161001T022342.291000-20170421T142340.177000
deployment0003,2019-06-24T17:50:01,recovered_host,wavss_a_dcl_non_directional_recovered,['telemetered'],0 days 01:39:12,0 days 01:11:50,0,0,"[1.8246, 2.0867]",203,4861,203,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '13.87%', 3599: '19.44%', 3600: '27.53%', 3601: '16.60%'}","{'n_unique_rates': 55, 'common_sampling_rates': {'3598': '13.87%', '3599': '19.44%', '3600': '27.53%', '3601': '16.60%'}}",[],[],[],0,0,pass,1,{'99': 1},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_non_directional_recovered_20161001T022312.256000-20170421T142310.384000
deployment0003,2019-06-24T17:50:02,recovered_host,wavss_a_dcl_statistics_recovered,['telemetered'],0 days 01:39:10,0 days 01:11:51,0,0,"[1.8246, 2.0867]",203,4861,203,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '13.83%', 3599: '19.63%', 3600: '27.47%', 3601: '16.83%'}","{'n_unique_rates': 55, 'common_sampling_rates': {'3598': '13.83%', '3599': '19.63%', '3600': '27.47%', '3601': '16.83%'}}",[],[],[],0,0,pass,12,{'99': 12},{'99': 12},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_statistics_recovered_20161001T022310.917000-20170421T142309.036000
deployment0004,2019-06-24T17:50:00,recovered_host,wavss_a_dcl_mean_directional_recovered,[],0 days 01:39:10,0 days 01:05:23,0,0,"[0.3415, 0.1825, 2.0966]",176,4213,176,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {3598: '16.19%', 3599: '24.60%', 3600: '27.42%', 3601: '19.85%'}","{'n_unique_rates': 11, 'common_sampling_rates': {'3598': '16.19%', '3599': '24.60%', '3600': '27.42%', '3601': '19.85%'}}",[],[],[],0,0,pass,5,"{'99': 2, '50': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CE04OSSM-SBD12-05-WAVSSA000-recovered_host-wavss_a_dcl_mean_directional_recovered_20170421T032310.029000-20171013T152311.783000
