deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-05-07T17:21:30,recovered_host,adcp_bottom_track_earth,[],0 days 00:01:51,35 days 02:45:31,0,35,[],86,320835,50,1000,439.13,996.41,996,-4,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 203, 'common_sampling_rates': {'3': '80.80%', '4': '12.17%'}}",[],['int_ctd_pressure'],"[['2014-06-08T06:20:14', '2014-06-09T19:43:44']]",1,1,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lon', 'lat', 'int_ctd_pressure']",pass,[],deployment0001_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_bottom_track_earth_20140421T001251.380000-20140609T211429.760000
deployment0001,2019-05-07T17:21:30,recovered_host,adcp_velocity_glider,[],0 days 00:01:51,35 days 02:45:31,0,35,[],86,320835,50,1000,439.13,996.41,996,-4,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 203, 'common_sampling_rates': {'3': '80.80%', '4': '12.17%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']","[['2014-06-08T06:20:14', '2014-06-09T19:43:44']]",1,1,pass,16,"{'99': 7, '0': 9}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lon', 'lat']",pass,[],deployment0001_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_velocity_glider_20140421T001251.380000-20140609T211429.760000
deployment0002,2019-05-07T17:21:30,recovered_host,adcp_bottom_track_earth,[],0 days 00:02:15,0 days 05:59:07,0,0,[19.5558],29,155316,28,1000,329.02,995.1,995,-5,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 216, 'common_sampling_rates': {'3': '78.90%', '4': '15.03%'}}",[],['int_ctd_pressure'],[],0,0,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon', 'int_ctd_pressure']",pass,[],deployment0002_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_bottom_track_earth_20150603T220915.790000-20150630T180053.140000
deployment0002,2019-05-07T17:21:30,recovered_host,adcp_velocity_glider,[],0 days 00:02:15,0 days 05:59:07,0,0,[19.5558],29,155316,28,1000,329.02,995.1,995,-5,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 216, 'common_sampling_rates': {'3': '78.90%', '4': '15.03%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']",[],0,0,pass,16,"{'99': 7, '0': 9}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lon', 'lat']",pass,[],deployment0002_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_velocity_glider_20150603T220915.790000-20150630T180053.140000
deployment0003,2019-05-07T17:21:30,recovered_host,adcp_bottom_track_earth,[],0 days 00:02:37,0 days 06:14:10,0,0,"[20.5563, 1.1714]",56,283582,54,1000,416.15,991.73,992,-8,int_ctd_pressure,no units attribute for pressure,0,3,"{'n_unique_rates': 302, 'common_sampling_rates': {'3': '78.71%', '4': '14.73%'}}",[],['int_ctd_pressure'],"[['2016-03-14T00:59:24', '2016-03-16T17:41:06']]",1,2,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time']","missing: ['lon', 'pressure', 'lat']",[],deployment0003_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_bottom_track_earth_20160122T214237.550000-20160316T174550.890000
deployment0003,2019-05-07T17:21:30,recovered_host,adcp_velocity_glider,[],0 days 00:02:37,0 days 06:14:10,0,0,"[20.5563, 1.1714]",56,283582,54,1000,416.15,991.73,992,-8,int_ctd_pressure,no units attribute for pressure,0,3,"{'n_unique_rates': 302, 'common_sampling_rates': {'3': '78.71%', '4': '14.73%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']","[['2016-03-14T00:59:24', '2016-03-16T17:41:06']]",1,2,pass,16,"{'99': 7, '0': 9}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time']","missing: ['lon', 'pressure', 'lat']",[],deployment0003_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_velocity_glider_20160122T214237.550000-20160316T174550.890000
deployment0004,2019-05-07T17:21:30,recovered_host,adcp_bottom_track_earth,[],0 days 00:05:45,41 days 11:27:05,0,41,"[257.2294, 259.4128, 258.9449]",87,233526,45,1000,461.34,988.68,989,-11,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 207, 'common_sampling_rates': {'3': '77.76%', '4': '15.98%'}}",[],['int_ctd_pressure'],[],0,0,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lon', 'lat', 'int_ctd_pressure']",pass,[],deployment0004_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_bottom_track_earth_20160920T174845.890000-20161103T123255.380000
deployment0004,2019-05-07T17:21:30,recovered_host,adcp_velocity_glider,[],0 days 00:05:45,41 days 11:27:05,0,41,"[257.2294, 259.4128, 258.9449]",87,233526,45,1000,461.34,988.68,989,-11,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 207, 'common_sampling_rates': {'3': '77.76%', '4': '15.98%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']",[],0,0,pass,16,"{'99': 7, '0': 9}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lon', 'lat']",pass,[],deployment0004_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_velocity_glider_20160920T174845.890000-20161103T123255.380000
deployment0005,2019-05-07T17:21:30,recovered_host,adcp_bottom_track_earth,[],0 days 02:31:25,0 days 01:26:20,0,0,"[19.6876, 3.4124, 4.1955, 262.7594]",4,4414,4,1000,15.86,72.41,72,-928,int_ctd_pressure,dbar,0,"no consistent sampling rate: {3: '25.72%', 4: '26.49%', 5: '23.07%'}","{'n_unique_rates': 117, 'common_sampling_rates': {'3': '25.72%', '4': '26.49%', '5': '23.07%'}}",[],['int_ctd_pressure'],[],0,0,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon', 'int_ctd_pressure']",pass,[],deployment0005_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_bottom_track_earth_20170419T231125.620000-20170422T020340.020000
deployment0006,2019-05-07T17:21:30,recovered_host,adcp_bottom_track_earth,[],0 days 00:13:30,40 days 00:47:54,0,40,"[18.9257, 1.1316, 2.2585, 260.2308, 2.5314]",90,343080,50,1000,408.23,985.94,986,-14,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 322, 'common_sampling_rates': {'3': '77.07%', '4': '16.24%'}}",[],['int_ctd_pressure'],[],0,0,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon', 'int_ctd_pressure']",pass,[],deployment0006_CE05MOAS-GL312-03-ADCPAM000-recovered_host-adcp_bottom_track_earth_20171207T202430.700000-20180125T172206.020000
