deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",2183435,0,0,0,1861,2181574,99.91,33.7744,28.1008,34.3977,0.7059
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_cond,S m-1,nan,"[0.0, 6.0]",2183435,0,0,0,1481,2181954,99.93,3.3872,3.1211,4.1764,0.1521
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure,bar,nan,"[0.0, 6000.0]",2183435,0,0,0,0,2183435,100.0,41.8248,0.0,101.941,28.3564
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_temp,ºC,nan,"[-2.0, 40.0]",2183435,0,0,0,0,2183435,100.0,6.4703,0.0,17.8707,2.5054
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",2183435,0,0,1481,0,2181954,99.93,1028.4301,1019.4692,1032.0439,2.1004
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",2183435,0,0,0,0,2183435,100.0,418.2476,0.0,1019.41,283.5641
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",566969,0,0,0,577,566392,99.9,33.7412,29.71,34.4238,0.6584
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_cond,S m-1,nan,"[0.0, 6.0]",566969,0,0,0,577,566392,99.9,3.4371,2.9998,4.1229,0.1472
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure,bar,nan,"[0.0, 6000.0]",566969,0,0,0,0,566969,100.0,33.3454,0.0,99.609,27.8491
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_temp,ºC,nan,"[-2.0, 40.0]",566969,0,0,0,0,566969,100.0,7.0974,0.0,16.2109,2.3784
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",566969,9816,0,577,0,556576,98.17,1027.9116,1022.6895,1031.9695,2.0125
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",566969,0,0,0,0,566969,100.0,333.4539,0.0,996.09,278.491
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",923116,0,0,0,715,922401,99.92,33.739,29.1007,34.4397,0.6545
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_cond,S m-1,nan,"[0.0, 6.0]",923116,0,0,0,713,922403,99.92,3.4243,2.7565,3.7483,0.165
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure,bar,nan,"[0.0, 6000.0]",923116,0,0,2767,0,920349,99.7,38.5872,0.0,99.269,29.2042
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_temp,ºC,nan,"[-2.0, 40.0]",923116,0,0,0,0,923116,100.0,6.9329,0.0,11.5853,2.6106
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",923116,1488,0,713,0,920915,99.76,1028.1855,1018.1129,1031.9948,2.1525
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",923116,0,0,2767,0,920349,99.7,385.8723,0.0,992.6899,292.0418
