deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,adcp_velocity_glider,salinity,1,-1,"[None, None]",285381,0,0,no global ranges,0.0,285381,100.0,35.0,35.0,35.0,0.0
deployment0001,recovered_host,adcp_velocity_glider,temperature,cdeg_C,-9999,"[None, None]",285381,0,0,no global ranges,0.0,285381,100.0,915.968,506.0,1897.0,352.301
deployment0001,recovered_host,adcp_velocity_glider,pressure,daPa,0,"[None, None]",285381,0,285381,,,0,0.0,,,,
deployment0001,recovered_host,adcp_velocity_glider,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[285381, 8561430]",0,7388143,740,833.0,1171714,13.69,12.1468,-1154.0,1173.0,227.6672
deployment0001,recovered_host,adcp_velocity_glider,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[285381, 8561430]",0,7388143,589,2289.0,1170409,13.67,26.7344,-816.0,870.0,155.5159
deployment0001,recovered_host,adcp_velocity_glider,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[285381, 8561430]",0,7388143,1780,5813.0,1165694,13.62,168.5176,-408.0,739.0,102.7908
deployment0001,recovered_host,adcp_velocity_glider,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[285381, 8561430]",0,7745432,118,1766.0,814114,9.51,-1.0797,-266.0,263.0,50.3635
deployment0001,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam1 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[285381, 8561430]",0,0,0,66726.0,8494704,99.22,34.605,32.94,51.85,2.4984
deployment0001,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam2 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[285381, 8561430]",0,0,0,70833.0,8490597,99.17,34.1194,32.33,51.24,2.4797
deployment0001,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam3 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[285381, 8561430]",0,0,0,69400.0,8492030,99.19,34.9296,33.55,50.63,2.1548
