deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,adcp_velocity_earth,salinity,1,-1,"[None, None]",26461,0,0,no global ranges,0.0,26461.0,100.0,33.0,33.0,33.0,0.0
deployment0001,recovered_inst,adcp_velocity_earth,temperature,cdeg_C,-9999,"[None, None]",26461,0,0,no global ranges,0.0,26461.0,100.0,1234.5253,942.0,1573.0,132.2698
deployment0001,recovered_inst,adcp_velocity_earth,pressure,daPa,0,"[None, None]",26461,0,0,no global ranges,0.0,26461.0,100.0,28869.0627,26179.0,30831.0,831.0287
deployment0001,recovered_inst,adcp_velocity_earth,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[26461, 1587660]",0,809,1,,,99.95,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[26461, 1587660]",0,809,0,,,99.95,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[26461, 1587660]",0,809,1,,,99.95,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[26461, 1587660]",0,34104,1558,,,97.75,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"corrected_echo_intensity_beam1 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[26461, 1587660]",0,0,0,,,100.0,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"corrected_echo_intensity_beam2 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[26461, 1587660]",0,0,0,,,100.0,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"corrected_echo_intensity_beam3 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[26461, 1587660]",0,0,0,,,100.0,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"corrected_echo_intensity_beam4 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[26461, 1587660]",0,0,0,,,100.0,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"eastward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-3.0, 3.0]","[26461, 1587660]",809,0,1,,,99.95,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"northward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-3.0, 3.0]","[26461, 1587660]",809,0,0,,,99.95,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"upward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[26461, 1587660]",809,0,1,,,99.95,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"error_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[26461, 1587660]",34104,0,1558,,,97.75,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"bin_depths (dims: ['time', 'bin'])",m,-9999999.0,"[None, None]","[26461, 1587660]",0,0,no global ranges,,,100.0,,,,
deployment0001,recovered_inst,adcpt_m_instrument_log9_recovered,significant_wave_height,m,-9999999.0,"[0.0, 18.0]",736,0,0,1,0.0,735.0,99.86,2.0183,0.48,5.49,0.9678
deployment0001,recovered_inst,adcpt_m_instrument_log9_recovered,peak_wave_period,sec,-9999999.0,"[3.0, 30.0]",736,0,0,1,0.0,735.0,99.86,11.7497,5.9,19.5,2.3559
deployment0001,recovered_inst,adcpt_m_instrument_log9_recovered,peak_wave_direction,degrees,-9999999.0,"[0.0, 360.0]",736,0,0,1,3.0,732.0,99.46,252.4153,175.0,346.0,21.9336
deployment0001,recovered_inst,adcpt_m_instrument_log9_recovered,dp_sea,degrees,-9999999.0,"[0.0, 360.0]",736,0,0,1,3.0,732.0,99.46,240.623,66.0,330.0,38.1389
deployment0001,recovered_inst,adcpt_m_instrument_log9_recovered,hs_sea,meters,-9999999.0,"[None, None]",736,0,0,no global ranges,0.0,736.0,100.0,1.0072,-1.0,2.73,0.5253
deployment0001,recovered_inst,adcpt_m_instrument_log9_recovered,dp_swell,degrees,-9999999.0,"[0.0, 360.0]",736,0,0,1,3.0,732.0,99.46,252.6694,175.0,346.0,21.4074
deployment0001,recovered_inst,adcpt_m_instrument_log9_recovered,hs_swell,meters,-9999999.0,"[None, None]",736,0,0,no global ranges,0.0,736.0,100.0,1.7112,-1.0,5.18,0.888
