deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,1168,0,no missing data,1168,0.0,0.0,0,0.0
deployment0001,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,1168,95,no missing data,1073,7.4e-09,0.0672941643,0,0.0
deployment0001,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,1168,0,no missing data,46,0.0,0.0,0,0.0
deployment0001,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,1168,95,no missing data,43,4.21e-08,0.0002029968,0,0.0
deployment0002,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,4481,0,no missing data,4481,0.0,0.0,0,0.0
deployment0002,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,4481,41,no missing data,4440,3e-10,0.0011050565,0,0.0
deployment0002,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,4481,0,no missing data,3491,0.0,0.0,0,0.0
deployment0002,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,4481,41,no missing data,3206,3e-10,0.001840519,0,0.0
deployment0004,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3,0,no missing data,3,0.0,0.0,0,0.0
deployment0004,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,3,0,no missing data,3,0.0,0.0,0,0.0
deployment0005,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,6123,0,no missing data,4579,0.0,0.0,0,0.0
deployment0005,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,6123,6004,no missing data,79,3.6e-09,0.0006959047,0,0.0
deployment0005,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,6123,0,no missing data,4565,0.0,0.0,0,0.0
deployment0005,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,6123,6004,no missing data,78,3.6e-09,0.0006574316,0,0.0
deployment0006,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,1927,0,no missing data,663,0.0,0.0,0,0.0
deployment0006,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,1927,224,no missing data,663,2.78e-08,0.0004331999,0,0.0
deployment0007,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,5467,0,no missing data,4169,0.0,0.0,0,0.0
deployment0007,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,5467,1858,no missing data,2787,0.0,8.53012e-05,0,0.0
deployment0007,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,5467,0,no missing data,4166,0.0,0.0,0,0.0
deployment0007,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,5467,1858,no missing data,2787,0.0,6.30297e-05,0,0.0
deployment0008,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,2107,0,"{'missing_data_gaps': [['2018-09-20T00:32:53', '2018-09-20T10:32:53']], 'n_missing': [6], 'n_missing_total': 6, 'n_missing_days_total': 1}",2107,0.0,0.0,0,0.0
deployment0008,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,2107,539,"{'missing_data_gaps': [['2018-09-20T00:32:53', '2018-09-20T10:32:53']], 'n_missing': [6], 'n_missing_total': 6, 'n_missing_days_total': 1}",1568,0.0,0.0019231195,0,0.0
