deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,13383.0,0.0,"{'missing_data_gaps': [['2015-03-05T16:00:00', '2015-03-07T00:00:00']], 'n_missing_days_total': 3, 'n_hours_missing': [28], 'n_hours_missing_total': 28}",0.0,,,,
deployment0001,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,13383.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,17933.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,17933.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0004,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,13589.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,13589.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0005,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,8972.0,0.0,"{'missing_data_gaps': [['2016-12-12T14:00:00', '2017-01-20T22:00:00'], ['2017-02-21T23:00:00', '2017-02-22T00:00:00'], ['2017-03-28T11:00:00', '2017-03-28T12:00:00']], 'n_missing_days_total': 43, 'n_hours_missing': [944, 2, 2], 'n_hours_missing_total': 948}",0.0,,,,
deployment0005,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,8972.0,0.0,"{'missing_data_gaps': [['2016-12-12T14:00:00', '2017-01-20T22:00:00'], ['2017-02-21T23:00:00', '2017-02-22T00:00:00'], ['2017-03-28T11:00:00', '2017-03-28T12:00:00']], 'n_missing_days_total': 43, 'n_hours_missing': [944, 2, 2], 'n_hours_missing_total': 948}",0.0,,,,
deployment0006,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,12955.0,0.0,"{'missing_data_gaps': [['2017-08-28T12:00:00', '2017-10-05T14:00:00']], 'n_missing_days_total': 39, 'n_hours_missing': [914], 'n_hours_missing_total': 914}",0.0,,,,
deployment0006,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,12955.0,0.0,"{'missing_data_gaps': [['2017-08-28T12:00:00', '2017-10-05T12:00:00']], 'n_missing_days_total': 39, 'n_hours_missing': [912], 'n_hours_missing_total': 912}",0.0,,,,
deployment0007,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,16674.0,0.0,no missing data,70.0,4.1e-08,0.0002804112,0.0,0.0
deployment0007,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,16674.0,0.0,no missing data,70.0,4.1e-08,0.0002804112,0.0,0.0
deployment0008,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,2093.0,0.0,"{'missing_data_gaps': [['2018-09-20T00:30:20', '2018-09-20T12:30:18']], 'n_missing': [7], 'n_missing_total': 7, 'n_missing_days_total': 1}",2093.0,0.0,0.0,0.0,0.0
deployment0008,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,Dissolved Oxygen Concentration,dosta_ln_optode_oxygen,uM,pass,2093.0,0.0,"{'missing_data_gaps': [['2018-09-20T00:30:20', '2018-09-20T12:30:18']], 'n_missing': [7], 'n_missing_total': 7, 'n_missing_days_total': 1}",2093.0,0.0,0.0,0.0,0.0
