deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1862989, 149039120]",1863080.0,0.0,123293270,2412.0,23880358,16.02,3.509,0.0,17.8828,2.8699
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1862989, 149039120]",8175919.0,0.0,1662735,37586.0,139162880,93.37,0.8576,0.0,5.374,0.8482
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",80,,,no global ranges,,not calculated,stats not calculated,"[400.7, 404.3, 407.6, 410.7, 413.9, 417.3, 421.5, 425.6, 429.7, 433.3, 437.0, 441.0, 445.1, 449.7, 453.8, 458.0, 462.0, 466.1, 470.5, 475.2, 480.1, 484.8, 489.0, 493.0, 497.7, 501.7, 506.2, 511.1, 516.1, 520.3, 524.8, 529.4, 533.5, 538.0, 542.5, 546.9, 551.2, 555.5, 559.8, 564.2, 568.5, 572.5, 574.2, 578.5, 582.5, 586.6, 590.8, 595.0, 599.9, 604.0, 608.8, 612.9, 617.9, 622.2, 626.4, 630.7, 635.0, 639.3, 643.5, 647.8, 652.2, 656.7, 661.3, 665.5, 670.0, 674.4, 678.5, 682.5, 686.6, 690.5, 694.7, 698.6, 702.5, 706.2, 709.9, 713.9, 717.4, 721.4, 725.3, 728.8]",,,
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",80,,,no global ranges,,not calculated,stats not calculated,"[399.8, 403.4, 406.8, 410.0, 413.4, 416.6, 420.8, 425.1, 429.0, 432.9, 436.3, 440.5, 444.6, 449.0, 453.4, 457.6, 461.7, 465.7, 470.5, 474.8, 479.9, 484.6, 488.5, 492.8, 497.4, 501.9, 506.2, 511.1, 516.1, 520.8, 524.9, 529.6, 533.7, 538.0, 542.5, 547.1, 551.4, 556.2, 559.9, 564.9, 568.6, 572.7, 575.9, 580.2, 584.2, 588.5, 592.8, 597.1, 601.8, 606.5, 610.7, 615.2, 619.7, 624.0, 628.0, 632.5, 636.8, 641.2, 645.3, 649.9, 654.5, 658.8, 663.2, 667.5, 672.1, 676.3, 680.3, 684.3, 688.4, 692.3, 696.5, 700.0, 704.2, 707.6, 711.8, 715.5, 719.3, 723.2, 726.7, 730.2]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1681543, 142931155]",0.0,23627883.0,34,32033.0,119271205,83.45,2.6939,0.1784,11.858,1.8229
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1681543, 142931155]",512.0,23627883.0,4640734,1310693.0,113351333,79.3,5.5169,0.0,54.8945,6.3165
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",85,,,no global ranges,,not calculated,stats not calculated,"[401.4, 405.0, 408.5, 411.8, 415.1, 418.9, 423.3, 427.6, 431.5, 435.4, 439.3, 443.5, 448.1, 452.7, 457.1, 461.3, 465.5, 470.1, 475.0, 479.7, 484.5, 488.8, 493.2, 497.5, 502.2, 506.9, 511.8, 516.5, 521.3, 526.0, 530.4, 534.6, 539.0, 543.3, 548.0, 552.6, 557.0, 561.8, 566.1, 570.2, 574.2, 578.3, 582.4, 586.1, 588.5, 592.9, 597.6, 602.3, 606.8, 611.5, 616.2, 620.5, 625.0, 629.5, 633.9, 638.3, 642.8, 647.3, 651.7, 656.3, 661.1, 665.5, 670.0, 674.5, 678.8, 683.2, 687.2, 691.5, 695.5, 699.6, 703.9, 707.8, 711.8, 715.6, 719.7, 723.8, 728.0, 731.9, 735.6, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",85,,,no global ranges,,not calculated,stats not calculated,"[400.9, 404.4, 407.3, 410.7, 413.9, 417.6, 421.5, 425.6, 429.7, 433.4, 437.3, 441.6, 445.6, 450.4, 454.5, 458.9, 462.9, 467.3, 471.7, 476.6, 481.3, 485.9, 490.2, 494.4, 498.8, 503.3, 507.8, 512.8, 517.5, 522.2, 526.5, 531.0, 535.1, 539.4, 543.8, 548.1, 552.8, 557.2, 561.6, 566.1, 570.0, 574.1, 577.8, 581.7, 586.6, 590.5, 594.9, 599.4, 604.0, 608.5, 613.0, 617.7, 622.2, 626.5, 630.9, 635.4, 639.7, 644.1, 648.6, 652.9, 657.5, 662.1, 666.5, 670.9, 675.4, 679.6, 683.8, 688.1, 692.0, 696.0, 700.2, 704.1, 708.1, 712.1, 716.0, 720.0, 724.1, 728.1, 731.8, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1234656, 104945760]",0.0,0.0,30,74802.0,104870928,99.93,2.82,0.1899,9.9876,1.4141
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1234656, 104945760]",44.0,0.0,6106930,35753.0,98803033,94.15,0.2704,0.0,1.7717,0.2982
