deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,ctdbp_cdef_dcl_instrument_recovered,conductivity,S m-1,-9999999.0,"[0.0, 6.0]",2598,0,0,0,0,2598,100.0,3.3593,2.17,4.0149,0.3435
deployment0001,recovered_host,ctdbp_cdef_dcl_instrument_recovered,pressure,dbar,-9999999.0,"[0.0, 6000.0]",2598,0,0,344,37,2217,85.33,1.9199,0.717,40.036,4.5053
deployment0001,recovered_host,ctdbp_cdef_dcl_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",2598,0,0,0,0,2598,100.0,1021.4404,1014.0848,1024.2557,1.6802
deployment0001,recovered_host,ctdbp_cdef_dcl_instrument_recovered,temp,ºC,-9999999.0,"[-2.0, 40.0]",2598,0,0,0,0,2598,100.0,12.329,8.9303,16.3022,1.9466
deployment0001,recovered_host,ctdbp_cdef_dcl_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",2598,0,0,0,0,2598,100.0,28.5272,18.7711,31.8065,2.2595
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",5545,0,0,0,0,5545,100.0,1021.3046,1016.8733,1023.8337,1.3443
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",5545,0,0,0,0,5545,100.0,27.9497,21.8787,31.6722,1.9677
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",5545,0,0,0,0,5545,100.0,10.825,7.0337,14.4509,1.9725
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",5545,0,0,0,28,5517,99.5,0.9623,0.5097,1.7808,0.1196
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",5545,0,0,0,0,5545,100.0,3.1809,2.4262,3.7948,0.3252
