deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-flort_sample,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_host-flort_sample,no other methods available for comparison,,,,,,,,,,,,
deployment0005,recovered_host-flort_sample,no other methods available for comparison,,,,,,,,,,,,
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,3483.0,0.0,no missing data,3479.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,3483.0,0.0,no missing data,3479.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,3483.0,0.0,no missing data,3479.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,3483.0,0.0,no missing data,3479.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,3483.0,0.0,no missing data,3479.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,3483.0,3483.0,No valid data to compare,0.0,,,,
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2034.0,0.0,"{'missing_data_gaps': ['2018-01-09T00:30:07'], 'n_missing': [1], 'n_missing_total': 1, 'n_missing_days_total': 0}",2034.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2034.0,0.0,"{'missing_data_gaps': ['2018-01-09T00:30:07'], 'n_missing': [1], 'n_missing_total': 1, 'n_missing_days_total': 0}",2034.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2034.0,0.0,"{'missing_data_gaps': ['2018-01-09T00:30:07'], 'n_missing': [1], 'n_missing_total': 1, 'n_missing_days_total': 0}",2034.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,2034.0,0.0,"{'missing_data_gaps': ['2018-01-09T00:30:07'], 'n_missing': [1], 'n_missing_total': 1, 'n_missing_days_total': 0}",2034.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,2034.0,0.0,"{'missing_data_gaps': ['2018-01-09T00:30:07'], 'n_missing': [1], 'n_missing_total': 1, 'n_missing_days_total': 0}",2034.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,2034.0,2034.0,No valid data to compare,0.0,,,,
deployment0008,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2121.0,0.0,no missing data,2119.0,0.0,0.0,0.0,0.0
deployment0008,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2121.0,0.0,no missing data,2119.0,0.0,0.0,0.0,0.0
deployment0008,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2121.0,0.0,no missing data,2119.0,0.0,0.0,0.0,0.0
deployment0008,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,2121.0,0.0,no missing data,2119.0,0.0,0.0,0.0,0.0
deployment0008,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,2121.0,0.0,no missing data,2119.0,0.0,0.0,0.0,0.0
deployment0008,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,2121.0,2121.0,No valid data to compare,0.0,,,,
