deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,50478.0,0.0,no missing data,2.0,0.0,0.017999649,0.0,0.0
deployment0001,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,Photosynthetically Active Radiation,parad_j_par_counts_output,µmol photons m-2 s-1,pass,50478.0,0.0,no missing data,2.0,0.0,0.0,0.0,0.0
deployment0002,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,13660.0,0.0,no missing data,88.0,0.0,0.3669999838,0.0,0.0
deployment0002,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,Photosynthetically Active Radiation,parad_j_par_counts_output,µmol photons m-2 s-1,pass,13660.0,0.0,no missing data,88.0,0.0,0.0,0.0,0.0
deployment0003,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,19957.0,0.0,no missing data,105.0,0.0,0.1469993591,0.0,0.0
deployment0003,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,Photosynthetically Active Radiation,parad_j_par_counts_output,µmol photons m-2 s-1,pass,19957.0,0.0,no missing data,105.0,0.0,0.0,0.0,0.0
deployment0004,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,22308.0,0.0,no missing data,175.0,0.0,0.2249999642,0.0,0.0
deployment0004,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,Photosynthetically Active Radiation,parad_j_par_counts_output,µmol photons m-2 s-1,pass,22308.0,0.0,no missing data,175.0,0.0,0.0,0.0,0.0
deployment0005,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,15281.0,0.0,no missing data,284.0,0.0,0.1879999936,0.0,0.0
deployment0005,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,Photosynthetically Active Radiation,parad_j_par_counts_output,µmol photons m-2 s-1,pass,15281.0,0.0,no missing data,284.0,0.0,2.5412647461,1.0,0.35
deployment0006,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,4570.0,0.0,no missing data,205.0,0.0,0.0069999993,0.0,0.0
deployment0006,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,Photosynthetically Active Radiation,parad_j_par_counts_output,µmol photons m-2 s-1,pass,4570.0,0.0,no missing data,205.0,0.0,0.0,0.0,0.0
deployment0007,recovered_cspp-parad_j_cspp_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0008,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,CTD Seawater Pressure,pressure_depth,dbar,pass,5546.0,0.0,no missing data,408.0,0.0,0.2440000772,0.0,0.0
deployment0008,recovered_cspp-parad_j_cspp_instrument_recovered,telemetered-parad_j_cspp_instrument,Photosynthetically Active Radiation,parad_j_par_counts_output,µmol photons m-2 s-1,pass,5546.0,0.0,no missing data,408.0,0.0,0.0,0.0,0.0
deployment0009,telemetered-parad_j_cspp_instrument,no other methods available for comparison,,,,,,,,,,,,
