deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-vel3d_cd_dcl_velocity_data_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0004,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Eastward Turbulent Point Seawater Velocity,vel3d_c_eastward_turbulent_velocity,m s-1,pass,3357.0,0.0,no missing data,3357.0,2.52e-07,0.0037819646,0.0,0.0
deployment0004,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Northward Turbulent Point Seawater Velocity,vel3d_c_northward_turbulent_velocity,m s-1,pass,3357.0,0.0,no missing data,3357.0,5.388e-07,0.0055672068,0.0,0.0
deployment0004,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Upward Turbulent Point Seawater Velocity,vel3d_c_upward_turbulent_velocity,m s-1,pass,3357.0,0.0,no missing data,3357.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Seawater Pressure,seawater_pressure_mbar,0.001 dbar,pass,3357.0,0.0,no missing data,3357.0,0.0,0.0,0.0,0.0
deployment0005,telemetered-vel3d_cd_dcl_velocity_data,no other methods available for comparison,,,,,,,,,,,,
deployment0006,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Eastward Turbulent Point Seawater Velocity,vel3d_c_eastward_turbulent_velocity,m s-1,pass,2024413.0,0.0,no missing data,1998720.0,0.0,0.0286172129,0.0,0.0
deployment0006,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Northward Turbulent Point Seawater Velocity,vel3d_c_northward_turbulent_velocity,m s-1,pass,2024413.0,0.0,no missing data,1998720.0,0.0,0.0253337623,0.0,0.0
deployment0006,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Upward Turbulent Point Seawater Velocity,vel3d_c_upward_turbulent_velocity,m s-1,pass,2024413.0,0.0,no missing data,1998720.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Seawater Pressure,seawater_pressure_mbar,0.001 dbar,pass,2024413.0,0.0,no missing data,1998720.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Eastward Turbulent Point Seawater Velocity,vel3d_c_eastward_turbulent_velocity,m s-1,pass,2006818.0,0.0,no missing data,2006826.0,0.0,0.1865061327,0.0,0.0
deployment0007,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Northward Turbulent Point Seawater Velocity,vel3d_c_northward_turbulent_velocity,m s-1,pass,2006818.0,0.0,no missing data,2006826.0,0.0,0.2420231873,0.0,0.0
deployment0007,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Upward Turbulent Point Seawater Velocity,vel3d_c_upward_turbulent_velocity,m s-1,pass,2006818.0,0.0,no missing data,2006826.0,0.0,0.032,0.0,0.0
deployment0007,recovered_host-vel3d_cd_dcl_velocity_data_recovered,telemetered-vel3d_cd_dcl_velocity_data,Seawater Pressure,seawater_pressure_mbar,0.001 dbar,pass,2006818.0,0.0,no missing data,2006826.0,0.0,1692.0,8.0,0.0
