deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0003,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",2279,0,0,0.0,0.0,2279,100.0,7.3314,6.5406,7.7581,0.2343
deployment0003,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",2279,0,0,2275.0,0.0,4,0.18,507.9084,431.3302,589.9727,58.9716
deployment0004,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",445,0,0,0.0,0.0,445,100.0,8.2425,8.024,8.4676,0.136
deployment0004,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",445,0,0,,,0,0.0,,,,
deployment0005,telemetered,pco2w_abc_dcl_instrument,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1252,0,0,0.0,0.0,1252,100.0,8.4212,6.4521,9.7796,1.0753
deployment0005,telemetered,pco2w_abc_dcl_instrument,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",1252,0,0,812.0,0.0,440,35.14,501.2721,420.3704,595.821,31.4239
deployment0006,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1356,0,0,0.0,0.0,1356,100.0,9.2195,7.9575,11.6597,1.2276
deployment0006,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",1356,0,4,1022.0,0.0,330,24.34,493.059,390.4577,598.7427,43.6794
deployment0007,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",432,0,0,0.0,0.0,432,100.0,9.1228,8.401,9.6013,0.3376
deployment0007,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",432,0,0,351.0,1.0,80,18.52,521.7069,296.4985,598.7691,41.5793
