deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[15262, 1251484]",0.0,0.0,2430,4.0,1249050,99.81,8.3487,1.4584,41.8264,6.6958
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[15262, 1251484]",2951.0,0.0,184303,3431.0,1060799,84.76,0.5919,0.0,5.0225,0.7732
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",82,,,no global ranges,,not calculated,stats not calculated,"[401.0, 405.5, 410.0, 413.9, 418.3, 423.3, 428.1, 432.7, 437.0, 441.6, 446.5, 451.8, 456.9, 461.1, 465.7, 471.0, 476.1, 481.3, 486.4, 491.1, 495.5, 500.1, 505.2, 510.4, 515.8, 521.0, 526.0, 530.8, 535.3, 540.2, 545.2, 550.2, 555.1, 560.3, 565.0, 569.8, 574.2, 578.5, 582.9, 585.9, 590.1, 594.9, 599.6, 604.6, 609.3, 614.2, 619.0, 623.5, 628.0, 632.9, 637.0, 641.6, 646.1, 650.9, 655.5, 660.4, 664.5, 669.3, 673.7, 678.3, 682.0, 686.3, 690.2, 694.0, 697.6, 701.5, 705.0, 708.4, 711.6, 715.2, 718.5, 721.7, 725.4, 728.1, 731.5, 733.7, 737.2, 739.7, 742.2, 744.1, 746.7, 749.0]",,,
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",82,,,no global ranges,,not calculated,stats not calculated,"[400.1, 404.1, 408.4, 412.5, 416.7, 421.4, 426.3, 431.1, 435.2, 440.0, 444.8, 449.3, 454.6, 459.2, 463.6, 468.7, 474.0, 479.0, 483.9, 488.8, 493.4, 497.9, 502.9, 508.0, 513.0, 518.4, 523.5, 528.2, 533.0, 537.7, 542.3, 547.5, 552.2, 557.4, 562.3, 566.9, 571.7, 575.9, 580.3, 584.6, 588.8, 593.4, 598.1, 602.9, 607.8, 612.5, 617.4, 622.0, 626.4, 631.0, 635.3, 639.8, 644.6, 649.3, 653.9, 658.5, 663.1, 667.7, 672.1, 676.3, 680.6, 684.6, 688.5, 692.1, 696.0, 699.5, 703.3, 707.0, 710.3, 713.7, 717.1, 720.6, 723.8, 726.7, 729.9, 732.6, 735.6, 738.1, 740.2, 743.4, 745.4, 747.5]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1498060, 119844800]",0.0,0.0,236945,1110889.0,118496966,98.88,1.6759,0.3705,18.4765,0.8851
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1498060, 119844800]",447173.0,0.0,10887340,243805.0,108266482,90.34,0.2448,0.0,1.8681,0.311
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",80,,,no global ranges,,not calculated,stats not calculated,"[401.8, 405.3, 409.1, 412.1, 415.7, 419.9, 424.4, 428.6, 432.7, 436.6, 440.5, 445.1, 449.7, 454.3, 458.7, 462.7, 467.3, 471.9, 476.8, 481.7, 486.2, 490.6, 494.9, 499.5, 504.1, 508.8, 513.3, 518.2, 523.0, 527.5, 531.8, 536.0, 540.6, 544.7, 549.3, 554.0, 558.4, 563.0, 567.3, 571.3, 575.3, 579.3, 583.9, 588.3, 592.9, 597.2, 601.9, 606.5, 611.5, 616.0, 620.9, 625.0, 629.7, 634.0, 638.5, 643.0, 647.8, 652.2, 656.8, 661.6, 666.2, 670.5, 675.0, 679.6, 683.8, 687.9, 692.0, 696.2, 700.0, 703.9, 707.9, 712.0, 716.0, 719.8, 723.8, 727.3, 731.0, 734.6, 738.3, 742.3]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",80,,,no global ranges,,not calculated,stats not calculated,"[400.0, 403.7, 407.3, 410.9, 414.2, 418.2, 422.8, 427.0, 431.1, 434.8, 438.9, 443.2, 447.9, 452.3, 456.9, 461.0, 465.5, 470.1, 474.8, 479.7, 484.5, 488.8, 493.0, 497.5, 502.1, 506.8, 511.4, 516.3, 521.1, 525.8, 530.1, 534.4, 538.7, 542.8, 547.5, 551.9, 556.5, 561.0, 565.4, 569.6, 573.7, 577.5, 581.2, 585.2, 589.6, 594.2, 598.8, 603.5, 608.2, 613.0, 617.5, 622.0, 626.5, 630.9, 635.4, 639.8, 644.5, 648.9, 653.4, 658.1, 662.8, 667.5, 671.9, 676.2, 680.4, 684.8, 688.9, 693.1, 697.1, 701.2, 705.0, 708.9, 712.9, 716.8, 720.6, 724.5, 728.1, 731.9, 735.3, 739.3]",,,
deployment0005,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[831850, 69875400]",0.0,0.0,216,180468.0,69694716,99.74,1.4543,0.2826,5.2882,0.6418
deployment0005,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[831850, 69875400]",253.0,0.0,7618604,259881.0,61996662,88.72,0.105,0.0,0.842,0.1304
deployment0005,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",84,,,no global ranges,,not calculated,stats not calculated,"[400.5, 404.3, 407.6, 411.4, 414.8, 418.9, 423.1, 427.2, 431.5, 435.2, 439.1, 443.7, 448.1, 452.7, 456.9, 461.3, 465.7, 470.1, 474.8, 479.7, 484.3, 488.5, 492.7, 497.0, 501.4, 505.9, 510.4, 515.1, 519.6, 524.1, 528.4, 532.5, 536.6, 540.8, 545.1, 549.3, 553.6, 557.9, 562.1, 566.2, 570.3, 574.2, 578.0, 581.7, 585.4, 589.6, 593.5, 597.7, 602.1, 606.6, 610.8, 615.5, 619.7, 624.0, 628.4, 632.7, 637.0, 641.5, 645.6, 650.1, 654.7, 659.3, 663.7, 668.2, 672.3, 676.5, 680.9, 684.8, 689.0, 693.3, 697.1, 701.2, 705.2, 708.9, 713.1, 716.9, 720.8, 724.8, 728.9, 732.6, 736.4, 740.7, 743.8, 748.0]",,,
deployment0005,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",84,,,no global ranges,,not calculated,stats not calculated,"[400.5, 404.1, 407.6, 411.2, 414.8, 418.7, 423.0, 427.2, 431.5, 435.4, 439.3, 443.9, 448.5, 453.0, 457.5, 462.0, 466.1, 470.5, 475.4, 480.1, 484.8, 489.2, 493.4, 497.7, 502.2, 506.8, 511.6, 516.3, 520.6, 525.1, 529.4, 533.5, 537.8, 542.0, 546.3, 550.5, 555.0, 559.3, 563.5, 567.6, 571.3, 575.6, 580.2, 583.9, 588.1, 592.0, 596.4, 600.6, 605.3, 609.5, 614.0, 618.5, 622.9, 627.4, 631.7, 636.0, 640.5, 644.8, 649.3, 654.0, 658.5, 662.9, 667.5, 671.8, 675.8, 680.3, 684.6, 688.9, 692.9, 696.8, 700.9, 705.0, 709.2, 712.9, 716.9, 720.6, 724.6, 729.1, 732.6, 736.5, 740.5, 744.3, 747.8, 751.6]",,,
