deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",278667,0,0,0,21,278646,99.99,1024.0807,1020.3004,1025.6173,0.7558
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",278667,0,0,0,1119,277548,99.6,32.0252,28.1303,33.2861,0.725
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",278667,0,0,0,0,278667,100.0,13.0646,8.8017,18.2455,2.0739
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",278667,0,0,0,242,278425,99.91,7.1082,5.9531,8.1497,0.2269
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",278667,0,0,0,0,278667,100.0,3.788,3.1306,4.1862,0.1969
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",374912,0,0,0,267,374645,99.93,1023.6948,1018.014,1024.9464,1.125
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",374912,0,0,0,121,374791,99.97,31.1319,24.033,32.678,1.4136
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",374912,0,0,0,0,374912,100.0,11.5752,9.0223,14.9934,1.2482
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",374912,0,0,0,340,374572,99.91,6.7955,4.6225,8.4986,0.4278
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",374912,0,0,0,0,374912,100.0,3.5637,2.9107,3.9665,0.1793
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",254128,0,0,0,89,254039,99.96,1024.0357,1021.0971,1025.4361,0.634
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",254128,0,0,0,91,254037,99.96,31.9516,29.0564,33.0801,0.56
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",254128,0,0,0,0,254128,100.0,13.1199,9.0828,18.0289,1.5728
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",254128,0,0,0,224,253904,99.91,7.114,5.9532,8.1963,0.229
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",254128,0,0,0,69,254059,99.97,3.7858,3.1446,4.1339,0.1273
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",167308,0,0,0,90,167218,99.95,1023.8924,1021.1044,1024.7182,0.5539
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",167308,0,0,0,20,167288,99.99,31.6947,27.0647,32.5961,0.926
