deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",1557964,0,0,411,0,1557553,99.97,119.4942,1.1193,399.9816,137.7735
deployment0001,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_concentration,µmol L-1,-9999999.0,"[0.0, 400.0]",1557964,0,0,138046,0,1419918,91.14,122.5599,1.39,400.0,155.8672
deployment0001,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_saturation,percent,-9999999.0,"[0.0, 110.0]",1557964,0,0,261958,0,1296006,83.19,28.5756,0.452,110.0,40.6545
deployment0001,recovered_host,dosta_abcdjm_dcl_instrument_recovered,optode_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1557964,0,0,0,0,1557964,100.0,13.1476,8.819,18.384,2.0962
deployment0001,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",1557964,0,0,138047,0,1419917,91.14,122.5597,1.3906,399.9994,155.8671
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",2048709,0,0,3693,2428,2042588,99.7,251.6702,132.9261,382.9042,25.787
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_concentration,µmol L-1,-9999999.0,"[0.0, 400.0]",2048709,0,0,44050,225,2004434,97.84,311.2637,170.309,399.997,28.1479
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_saturation,percent,-9999999.0,"[0.0, 110.0]",2048709,0,0,67455,166,1981088,96.7,91.384,49.287,110.0,8.4154
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,optode_temperature,ºC,-9999999.0,"[-2.0, 40.0]",2048709,0,0,0,0,2048709,100.0,11.5995,9.046,15.023,1.2389
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",2048709,0,0,44047,226,2004436,97.84,311.2622,170.3089,399.9991,28.1478
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",1382698,0,0,4966,0,1377732,99.64,235.4048,39.2963,399.9923,77.3496
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_concentration,µmol L-1,-9999999.0,"[0.0, 400.0]",1382698,0,0,350161,0,1032537,74.68,280.7224,52.633,400.0,90.8706
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_saturation,percent,-9999999.0,"[0.0, 110.0]",1382698,0,0,648672,0,734026,53.09,73.7837,15.237,110.0,23.539
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,optode_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1382698,0,0,0,0,1382698,100.0,13.1507,9.154,18.053,1.5744
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",1382698,0,0,152006,0,1230692,89.01,277.6476,49.5403,399.9999,88.7367
